clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
377+288=,654+23=,665,23467,24375,288+377=,288+377=,288+377=,288+377=,288+377=,288+377=,288+377=,288+377=,288+377=
151+37=,292+192=,188,9367,20339,37+151=,37+151=,37+151=,37+151=,37+151=,37+151=,37+151=,37+151=,37+151=
285+286=,30+103=,571,22005,9423,286+285=,286+285=,286+285=,286+285=,286+285=,286+285=,286+285=,286+285=,286+285=
181+372=,208+16=,553,22663,10697,372+181=,372+181=,372+181=,372+181=,372+181=,372+181=,372+181=,372+181=,372+181=
748+194=,373+486=,942,20249,24061,194+748=,194+748=,194+748=,194+748=,194+748=,194+748=,194+748=,194+748=,194+748=
271+160=,30+103=,431,19852,9423,160+271=,160+271=,160+271=,160+271=,160+271=,160+271=,160+271=,160+271=,160+271=
545+12=,271+6=,557,23906,16367,12+545=,12+545=,12+545=,12+545=,12+545=,12+545=,12+545=,12+545=,12+545=
817+101=,85+44=,918,25828,9748,101+817=,101+817=,101+817=,101+817=,101+817=,101+817=,101+817=,101+817=,101+817=
409+158=,393+221=,567,19282,22638,158+409=,158+409=,158+409=,158+409=,158+409=,158+409=,158+409=,158+409=,158+409=
75+731=,374+85=,806,22397,22094,731+75=,731+75=,731+75=,731+75=,731+75=,731+75=,731+75=,731+75=,731+75=
767+108=,85+44=,875,17419,9748,108+767=,108+767=,108+767=,108+767=,108+767=,108+767=,108+767=,108+767=,108+767=
442+234=,472+35=,676,24187,20068,234+442=,234+442=,234+442=,234+442=,234+442=,234+442=,234+442=,234+442=,234+442=
602+168=,155+399=,770,20772,22303,168+602=,168+602=,168+602=,168+602=,168+602=,168+602=,168+602=,168+602=,168+602=
85+44=,323+525=,129,9748,24951,44+85=,44+85=,44+85=,44+85=,44+85=,44+85=,44+85=,44+85=,44+85=
627+348=,91+36=,975,24609,6804,348+627=,348+627=,348+627=,348+627=,348+627=,348+627=,348+627=,348+627=,348+627=
251+708=,158+526=,959,26328,24313,708+251=,708+251=,708+251=,708+251=,708+251=,708+251=,708+251=,708+251=,708+251=
117+335=,34+769=,452,21098,20899,335+117=,335+117=,335+117=,335+117=,335+117=,335+117=,335+117=,335+117=,335+117=
544+113=,568+84=,657,23480,23181,113+544=,113+544=,113+544=,113+544=,113+544=,113+544=,113+544=,113+544=,113+544=
320+394=,253+373=,714,23193,22385,394+320=,394+320=,394+320=,394+320=,394+320=,394+320=,394+320=,394+320=,394+320=
144+120=,134+299=,264,12815,20153,120+144=,120+144=,120+144=,120+144=,120+144=,120+144=,120+144=,120+144=,120+144=
151+288=,846+128=,439,20963,26007,288+151=,288+151=,288+151=,288+151=,288+151=,288+151=,288+151=,288+151=,288+151=
39+430=,123+153=,469,21330,16660,430+39=,430+39=,430+39=,430+39=,430+39=,430+39=,430+39=,430+39=,430+39=
151+520=,462+407=,671,23403,26497,520+151=,520+151=,520+151=,520+151=,520+151=,520+151=,520+151=,520+151=,520+151=
283+499=,340+187=,782,23833,22369,499+283=,499+283=,499+283=,499+283=,499+283=,499+283=,499+283=,499+283=,499+283=
282+376=,206+285=,658,23654,21824,376+282=,376+282=,376+282=,376+282=,376+282=,376+282=,376+282=,376+282=,376+282=
654+23=,603+167=,677,24375,20772,23+654=,23+654=,23+654=,23+654=,23+654=,23+654=,23+654=,23+654=,23+654=
1+250=,377+288=,251,13860,23467,250+1=,250+1=,250+1=,250+1=,250+1=,250+1=,250+1=,250+1=,250+1=
374+85=,206+285=,459,22094,21824,85+374=,85+374=,85+374=,85+374=,85+374=,85+374=,85+374=,85+374=,85+374=
562+176=,123+153=,738,25527,16660,176+562=,176+562=,176+562=,176+562=,176+562=,176+562=,176+562=,176+562=,176+562=
604+326=,568+84=,930,19306,23181,326+604=,326+604=,326+604=,326+604=,326+604=,326+604=,326+604=,326+604=,326+604=
568+84=,117+335=,652,23181,21098,84+568=,84+568=,84+568=,84+568=,84+568=,84+568=,84+568=,84+568=,84+568=
158+526=,374+85=,684,24313,22094,526+158=,526+158=,526+158=,526+158=,526+158=,526+158=,526+158=,526+158=,526+158=
393+221=,311+38=,614,22638,18634,221+393=,221+393=,221+393=,221+393=,221+393=,221+393=,221+393=,221+393=,221+393=
352+593=,374+85=,945,24599,22094,593+352=,593+352=,593+352=,593+352=,593+352=,593+352=,593+352=,593+352=,593+352=
253+373=,208+16=,626,22385,10697,373+253=,373+253=,373+253=,373+253=,373+253=,373+253=,373+253=,373+253=,373+253=
302+112=,527+288=,414,17448,23582,112+302=,112+302=,112+302=,112+302=,112+302=,112+302=,112+302=,112+302=,112+302=
65+60=,253+373=,125,6549,22385,60+65=,60+65=,60+65=,60+65=,60+65=,60+65=,60+65=,60+65=,60+65=
418+269=,604+326=,687,21897,19306,269+418=,269+418=,269+418=,269+418=,269+418=,269+418=,269+418=,269+418=,269+418=
34+769=,197+24=,803,20899,12425,769+34=,769+34=,769+34=,769+34=,769+34=,769+34=,769+34=,769+34=,769+34=
106+204=,181+372=,310,12226,22663,204+106=,204+106=,204+106=,204+106=,204+106=,204+106=,204+106=,204+106=,204+106=
110+199=,465+154=,309,15500,23388,199+110=,199+110=,199+110=,199+110=,199+110=,199+110=,199+110=,199+110=,199+110=
162+84=,418+269=,246,14205,21897,84+162=,84+162=,84+162=,84+162=,84+162=,84+162=,84+162=,84+162=,84+162=
155+399=,377+288=,554,22303,23467,399+155=,399+155=,399+155=,399+155=,399+155=,399+155=,399+155=,399+155=,399+155=
262+102=,363+208=,364,15951,22005,102+262=,102+262=,102+262=,102+262=,102+262=,102+262=,102+262=,102+262=,102+262=
13+98=,490+271=,111,5037,25110,98+13=,98+13=,98+13=,98+13=,98+13=,98+13=,98+13=,98+13=,98+13=
445+251=,305+570=,696,23578,17419,251+445=,251+445=,251+445=,251+445=,251+445=,251+445=,251+445=,251+445=,251+445=
73+227=,158+526=,300,3101,24313,227+73=,227+73=,227+73=,227+73=,227+73=,227+73=,227+73=,227+73=,227+73=
123+153=,309+45=,276,16660,18384,153+123=,153+123=,153+123=,153+123=,153+123=,153+123=,153+123=,153+123=,153+123=
323+525=,48+52=,848,24951,1041,525+323=,525+323=,525+323=,525+323=,525+323=,525+323=,525+323=,525+323=,525+323=
350+15=,135+195=,365,12676,10568,15+350=,15+350=,15+350=,15+350=,15+350=,15+350=,15+350=,15+350=,15+350=
187+52=,151+520=,239,14815,23403,52+187=,52+187=,52+187=,52+187=,52+187=,52+187=,52+187=,52+187=,52+187=
328+415=,377+288=,743,26260,23467,415+328=,415+328=,415+328=,415+328=,415+328=,415+328=,415+328=,415+328=,415+328=
373+486=,131+48=,859,24061,11128,486+373=,486+373=,486+373=,486+373=,486+373=,486+373=,486+373=,486+373=,486+373=
102+152=,188+419=,254,12375,21996,152+102=,152+102=,152+102=,152+102=,152+102=,152+102=,152+102=,152+102=,152+102=
310+24=,568+84=,334,17153,23181,24+310=,24+310=,24+310=,24+310=,24+310=,24+310=,24+310=,24+310=,24+310=
462+407=,562+176=,869,26497,25527,407+462=,407+462=,407+462=,407+462=,407+462=,407+462=,407+462=,407+462=,407+462=
189+722=,97+13=,911,17000,5120,722+189=,722+189=,722+189=,722+189=,722+189=,722+189=,722+189=,722+189=,722+189=
131+48=,194+694=,179,11128,12251,48+131=,48+131=,48+131=,48+131=,48+131=,48+131=,48+131=,48+131=,48+131=
62+194=,602+168=,256,4146,20772,194+62=,194+62=,194+62=,194+62=,194+62=,194+62=,194+62=,194+62=,194+62=
429+355=,73+227=,784,22148,3101,355+429=,355+429=,355+429=,355+429=,355+429=,355+429=,355+429=,355+429=,355+429=
410+12=,135+195=,422,16460,10568,12+410=,12+410=,12+410=,12+410=,12+410=,12+410=,12+410=,12+410=,12+410=
692+129=,85+586=,821,23282,23403,129+692=,129+692=,129+692=,129+692=,129+692=,129+692=,129+692=,129+692=,129+692=
603+167=,135+195=,770,20772,10568,167+603=,167+603=,167+603=,167+603=,167+603=,167+603=,167+603=,167+603=,167+603=
234+436=,305+570=,670,21218,17419,436+234=,436+234=,436+234=,436+234=,436+234=,436+234=,436+234=,436+234=,436+234=
97+13=,123+153=,110,5120,16660,13+97=,13+97=,13+97=,13+97=,13+97=,13+97=,13+97=,13+97=,13+97=
372+89=,189+722=,461,19608,17000,89+372=,89+372=,89+372=,89+372=,89+372=,89+372=,89+372=,89+372=,89+372=
529+302=,604+326=,831,25009,19306,302+529=,302+529=,302+529=,302+529=,302+529=,302+529=,302+529=,302+529=,302+529=
190+275=,352+593=,465,19988,24599,275+190=,275+190=,275+190=,275+190=,275+190=,275+190=,275+190=,275+190=,275+190=
487+142=,134+299=,629,24239,20153,142+487=,142+487=,142+487=,142+487=,142+487=,142+487=,142+487=,142+487=,142+487=
134+299=,1+250=,433,20153,13860,299+134=,299+134=,299+134=,299+134=,299+134=,299+134=,299+134=,299+134=,299+134=
39+129=,429+355=,168,8953,22148,129+39=,129+39=,129+39=,129+39=,129+39=,129+39=,129+39=,129+39=,129+39=
376+38=,465+154=,414,17448,23388,38+376=,38+376=,38+376=,38+376=,38+376=,38+376=,38+376=,38+376=,38+376=
465+154=,123+153=,619,23388,16660,154+465=,154+465=,154+465=,154+465=,154+465=,154+465=,154+465=,154+465=,154+465=
438+293=,62+194=,731,24626,4146,293+438=,293+438=,293+438=,293+438=,293+438=,293+438=,293+438=,293+438=,293+438=
633+102=,197+24=,735,24939,12425,102+633=,102+633=,102+633=,102+633=,102+633=,102+633=,102+633=,102+633=,102+633=
340+187=,117+335=,527,22369,21098,187+340=,187+340=,187+340=,187+340=,187+340=,187+340=,187+340=,187+340=,187+340=
61+377=,309+45=,438,20596,18384,377+61=,377+61=,377+61=,377+61=,377+61=,377+61=,377+61=,377+61=,377+61=
644+253=,123+153=,897,24777,16660,253+644=,253+644=,253+644=,253+644=,253+644=,253+644=,253+644=,253+644=,253+644=
309+45=,181+372=,354,18384,22663,45+309=,45+309=,45+309=,45+309=,45+309=,45+309=,45+309=,45+309=,45+309=
132+127=,206+285=,259,15537,21824,127+132=,127+132=,127+132=,127+132=,127+132=,127+132=,127+132=,127+132=,127+132=
117+865=,568+84=,982,25873,23181,865+117=,865+117=,865+117=,865+117=,865+117=,865+117=,865+117=,865+117=,865+117=
119+323=,75+731=,442,20502,22397,323+119=,323+119=,323+119=,323+119=,323+119=,323+119=,323+119=,323+119=,323+119=
152+704=,363+208=,856,25505,22005,704+152=,704+152=,704+152=,704+152=,704+152=,704+152=,704+152=,704+152=,704+152=
188+419=,323+525=,607,21996,24951,419+188=,419+188=,419+188=,419+188=,419+188=,419+188=,419+188=,419+188=,419+188=
527+288=,73+227=,815,23582,3101,288+527=,288+527=,288+527=,288+527=,288+527=,288+527=,288+527=,288+527=,288+527=
75+666=,562+176=,741,25021,25527,666+75=,666+75=,666+75=,666+75=,666+75=,666+75=,666+75=,666+75=,666+75=
47+157=,75+666=,204,7854,25021,157+47=,157+47=,157+47=,157+47=,157+47=,157+47=,157+47=,157+47=,157+47=
180+188=,32+600=,368,19057,20775,188+180=,188+180=,188+180=,188+180=,188+180=,188+180=,188+180=,188+180=,188+180=
813+148=,85+44=,961,26114,9748,148+813=,148+813=,148+813=,148+813=,148+813=,148+813=,148+813=,148+813=,148+813=
62+666=,283+499=,728,24054,23833,666+62=,666+62=,666+62=,666+62=,666+62=,666+62=,666+62=,666+62=,666+62=
846+128=,50+118=,974,26007,8953,128+846=,128+846=,128+846=,128+846=,128+846=,128+846=,128+846=,128+846=,128+846=
75+32=,283+499=,107,7699,23833,32+75=,32+75=,32+75=,32+75=,32+75=,32+75=,32+75=,32+75=,32+75=
208+16=,310+24=,224,10697,17153,16+208=,16+208=,16+208=,16+208=,16+208=,16+208=,16+208=,16+208=,16+208=
606+197=,490+271=,803,20899,25110,197+606=,197+606=,197+606=,197+606=,197+606=,197+606=,197+606=,197+606=,197+606=
345+364=,85+44=,709,22874,9748,364+345=,364+345=,364+345=,364+345=,364+345=,364+345=,364+345=,364+345=,364+345=
305+570=,158+526=,875,17419,24313,570+305=,570+305=,570+305=,570+305=,570+305=,570+305=,570+305=,570+305=,570+305=
135+195=,262+102=,330,10568,15951,195+135=,195+135=,195+135=,195+135=,195+135=,195+135=,195+135=,195+135=,195+135=
276+445=,271+160=,721,20873,19852,445+276=,445+276=,445+276=,445+276=,445+276=,445+276=,445+276=,445+276=,445+276=
28+269=,75+32=,297,18163,7699,269+28=,269+28=,269+28=,269+28=,269+28=,269+28=,269+28=,269+28=,269+28=
409+162+197=,328+75+18=,768,17521,18245,409+197+162=,162+409+197=,162+197+409=,197+409+162=,197+162+409=,197+162+409=,197+162+409=,197+162+409=,197+162+409=
291+153+254=,131+202+71=,698,25169,7507,291+254+153=,153+291+254=,153+254+291=,254+291+153=,254+153+291=,254+153+291=,254+153+291=,254+153+291=,254+153+291=
273+53+349=,24+83+216=,675,21129,15726,273+349+53=,53+273+349=,53+349+273=,349+273+53=,349+53+273=,349+53+273=,349+53+273=,349+53+273=,349+53+273=
142+93+67=,24+83+216=,302,13121,15726,142+67+93=,93+142+67=,93+67+142=,67+142+93=,67+93+142=,67+93+142=,67+93+142=,67+93+142=,67+93+142=
654+19+67=,680+103+66=,740,21112,26537,654+67+19=,19+654+67=,19+67+654=,67+654+19=,67+19+654=,67+19+654=,67+19+654=,67+19+654=,67+19+654=
6+86+63=,311+1+524=,155,9992,25192,6+63+86=,86+6+63=,86+63+6=,63+6+86=,63+86+6=,63+86+6=,63+86+6=,63+86+6=,63+86+6=
545+215+112=,108+85+9=,872,25303,2366,545+112+215=,215+545+112=,215+112+545=,112+545+215=,112+215+545=,112+215+545=,112+215+545=,112+215+545=,112+215+545=
598+130+212=,39+407+326=,940,21251,23624,598+212+130=,130+598+212=,130+212+598=,212+598+130=,212+130+598=,212+130+598=,212+130+598=,212+130+598=,212+130+598=
153+414+10=,94+285+277=,577,23411,20744,153+10+414=,414+153+10=,414+10+153=,10+153+414=,10+414+153=,10+414+153=,10+414+153=,10+414+153=,10+414+153=
645+76+92=,221+93+337=,813,24288,23409,645+92+76=,76+645+92=,76+92+645=,92+645+76=,92+76+645=,92+76+645=,92+76+645=,92+76+645=,92+76+645=
101+68+32=,108+85+9=,201,679,2366,101+32+68=,68+101+32=,68+32+101=,32+101+68=,32+68+101=,32+68+101=,32+68+101=,32+68+101=,32+68+101=
180+304+25=,76+105+128=,509,12448,15500,180+25+304=,304+180+25=,304+25+180=,25+180+304=,25+304+180=,25+304+180=,25+304+180=,25+304+180=,25+304+180=
51+40+436=,100+68+103=,527,22369,15828,51+436+40=,40+51+436=,40+436+51=,436+51+40=,436+40+51=,436+40+51=,436+40+51=,436+40+51=,436+40+51=
799+67+131=,220+107+489=,997,22694,23713,799+131+67=,67+799+131=,67+131+799=,131+799+67=,131+67+799=,131+67+799=,131+67+799=,131+67+799=,131+67+799=
46+6+342=,488+23+263=,394,20077,24472,46+342+6=,6+46+342=,6+342+46=,342+46+6=,342+6+46=,342+6+46=,342+6+46=,342+6+46=,342+6+46=
438+66+133=,35+182+20=,637,21788,14590,438+133+66=,66+438+133=,66+133+438=,133+438+66=,133+66+438=,133+66+438=,133+66+438=,133+66+438=,133+66+438=
94+285+277=,108+85+9=,656,20744,2366,94+277+285=,285+94+277=,285+277+94=,277+94+285=,277+285+94=,277+285+94=,277+285+94=,277+285+94=,277+285+94=
59+114+186=,2+115+122=,359,19192,14815,59+186+114=,114+59+186=,114+186+59=,186+59+114=,186+114+59=,186+114+59=,186+114+59=,186+114+59=,186+114+59=
376+401+57=,69+266+111=,834,26223,20385,376+57+401=,401+376+57=,401+57+376=,57+376+401=,57+401+376=,57+401+376=,57+401+376=,57+401+376=,57+401+376=
29+104+498=,99+54+443=,631,21729,24515,29+498+104=,104+29+498=,104+498+29=,498+29+104=,498+104+29=,498+104+29=,498+104+29=,498+104+29=,498+104+29=
315+156+186=,56+258+28=,657,23480,17590,315+186+156=,156+315+186=,156+186+315=,186+315+156=,186+156+315=,186+156+315=,186+156+315=,186+156+315=,186+156+315=
66+23+126=,488+23+263=,215,12112,24472,66+126+23=,23+66+126=,23+126+66=,126+66+23=,126+23+66=,126+23+66=,126+23+66=,126+23+66=,126+23+66=
64+282+19=,15+121+204=,365,12676,13679,64+19+282=,282+64+19=,282+19+64=,19+64+282=,19+282+64=,19+282+64=,19+282+64=,19+282+64=,19+282+64=
2+323+275=,190+17+374=,600,5067,23864,2+275+323=,323+2+275=,323+275+2=,275+2+323=,275+323+2=,275+323+2=,275+323+2=,275+323+2=,275+323+2=
131+202+71=,658+160+170=,404,7507,24538,131+71+202=,202+131+71=,202+71+131=,71+131+202=,71+202+131=,71+202+131=,71+202+131=,71+202+131=,71+202+131=
2+1+143=,83+61+160=,146,10465,12166,2+143+1=,1+2+143=,1+143+2=,143+2+1=,143+1+2=,143+1+2=,143+1+2=,143+1+2=,143+1+2=
311+1+524=,190+17+374=,836,25192,23864,311+524+1=,1+311+524=,1+524+311=,524+311+1=,524+1+311=,524+1+311=,524+1+311=,524+1+311=,524+1+311=
39+407+326=,3+174+65=,772,23624,12754,39+326+407=,407+39+326=,407+326+39=,326+39+407=,326+407+39=,326+407+39=,326+407+39=,326+407+39=,326+407+39=
170+21+83=,299+203+490=,274,16590,22992,170+83+21=,21+170+83=,21+83+170=,83+170+21=,83+21+170=,83+21+170=,83+21+170=,83+21+170=,83+21+170=
364+299+52=,94+285+277=,715,22744,20744,364+52+299=,299+364+52=,299+52+364=,52+364+299=,52+299+364=,52+299+364=,52+299+364=,52+299+364=,52+299+364=
35+182+20=,113+395+49=,237,14590,23906,35+20+182=,182+35+20=,182+20+35=,20+35+182=,20+182+35=,20+182+35=,20+182+35=,20+182+35=,20+182+35=
157+52+47=,2+323+275=,256,4146,5067,157+47+52=,52+157+47=,52+47+157=,47+157+52=,47+52+157=,47+52+157=,47+52+157=,47+52+157=,47+52+157=
15+121+204=,104+44+783=,340,13679,25717,15+204+121=,121+15+204=,121+204+15=,204+15+121=,204+121+15=,204+121+15=,204+121+15=,204+121+15=,204+121+15=
488+23+263=,72+104+45=,774,24472,12425,488+263+23=,23+488+263=,23+263+488=,263+488+23=,263+23+488=,263+23+488=,263+23+488=,263+23+488=,263+23+488=
190+17+374=,101+68+32=,581,23864,679,190+374+17=,17+190+374=,17+374+190=,374+190+17=,374+17+190=,374+17+190=,374+17+190=,374+17+190=,374+17+190=
56+258+28=,64+282+19=,342,17590,12676,56+28+258=,258+56+28=,258+28+56=,28+56+258=,28+258+56=,28+258+56=,28+258+56=,28+258+56=,28+258+56=
151+137+236=,89+318+51=,524,21177,21209,151+236+137=,137+151+236=,137+236+151=,236+151+137=,236+137+151=,236+137+151=,236+137+151=,236+137+151=,236+137+151=
72+104+45=,245+33+664=,221,12425,20249,72+45+104=,104+72+45=,104+45+72=,45+72+104=,45+104+72=,45+104+72=,45+104+72=,45+104+72=,45+104+72=
245+33+664=,148+176+50=,942,20249,18265,245+664+33=,33+245+664=,33+664+245=,664+245+33=,664+33+245=,664+33+245=,664+33+245=,664+33+245=,664+33+245=
108+28+22=,310+36+594=,158,11286,21251,108+22+28=,28+108+22=,28+22+108=,22+108+28=,22+28+108=,22+28+108=,22+28+108=,22+28+108=,22+28+108=
137+248+282=,62+1+236=,667,19774,15531,137+282+248=,248+137+282=,248+282+137=,282+137+248=,282+248+137=,282+248+137=,282+248+137=,282+248+137=,282+248+137=
643+79+43=,101+68+32=,765,22240,679,643+43+79=,79+643+43=,79+43+643=,43+643+79=,43+79+643=,43+79+643=,43+79+643=,43+79+643=,43+79+643=
24+83+216=,331+32+383=,323,15726,25594,24+216+83=,83+24+216=,83+216+24=,216+24+83=,216+83+24=,216+83+24=,216+83+24=,216+83+24=,216+83+24=
126+204+297=,151+137+236=,627,23103,21177,126+297+204=,204+126+297=,204+297+126=,297+126+204=,297+204+126=,297+204+126=,297+204+126=,297+204+126=,297+204+126=
299+203+490=,180+304+25=,992,22992,12448,299+490+203=,203+299+490=,203+490+299=,490+299+203=,490+203+299=,490+203+299=,490+203+299=,490+203+299=,490+203+299=
4+23+473=,438+66+133=,500,2636,21788,4+473+23=,23+4+473=,23+473+4=,473+4+23=,473+23+4=,473+23+4=,473+23+4=,473+23+4=,473+23+4=
12+58+336=,225+87+421=,406,17264,24865,12+336+58=,58+12+336=,58+336+12=,336+12+58=,336+58+12=,336+58+12=,336+58+12=,336+58+12=,336+58+12=
76+105+128=,83+61+160=,309,15500,12166,76+128+105=,105+76+128=,105+128+76=,128+76+105=,128+105+76=,128+105+76=,128+105+76=,128+105+76=,128+105+76=
148+176+50=,142+93+67=,374,18265,13121,148+50+176=,176+148+50=,176+50+148=,50+148+176=,50+176+148=,50+176+148=,50+176+148=,50+176+148=,50+176+148=
10+7+98=,73+505+50=,115,7322,23574,10+98+7=,7+10+98=,7+98+10=,98+10+7=,98+7+10=,98+7+10=,98+7+10=,98+7+10=,98+7+10=
3+174+65=,331+32+383=,242,12754,25594,3+65+174=,174+3+65=,174+65+3=,65+3+174=,65+174+3=,65+174+3=,65+174+3=,65+174+3=,65+174+3=
40+15+187=,438+66+133=,242,12754,21788,40+187+15=,15+40+187=,15+187+40=,187+40+15=,187+15+40=,187+15+40=,187+15+40=,187+15+40=,187+15+40=
99+54+443=,24+83+216=,596,24515,15726,99+443+54=,54+99+443=,54+443+99=,443+99+54=,443+54+99=,443+54+99=,443+54+99=,443+54+99=,443+54+99=
53+156+452=,117+526+314=,661,24132,27341,53+452+156=,156+53+452=,156+452+53=,452+53+156=,452+156+53=,452+156+53=,452+156+53=,452+156+53=,452+156+53=
569+106+195=,658+160+170=,870,22440,24538,569+195+106=,106+569+195=,106+195+569=,195+569+106=,195+106+569=,195+106+569=,195+106+569=,195+106+569=,195+106+569=
33+25+199=,89+318+51=,257,15574,21209,33+199+25=,25+33+199=,25+199+33=,199+33+25=,199+25+33=,199+25+33=,199+25+33=,199+25+33=,199+25+33=
209+120+565=,680+103+66=,894,26227,26537,209+565+120=,120+209+565=,120+565+209=,565+209+120=,565+120+209=,565+120+209=,565+120+209=,565+120+209=,565+120+209=
129+246+375=,328+75+18=,750,11711,18245,129+375+246=,246+129+375=,246+375+129=,375+129+246=,375+246+129=,375+246+129=,375+246+129=,375+246+129=,375+246+129=
296+72+53=,209+120+565=,421,18245,26227,296+53+72=,72+296+53=,72+53+296=,53+296+72=,53+72+296=,53+72+296=,53+72+296=,53+72+296=,53+72+296=
253+256+15=,82+146+109=,524,21177,17609,253+15+256=,256+253+15=,256+15+253=,15+253+256=,15+256+253=,15+256+253=,15+256+253=,15+256+253=,15+256+253=
100+68+103=,273+53+349=,271,15828,21129,100+103+68=,68+100+103=,68+103+100=,103+100+68=,103+68+100=,103+68+100=,103+68+100=,103+68+100=,103+68+100=
225+87+421=,53+156+452=,733,24865,24132,225+421+87=,87+225+421=,87+421+225=,421+225+87=,421+87+225=,421+87+225=,421+87+225=,421+87+225=,421+87+225=
221+93+337=,40+15+187=,651,23409,12754,221+337+93=,93+221+337=,93+337+221=,337+221+93=,337+93+221=,337+93+221=,337+93+221=,337+93+221=,337+93+221=
328+75+18=,153+414+10=,421,18245,23411,328+18+75=,75+328+18=,75+18+328=,18+328+75=,18+75+328=,18+75+328=,18+75+328=,18+75+328=,18+75+328=
189+51+20=,328+75+18=,260,11387,18245,189+20+51=,51+189+20=,51+20+189=,20+189+51=,20+51+189=,20+51+189=,20+51+189=,20+51+189=,20+51+189=
35+146+364=,51+40+436=,545,20749,22369,35+364+146=,146+35+364=,146+364+35=,364+35+146=,364+146+35=,364+146+35=,364+146+35=,364+146+35=,364+146+35=
122+16+645=,51+40+436=,783,26008,22369,122+645+16=,16+122+645=,16+645+122=,645+122+16=,645+16+122=,645+16+122=,645+16+122=,645+16+122=,645+16+122=
49+148+554=,569+106+195=,751,23986,22440,49+554+148=,148+49+554=,148+554+49=,554+49+148=,554+148+49=,554+148+49=,554+148+49=,554+148+49=,554+148+49=
310+36+594=,142+93+67=,940,21251,13121,310+594+36=,36+310+594=,36+594+310=,594+310+36=,594+36+310=,594+36+310=,594+36+310=,594+36+310=,594+36+310=
142+437+190=,89+318+51=,769,24619,21209,142+190+437=,437+142+190=,437+190+142=,190+142+437=,190+437+142=,190+437+142=,190+437+142=,190+437+142=,190+437+142=
