id,question,choices,answerKey,clean,corrupted,correct_idx,incorrect_idx
MCAS_2005_5_10,"When trees develop leaves in the spring, 10 changes occur on the forest floor. Why does the development of leaves cause changes on the forest floor?","{'text': array(['Rainfall increases.', 'Sunlight is reduced.',
       'Wind speed increases.', 'Animal migration is stopped.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"When trees develop leaves in the spring, 10 changes occur on the forest floor. Why does the development of leaves cause changes on the forest floor?
(A) Rainfall increases.
(B) Sunlight is reduced.
(C) Wind speed increases.
(D) Animal migration is stopped.
Answer: (","Which is the most possible answer?
(A) Rainfall increases.
(B) Sunlight is reduced.
(C) Wind speed increases.
(D) Animal migration is stopped.
Answer: (",33,"[32, 34, 35]"
Mercury_7166145,The circulatory system and the endocrine system work together in the human body. Which describes one way in which these systems interact?,"{'text': array(['taking in oxygen and transporting it to cells of the body',
       'releasing hormones and transporting them to cells of the body',
       'absorbing nutrients from food and transporting them to cells in the body',
       'collecting waste products from the cells and transporting it out of the body'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"The circulatory system and the endocrine system work together in the human body. Which describes one way in which these systems interact?
(A) taking in oxygen and transporting it to cells of the body
(B) releasing hormones and transporting them to cells of the body
(C) absorbing nutrients from food and transporting them to cells in the body
(D) collecting waste products from the cells and transporting it out of the body
Answer: (","Which is the most possible answer?
(A) taking in oxygen and transporting it to cells of the body
(B) releasing hormones and transporting them to cells of the body
(C) absorbing nutrients from food and transporting them to cells in the body
(D) collecting waste products from the cells and transporting it out of the body
Answer: (",33,"[32, 34, 35]"
MSA_2013_5_6,"A student throws a ball into the air. While the ball travels up, the speed of the ball decreases. What force causes the ball to slow while traveling up?","{'text': array(['electricity', 'gravity', 'magnetism', 'tension'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"A student throws a ball into the air. While the ball travels up, the speed of the ball decreases. What force causes the ball to slow while traveling up?
(A) electricity
(B) gravity
(C) magnetism
(D) tension
Answer: (","Which is the most possible answer?
(A) electricity
(B) gravity
(C) magnetism
(D) tension
Answer: (",33,"[32, 34, 35]"
Mercury_SC_405199,Which of these will most likely harm a habitat?,"{'text': array(['planting trees', 'water pollution', 'rainfall', 'sunlight'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Which of these will most likely harm a habitat?
(A) planting trees
(B) water pollution
(C) rainfall
(D) sunlight
Answer: (","Which is the most possible answer?
(A) planting trees
(B) water pollution
(C) rainfall
(D) sunlight
Answer: (",33,"[32, 34, 35]"
NYSEDREGENTS_2015_8_28,All living and nonliving material is composed of,"{'text': array(['air', 'elements', 'water', 'soil'], dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",2,"All living and nonliving material is composed of
(1) air
(2) elements
(3) water
(4) soil
Answer: (","Which is the most possible answer?
(1) air
(2) elements
(3) water
(4) soil
Answer: (",17,"[16, 18, 19]"
Mercury_SC_401777,Which process best explains how the Grand Canyon became so wide?,"{'text': array(['folding', 'erosion', 'deposition', 'sedimentation'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Which process best explains how the Grand Canyon became so wide?
(A) folding
(B) erosion
(C) deposition
(D) sedimentation
Answer: (","Which is the most possible answer?
(A) folding
(B) erosion
(C) deposition
(D) sedimentation
Answer: (",33,"[32, 34, 35]"
Mercury_7198188,"As global temperatures increase, certain organisms will be more affected than others. The changes associated with global warming may result in an increase in sea level. Which organisms will be affected most as a result of the change in sea level?","{'text': array(['birds that eat fish from shallow waters',
       'fish that live in coral reefs in shallow waters',
       'mammals that swim in cold, deep ocean waters',
       'crustaceans at the bottom of deep sea ocean waters'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"As global temperatures increase, certain organisms will be more affected than others. The changes associated with global warming may result in an increase in sea level. Which organisms will be affected most as a result of the change in sea level?
(A) birds that eat fish from shallow waters
(B) fish that live in coral reefs in shallow waters
(C) mammals that swim in cold, deep ocean waters
(D) crustaceans at the bottom of deep sea ocean waters
Answer: (","Which is the most possible answer?
(A) birds that eat fish from shallow waters
(B) fish that live in coral reefs in shallow waters
(C) mammals that swim in cold, deep ocean waters
(D) crustaceans at the bottom of deep sea ocean waters
Answer: (",33,"[32, 34, 35]"
MCAS_1998_4_11,"A dish of sugar water was left on a window sill. One week later, there were only sugar crystals left in the dish. The water was gone. The best explanation for the appearance of sugar crystals is","{'text': array(['some of the water was absorbed by the dish.',
       'the air condensed.',
       'the light shining on the window sill produced more sugar.',
       'the water evaporated.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"A dish of sugar water was left on a window sill. One week later, there were only sugar crystals left in the dish. The water was gone. The best explanation for the appearance of sugar crystals is
(A) some of the water was absorbed by the dish.
(B) the air condensed.
(C) the light shining on the window sill produced more sugar.
(D) the water evaporated.
Answer: (","Which is the most possible answer?
(A) some of the water was absorbed by the dish.
(B) the air condensed.
(C) the light shining on the window sill produced more sugar.
(D) the water evaporated.
Answer: (",35,"[32, 33, 34]"
Mercury_SC_LBS10784,Using a softball bat to hit a softball is an example of using which simple machine?,"{'text': array(['pulley', 'lever', 'inclined plane', 'wheel and axle'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Using a softball bat to hit a softball is an example of using which simple machine?
(A) pulley
(B) lever
(C) inclined plane
(D) wheel and axle
Answer: (","Which is the most possible answer?
(A) pulley
(B) lever
(C) inclined plane
(D) wheel and axle
Answer: (",33,"[32, 34, 35]"
Mercury_7033548,"When an igneous intrusion comes into contact with surrounding rock, the surrounding rock will","{'text': array(['erode.', 'foliate.', 'precipitate.', 'recrystallize.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"When an igneous intrusion comes into contact with surrounding rock, the surrounding rock will
(A) erode.
(B) foliate.
(C) precipitate.
(D) recrystallize.
Answer: (","Which is the most possible answer?
(A) erode.
(B) foliate.
(C) precipitate.
(D) recrystallize.
Answer: (",35,"[32, 33, 34]"
Mercury_7146195,A research scientist writes a paper on the initial regrowth of a forest after a fire has damaged the entire ecosystem. Which title would be best for the paper?,"{'text': array(['Primary Succession', 'Stable Communities', 'Climax Communities',
       'Secondary Succession'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"A research scientist writes a paper on the initial regrowth of a forest after a fire has damaged the entire ecosystem. Which title would be best for the paper?
(A) Primary Succession
(B) Stable Communities
(C) Climax Communities
(D) Secondary Succession
Answer: (","Which is the most possible answer?
(A) Primary Succession
(B) Stable Communities
(C) Climax Communities
(D) Secondary Succession
Answer: (",35,"[32, 33, 34]"
NCEOGA_2013_8_36,Where do plants get most of the energy they need to live and grow?,"{'text': array(['water', 'soil', 'air', 'sunlight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Where do plants get most of the energy they need to live and grow?
(A) water
(B) soil
(C) air
(D) sunlight
Answer: (","Which is the most possible answer?
(A) water
(B) soil
(C) air
(D) sunlight
Answer: (",35,"[32, 33, 34]"
Mercury_SC_415412,Which is a statement about climate?,"{'text': array(['The average temperature yesterday was 15°C.',
       'The temperature range today was 10°C to 20°C.',
       'The high temperature tomorrow will be 14°C.',
       'The average high temperature in May is 20°C.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Which is a statement about climate?
(A) The average temperature yesterday was 15°C.
(B) The temperature range today was 10°C to 20°C.
(C) The high temperature tomorrow will be 14°C.
(D) The average high temperature in May is 20°C.
Answer: (","Which is the most possible answer?
(A) The average temperature yesterday was 15°C.
(B) The temperature range today was 10°C to 20°C.
(C) The high temperature tomorrow will be 14°C.
(D) The average high temperature in May is 20°C.
Answer: (",35,"[32, 33, 34]"
Mercury_7126840,"While on a movie set, a stuntman jumps off the roof of a building. As he falls toward an airbag, what is increasing?","{'text': array(['gravity', 'wind velocity', 'kinetic energy', 'potential energy'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"While on a movie set, a stuntman jumps off the roof of a building. As he falls toward an airbag, what is increasing?
(A) gravity
(B) wind velocity
(C) kinetic energy
(D) potential energy
Answer: (","Which is the most possible answer?
(A) gravity
(B) wind velocity
(C) kinetic energy
(D) potential energy
Answer: (",34,"[32, 33, 35]"
Mercury_SC_408362,Jessica wants to see cells in an oak tree leaf. Which tool is best for Jessica to use to see the cells?,"{'text': array(['binoculars', 'microscope', 'reading glasses', 'magnifying glass'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Jessica wants to see cells in an oak tree leaf. Which tool is best for Jessica to use to see the cells?
(A) binoculars
(B) microscope
(C) reading glasses
(D) magnifying glass
Answer: (","Which is the most possible answer?
(A) binoculars
(B) microscope
(C) reading glasses
(D) magnifying glass
Answer: (",33,"[32, 34, 35]"
MDSA_2008_8_35,Biologists conduct investigations to learn about living organisms. Which method helps reduce bias during an investigation?,"{'text': array(['developing a hypothesis after collecting data in the investigation',
       'limiting the amount of background research before the investigation',
       'designing an investigation with repeated trials during the investigation',
       'obtaining other opinions concerning what should happen during the investigation'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Biologists conduct investigations to learn about living organisms. Which method helps reduce bias during an investigation?
(A) developing a hypothesis after collecting data in the investigation
(B) limiting the amount of background research before the investigation
(C) designing an investigation with repeated trials during the investigation
(D) obtaining other opinions concerning what should happen during the investigation
Answer: (","Which is the most possible answer?
(A) developing a hypothesis after collecting data in the investigation
(B) limiting the amount of background research before the investigation
(C) designing an investigation with repeated trials during the investigation
(D) obtaining other opinions concerning what should happen during the investigation
Answer: (",34,"[32, 33, 35]"
NYSEDREGENTS_2015_8_21,Which factor is most likely to cause the number of rabbits living in an area to increase?,"{'text': array(['less water', 'fewer predators', 'lack of shelter', 'limited food'],
      dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",2,"Which factor is most likely to cause the number of rabbits living in an area to increase?
(1) less water
(2) fewer predators
(3) lack of shelter
(4) limited food
Answer: (","Which is the most possible answer?
(1) less water
(2) fewer predators
(3) lack of shelter
(4) limited food
Answer: (",17,"[16, 18, 19]"
VASoL_2008_5_12,"Seeds that remain inactive until the right conditions of light, water, and soil are present are called ___.","{'text': array(['pollen', 'dormant', 'flowers', 'recycled'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Seeds that remain inactive until the right conditions of light, water, and soil are present are called ___.
(A) pollen
(B) dormant
(C) flowers
(D) recycled
Answer: (","Which is the most possible answer?
(A) pollen
(B) dormant
(C) flowers
(D) recycled
Answer: (",33,"[32, 34, 35]"
Mercury_SC_LBS10680,What allows a light bulb to give off light?,"{'text': array(['the current flowing through the wire to the light bulb',
       'the light bulb giving electrical energy to the battery',
       'the light bulb generating heat energy',
       'the battery pushing light through the wire'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"What allows a light bulb to give off light?
(A) the current flowing through the wire to the light bulb
(B) the light bulb giving electrical energy to the battery
(C) the light bulb generating heat energy
(D) the battery pushing light through the wire
Answer: (","Which is the most possible answer?
(A) the current flowing through the wire to the light bulb
(B) the light bulb giving electrical energy to the battery
(C) the light bulb generating heat energy
(D) the battery pushing light through the wire
Answer: (",32,"[33, 34, 35]"
MCAS_2003_5_3,What causes sound?,"{'text': array(['sunlight', 'vibrations', 'x-rays', 'pitch'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"What causes sound?
(A) sunlight
(B) vibrations
(C) x-rays
(D) pitch
Answer: (","Which is the most possible answer?
(A) sunlight
(B) vibrations
(C) x-rays
(D) pitch
Answer: (",33,"[32, 34, 35]"
VASoL_2010_5_18,Photosynthesis occurs in which of these organisms?,"{'text': array(['Sunflower plant', 'Mushroom', 'Sunfish', 'Luna moth'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Photosynthesis occurs in which of these organisms?
(A) Sunflower plant
(B) Mushroom
(C) Sunfish
(D) Luna moth
Answer: (","Which is the most possible answer?
(A) Sunflower plant
(B) Mushroom
(C) Sunfish
(D) Luna moth
Answer: (",32,"[33, 34, 35]"
Mercury_7074900,"In order for cells to grow at a normal rate, they must","{'text': array(['take in light.', 'be specialized.', 'take in nutrients.',
       'be of similar size.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"In order for cells to grow at a normal rate, they must
(A) take in light.
(B) be specialized.
(C) take in nutrients.
(D) be of similar size.
Answer: (","Which is the most possible answer?
(A) take in light.
(B) be specialized.
(C) take in nutrients.
(D) be of similar size.
Answer: (",34,"[32, 33, 35]"
Mercury_SC_408762,Marshall learned that plants need a substance from the air to make their own food. What does a plant take from the air in the presence of sunlight?,"{'text': array(['carbon dioxide', 'hydrogen', 'nitrogen', 'oxygen'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Marshall learned that plants need a substance from the air to make their own food. What does a plant take from the air in the presence of sunlight?
(A) carbon dioxide
(B) hydrogen
(C) nitrogen
(D) oxygen
Answer: (","Which is the most possible answer?
(A) carbon dioxide
(B) hydrogen
(C) nitrogen
(D) oxygen
Answer: (",32,"[33, 34, 35]"
ACTAAP_2015_5_8,Antarctica is a continent at Earth's south pole. Fossils of tropical fern plants were discovered in Antarctica even though these plants do not grow there today. Which conclusion does the fossil evidence best support?,"{'text': array(['Millions of years ago, Antarctica was in a warmer location on Earth.',
       'Recently, a natural disaster killed all of the fern plants in Antarctica.',
       'Recently, birds stopped carrying the seeds of fern plants to Antarctica.',
       ""Millions of years ago, Earth's south pole was much colder than it is today.""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Antarctica is a continent at Earth's south pole. Fossils of tropical fern plants were discovered in Antarctica even though these plants do not grow there today. Which conclusion does the fossil evidence best support?
(A) Millions of years ago, Antarctica was in a warmer location on Earth.
(B) Recently, a natural disaster killed all of the fern plants in Antarctica.
(C) Recently, birds stopped carrying the seeds of fern plants to Antarctica.
(D) Millions of years ago, Earth's south pole was much colder than it is today.
Answer: (","Which is the most possible answer?
(A) Millions of years ago, Antarctica was in a warmer location on Earth.
(B) Recently, a natural disaster killed all of the fern plants in Antarctica.
(C) Recently, birds stopped carrying the seeds of fern plants to Antarctica.
(D) Millions of years ago, Earth's south pole was much colder than it is today.
Answer: (",32,"[33, 34, 35]"
Mercury_7263008,Which two theories of Moon formation propose that much or all of the material comprising the Moon came from Earth?,"{'text': array(['The Fission Theory and The Coaccretion Theory',
       'The Coaccretion Theory and The Capture Theory',
       'The Fission Theory and the Giant Impact Theory',
       'The Capture Theory and the Giant Impact Theory'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Which two theories of Moon formation propose that much or all of the material comprising the Moon came from Earth?
(A) The Fission Theory and The Coaccretion Theory
(B) The Coaccretion Theory and The Capture Theory
(C) The Fission Theory and the Giant Impact Theory
(D) The Capture Theory and the Giant Impact Theory
Answer: (","Which is the most possible answer?
(A) The Fission Theory and The Coaccretion Theory
(B) The Coaccretion Theory and The Capture Theory
(C) The Fission Theory and the Giant Impact Theory
(D) The Capture Theory and the Giant Impact Theory
Answer: (",34,"[32, 33, 35]"
MCAS_2000_4_29,"When white, fluffy clouds appear in Massachusetts, the weather that day will MOST LIKELY be","{'text': array(['fair.', 'stormy.', 'foggy.', 'rainy.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"When white, fluffy clouds appear in Massachusetts, the weather that day will MOST LIKELY be
(A) fair.
(B) stormy.
(C) foggy.
(D) rainy.
Answer: (","Which is the most possible answer?
(A) fair.
(B) stormy.
(C) foggy.
(D) rainy.
Answer: (",32,"[33, 34, 35]"
CSZ_2008_5_CSZ10233,Plants and animals are composed of organic compounds. Which of the following are the common elements found in organic compounds?,"{'text': array(['iron, oxygen, nickel, copper.',
       'sodium, potassium, gold, hydrogen.',
       'helium, neon, argon, krypton.',
       'carbon, hydrogen, oxygen, nitrogen.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Plants and animals are composed of organic compounds. Which of the following are the common elements found in organic compounds?
(A) iron, oxygen, nickel, copper.
(B) sodium, potassium, gold, hydrogen.
(C) helium, neon, argon, krypton.
(D) carbon, hydrogen, oxygen, nitrogen.
Answer: (","Which is the most possible answer?
(A) iron, oxygen, nickel, copper.
(B) sodium, potassium, gold, hydrogen.
(C) helium, neon, argon, krypton.
(D) carbon, hydrogen, oxygen, nitrogen.
Answer: (",35,"[32, 33, 34]"
Mercury_7128660,New research uncovers information that proves that the data from an old theory is partially incorrect. What should the scientific community do about the old theory?,"{'text': array(['remove the old theory from historical records',
       'change the research notes in the original theory',
       'use the new information to update the old theory',
       'ban the public from discussing the old theory'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"New research uncovers information that proves that the data from an old theory is partially incorrect. What should the scientific community do about the old theory?
(A) remove the old theory from historical records
(B) change the research notes in the original theory
(C) use the new information to update the old theory
(D) ban the public from discussing the old theory
Answer: (","Which is the most possible answer?
(A) remove the old theory from historical records
(B) change the research notes in the original theory
(C) use the new information to update the old theory
(D) ban the public from discussing the old theory
Answer: (",34,"[32, 33, 35]"
Mercury_7100520,Which is the greatest benefit of sexual reproduction?,"{'text': array(['capable of reproducing by meiosis',
       'ability to reproduce without a mate',
       'ability to produce genetically different offspring',
       'capable of producing offspring genetically identical to parent'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Which is the greatest benefit of sexual reproduction?
(A) capable of reproducing by meiosis
(B) ability to reproduce without a mate
(C) ability to produce genetically different offspring
(D) capable of producing offspring genetically identical to parent
Answer: (","Which is the most possible answer?
(A) capable of reproducing by meiosis
(B) ability to reproduce without a mate
(C) ability to produce genetically different offspring
(D) capable of producing offspring genetically identical to parent
Answer: (",34,"[32, 33, 35]"
Mercury_7017728,The speed at which sound waves travel depends on the,"{'text': array(['distance between the vibration source and the receiver.',
       'type of material through which the sound travels.',
       'size of the object making the sound.',
       'type of device making the sound.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"The speed at which sound waves travel depends on the
(A) distance between the vibration source and the receiver.
(B) type of material through which the sound travels.
(C) size of the object making the sound.
(D) type of device making the sound.
Answer: (","Which is the most possible answer?
(A) distance between the vibration source and the receiver.
(B) type of material through which the sound travels.
(C) size of the object making the sound.
(D) type of device making the sound.
Answer: (",33,"[32, 34, 35]"
Mercury_7032865,Which scientist is credited with discovering the first four moons of Jupiter?,"{'text': array(['Galileo Galilei', 'Albert Einstein', 'Charles Darwin',
       'Sir Isaac Newton'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Which scientist is credited with discovering the first four moons of Jupiter?
(A) Galileo Galilei
(B) Albert Einstein
(C) Charles Darwin
(D) Sir Isaac Newton
Answer: (","Which is the most possible answer?
(A) Galileo Galilei
(B) Albert Einstein
(C) Charles Darwin
(D) Sir Isaac Newton
Answer: (",32,"[33, 34, 35]"
Mercury_405057,"During science class, a teacher explains that the samples the students are studying are made of two or more minerals. What are the students studying?","{'text': array(['gases', 'rocks', 'elements', 'molecules'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"During science class, a teacher explains that the samples the students are studying are made of two or more minerals. What are the students studying?
(A) gases
(B) rocks
(C) elements
(D) molecules
Answer: (","Which is the most possible answer?
(A) gases
(B) rocks
(C) elements
(D) molecules
Answer: (",33,"[32, 34, 35]"
Mercury_7057593,"When the Northern Hemisphere is tilted away from the Sun causing the rays of light to hit Earth at large angles, which season occurs?","{'text': array(['winter', 'spring', 'summer', 'fall'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"When the Northern Hemisphere is tilted away from the Sun causing the rays of light to hit Earth at large angles, which season occurs?
(A) winter
(B) spring
(C) summer
(D) fall
Answer: (","Which is the most possible answer?
(A) winter
(B) spring
(C) summer
(D) fall
Answer: (",32,"[33, 34, 35]"
Mercury_SC_405231,"A scientist found fossils of ocean shells on a mountain top. Based on this find, which statement can be made?","{'text': array(['The climate was once colder.',
       'The shells were carried by the wind.',
       'The mountain was covered by water.',
       'The shells once lived on dry land.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"A scientist found fossils of ocean shells on a mountain top. Based on this find, which statement can be made?
(A) The climate was once colder.
(B) The shells were carried by the wind.
(C) The mountain was covered by water.
(D) The shells once lived on dry land.
Answer: (","Which is the most possible answer?
(A) The climate was once colder.
(B) The shells were carried by the wind.
(C) The mountain was covered by water.
(D) The shells once lived on dry land.
Answer: (",34,"[32, 33, 35]"
VASoL_2007_5_38,A student sees many plants around a pond. The student can determine which plants are nonvascular by,"{'text': array(['observing if they lack true stems, roots, or leaves',
       'examining the plants for spores',
       'counting the number of leaves on each stalk',
       'noticing if the plants are near rocks'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"A student sees many plants around a pond. The student can determine which plants are nonvascular by
(A) observing if they lack true stems, roots, or leaves
(B) examining the plants for spores
(C) counting the number of leaves on each stalk
(D) noticing if the plants are near rocks
Answer: (","Which is the most possible answer?
(A) observing if they lack true stems, roots, or leaves
(B) examining the plants for spores
(C) counting the number of leaves on each stalk
(D) noticing if the plants are near rocks
Answer: (",32,"[33, 34, 35]"
