question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
"A food additive is considered to be safe when:
",No evidence of human toxicity has been observed over the period of its use,Estimated Daily Intake (EDI) from its presence in food is less than its ADI,Its toxic effects are observed only at doses 100x the EDI,Its benefits outweigh its risks,B,nutrition,"A food additive is considered to be safe when:

(A) No evidence of human toxicity has been observed over the period of its use
(B) Estimated Daily Intake (EDI) from its presence in food is less than its ADI
(C) Its toxic effects are observed only at doses 100x the EDI
(D) Its benefits outweigh its risks
Answer: (","Which is the most possible answer?
(A) No evidence of human toxicity has been observed over the period of its use
(B) Estimated Daily Intake (EDI) from its presence in food is less than its ADI
(C) Its toxic effects are observed only at doses 100x the EDI
(D) Its benefits outweigh its risks
Answer: (",33,"[32, 34, 35]"
"Which of the following statements is true:
",Childhood stunting before 24 months of age affects short term cognitive performance,Childhood stunting before 24 months of age affects long term cognitive performance,Neither of the statements are correct,Both of the statements are correct,D,nutrition,"Which of the following statements is true:

(A) Childhood stunting before 24 months of age affects short term cognitive performance
(B) Childhood stunting before 24 months of age affects long term cognitive performance
(C) Neither of the statements are correct
(D) Both of the statements are correct
Answer: (","Which is the most possible answer?
(A) Childhood stunting before 24 months of age affects short term cognitive performance
(B) Childhood stunting before 24 months of age affects long term cognitive performance
(C) Neither of the statements are correct
(D) Both of the statements are correct
Answer: (",35,"[32, 33, 34]"
"What role do women play in food security?
",Their main role is preparing meals.,"They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.","They weed the fields, but never plough or plant them, as only men are strong enough for those activities.",Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.,B,nutrition,"What role do women play in food security?

(A) Their main role is preparing meals.
(B) They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.
(C) They weed the fields, but never plough or plant them, as only men are strong enough for those activities.
(D) Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.
Answer: (","Which is the most possible answer?
(A) Their main role is preparing meals.
(B) They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.
(C) They weed the fields, but never plough or plant them, as only men are strong enough for those activities.
(D) Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.
Answer: (",33,"[32, 34, 35]"
"The following amino acids are all essential components of the diet:
","leucine, methionine and threonine","proline, tyrosine and serine","valine, glycine and arginine","leucine, cysteine and glycine",A,nutrition,"The following amino acids are all essential components of the diet:

(A) leucine, methionine and threonine
(B) proline, tyrosine and serine
(C) valine, glycine and arginine
(D) leucine, cysteine and glycine
Answer: (","Which is the most possible answer?
(A) leucine, methionine and threonine
(B) proline, tyrosine and serine
(C) valine, glycine and arginine
(D) leucine, cysteine and glycine
Answer: (",32,"[33, 34, 35]"
"Which single statement about fat digestion and absorption is correct?
",Absorption of fatty acids in the intestine occurs mainly through FABP and FAT/CD36 transport proteins in the enterocytes of the distal duodenum,"After absorption, medium chain triglycerides (MCT) enter the lymphatic system, whereas long chain triglycerides enter the portal blood system.",The products of partial digestion of triglycerides (triacylglycerols) can form mixed micelles with pancreatic cholesterol and phospholipids and this increases absorption,Triglycerides (triacylglycerols) must be emulsified and digested before the fatty acids can be transported,D,nutrition,"Which single statement about fat digestion and absorption is correct?

(A) Absorption of fatty acids in the intestine occurs mainly through FABP and FAT/CD36 transport proteins in the enterocytes of the distal duodenum
(B) After absorption, medium chain triglycerides (MCT) enter the lymphatic system, whereas long chain triglycerides enter the portal blood system.
(C) The products of partial digestion of triglycerides (triacylglycerols) can form mixed micelles with pancreatic cholesterol and phospholipids and this increases absorption
(D) Triglycerides (triacylglycerols) must be emulsified and digested before the fatty acids can be transported
Answer: (","Which is the most possible answer?
(A) Absorption of fatty acids in the intestine occurs mainly through FABP and FAT/CD36 transport proteins in the enterocytes of the distal duodenum
(B) After absorption, medium chain triglycerides (MCT) enter the lymphatic system, whereas long chain triglycerides enter the portal blood system.
(C) The products of partial digestion of triglycerides (triacylglycerols) can form mixed micelles with pancreatic cholesterol and phospholipids and this increases absorption
(D) Triglycerides (triacylglycerols) must be emulsified and digested before the fatty acids can be transported
Answer: (",35,"[32, 33, 34]"
"Which fatty acids found in plasma phospholipids are associated with reduced cardiovascular mortality?
",Palmitic acid (16:0),Long chain (=20 carbons) saturated and n-3 polyunsaturated fatty acids,á-linolenic acid (18:3),Stearic acid (18:0),B,nutrition,"Which fatty acids found in plasma phospholipids are associated with reduced cardiovascular mortality?

(A) Palmitic acid (16:0)
(B) Long chain (=20 carbons) saturated and n-3 polyunsaturated fatty acids
(C) á-linolenic acid (18:3)
(D) Stearic acid (18:0)
Answer: (","Which is the most possible answer?
(A) Palmitic acid (16:0)
(B) Long chain (=20 carbons) saturated and n-3 polyunsaturated fatty acids
(C) á-linolenic acid (18:3)
(D) Stearic acid (18:0)
Answer: (",33,"[32, 34, 35]"
"Crohn's disease:
",Always affects the colon,May lead to intestinal obstruction,Is best treated surgically,Requires a gluten free diet,B,nutrition,"Crohn's disease:

(A) Always affects the colon
(B) May lead to intestinal obstruction
(C) Is best treated surgically
(D) Requires a gluten free diet
Answer: (","Which is the most possible answer?
(A) Always affects the colon
(B) May lead to intestinal obstruction
(C) Is best treated surgically
(D) Requires a gluten free diet
Answer: (",33,"[32, 34, 35]"
"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe
",Women over age 80 with osteopenia have above average bone mineral density for their age,Fewer than 10% of women over age 50 have osteopenia,Fewer than 50% of women over age 80 have osteopenia or osteoporosis,Osteoporosis is defined as a bone density lower than 2.5 standard deviations below the average for age-matched controls.,A,nutrition,"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe

(A) Women over age 80 with osteopenia have above average bone mineral density for their age
(B) Fewer than 10% of women over age 50 have osteopenia
(C) Fewer than 50% of women over age 80 have osteopenia or osteoporosis
(D) Osteoporosis is defined as a bone density lower than 2.5 standard deviations below the average for age-matched controls.
Answer: (","Which is the most possible answer?
(A) Women over age 80 with osteopenia have above average bone mineral density for their age
(B) Fewer than 10% of women over age 50 have osteopenia
(C) Fewer than 50% of women over age 80 have osteopenia or osteoporosis
(D) Osteoporosis is defined as a bone density lower than 2.5 standard deviations below the average for age-matched controls.
Answer: (",32,"[33, 34, 35]"
"Which country has undergone the most rapid nutrition transition in the last two decades?
",China,Sweden,Britain,India,A,nutrition,"Which country has undergone the most rapid nutrition transition in the last two decades?

(A) China
(B) Sweden
(C) Britain
(D) India
Answer: (","Which is the most possible answer?
(A) China
(B) Sweden
(C) Britain
(D) India
Answer: (",32,"[33, 34, 35]"
"Acute binge drinking is associated with?
",Happy heart syndrome,Home heart syndrome,Beach heart syndrome,Holiday heart syndrome,D,nutrition,"Acute binge drinking is associated with?

(A) Happy heart syndrome
(B) Home heart syndrome
(C) Beach heart syndrome
(D) Holiday heart syndrome
Answer: (","Which is the most possible answer?
(A) Happy heart syndrome
(B) Home heart syndrome
(C) Beach heart syndrome
(D) Holiday heart syndrome
Answer: (",35,"[32, 33, 34]"
"Why are some specific indices of iron status (such as serum ferritin or transferrin receptors) generally considered to be more reliable indices of iron status, than blood haemoglobin levels are?
",Because they respond more rapidly to changes in iron levels in the diet.,"Because blood haemoglobin levels can also respond to a variety of other factors and insults, such as lead poisoning, chronic disease, etc.",Because the specific iron indices can be measured more accurately and easily.,"Because haemoglobin levels vary with subject age, and between the sexes.",B,nutrition,"Why are some specific indices of iron status (such as serum ferritin or transferrin receptors) generally considered to be more reliable indices of iron status, than blood haemoglobin levels are?

(A) Because they respond more rapidly to changes in iron levels in the diet.
(B) Because blood haemoglobin levels can also respond to a variety of other factors and insults, such as lead poisoning, chronic disease, etc.
(C) Because the specific iron indices can be measured more accurately and easily.
(D) Because haemoglobin levels vary with subject age, and between the sexes.
Answer: (","Which is the most possible answer?
(A) Because they respond more rapidly to changes in iron levels in the diet.
(B) Because blood haemoglobin levels can also respond to a variety of other factors and insults, such as lead poisoning, chronic disease, etc.
(C) Because the specific iron indices can be measured more accurately and easily.
(D) Because haemoglobin levels vary with subject age, and between the sexes.
Answer: (",33,"[32, 34, 35]"
"What stable isotope is commonly given for the measurement of total body water?
",Deuterium,Carbon 13,Nitrogen 15,Oxygen 18,A,nutrition,"What stable isotope is commonly given for the measurement of total body water?

(A) Deuterium
(B) Carbon 13
(C) Nitrogen 15
(D) Oxygen 18
Answer: (","Which is the most possible answer?
(A) Deuterium
(B) Carbon 13
(C) Nitrogen 15
(D) Oxygen 18
Answer: (",32,"[33, 34, 35]"
"What are focus areas of nutritional epidemiology?
",The role of nutritional factors in causing disease in a population.,How changes in food intake in the population can promote good health.,Both of the options given are correct.,None of the options given is correct.,C,nutrition,"What are focus areas of nutritional epidemiology?

(A) The role of nutritional factors in causing disease in a population.
(B) How changes in food intake in the population can promote good health.
(C) Both of the options given are correct.
(D) None of the options given is correct.
Answer: (","Which is the most possible answer?
(A) The role of nutritional factors in causing disease in a population.
(B) How changes in food intake in the population can promote good health.
(C) Both of the options given are correct.
(D) None of the options given is correct.
Answer: (",34,"[32, 33, 35]"
"Which of the following diet-derived compounds have epigenetic effects?
",Butyrate,Curcumin,Genistein,All of the options given are correct,D,nutrition,"Which of the following diet-derived compounds have epigenetic effects?

(A) Butyrate
(B) Curcumin
(C) Genistein
(D) All of the options given are correct
Answer: (","Which is the most possible answer?
(A) Butyrate
(B) Curcumin
(C) Genistein
(D) All of the options given are correct
Answer: (",35,"[32, 33, 34]"
"Which of the following does not occur with increasing age?
",A reduction in lean body mass,A reduction in bone density,An increased appetite,Impaired immune function,C,nutrition,"Which of the following does not occur with increasing age?

(A) A reduction in lean body mass
(B) A reduction in bone density
(C) An increased appetite
(D) Impaired immune function
Answer: (","Which is the most possible answer?
(A) A reduction in lean body mass
(B) A reduction in bone density
(C) An increased appetite
(D) Impaired immune function
Answer: (",34,"[32, 33, 35]"
"Which vitamin is required for synthesis of the blood clotting proteins?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,D,nutrition,"Which vitamin is required for synthesis of the blood clotting proteins?

(A) Vitamin A
(B) Vitamin D
(C) Vitamin E
(D) Vitamin K
Answer: (","Which is the most possible answer?
(A) Vitamin A
(B) Vitamin D
(C) Vitamin E
(D) Vitamin K
Answer: (",35,"[32, 33, 34]"
"What the largest endogenous substrate source in the body?
",Liver glycogen,Muscle glycogen,Intramuscular lipid,Adipose tissue,D,nutrition,"What the largest endogenous substrate source in the body?

(A) Liver glycogen
(B) Muscle glycogen
(C) Intramuscular lipid
(D) Adipose tissue
Answer: (","Which is the most possible answer?
(A) Liver glycogen
(B) Muscle glycogen
(C) Intramuscular lipid
(D) Adipose tissue
Answer: (",35,"[32, 33, 34]"
"Which of the following statements concerning transamination is correct?
",Only non-essential (dispensable) amino acids undergo transamination.,Transamination is an irreversible reaction in amino acid catabolism.,Transaminases require a coenzyme derived from vitamin B12.,Transaminases require a coenzyme derived from vitamin B6.,D,nutrition,"Which of the following statements concerning transamination is correct?

(A) Only non-essential (dispensable) amino acids undergo transamination.
(B) Transamination is an irreversible reaction in amino acid catabolism.
(C) Transaminases require a coenzyme derived from vitamin B12.
(D) Transaminases require a coenzyme derived from vitamin B6.
Answer: (","Which is the most possible answer?
(A) Only non-essential (dispensable) amino acids undergo transamination.
(B) Transamination is an irreversible reaction in amino acid catabolism.
(C) Transaminases require a coenzyme derived from vitamin B12.
(D) Transaminases require a coenzyme derived from vitamin B6.
Answer: (",35,"[32, 33, 34]"
"What is food security?
",It relates to efforts to prevent terrorists from poisoning food supplies.,It is about ensuring everyone's access to food.,"Its component elements include availability, utilisation, and stability, as well as access.",Food security focuses primarily on ending micronutrient malnutrition.,C,nutrition,"What is food security?

(A) It relates to efforts to prevent terrorists from poisoning food supplies.
(B) It is about ensuring everyone's access to food.
(C) Its component elements include availability, utilisation, and stability, as well as access.
(D) Food security focuses primarily on ending micronutrient malnutrition.
Answer: (","Which is the most possible answer?
(A) It relates to efforts to prevent terrorists from poisoning food supplies.
(B) It is about ensuring everyone's access to food.
(C) Its component elements include availability, utilisation, and stability, as well as access.
(D) Food security focuses primarily on ending micronutrient malnutrition.
Answer: (",34,"[32, 33, 35]"
"What is the likely reason that evidence to support the relationship between dietary cholesterol and plasma LDL cholesterol levels in humans is inconclusive?
",The complexity of the mechanisms regulating the absorption of cholesterol and its export in lipoproteins.,The complexity of the mechanism controlling the clearance of intestinally derived lipoproteins by the liver.,The multiple intrahepatic responses to increased cellular cholesterol.,All of the above.,D,nutrition,"What is the likely reason that evidence to support the relationship between dietary cholesterol and plasma LDL cholesterol levels in humans is inconclusive?

(A) The complexity of the mechanisms regulating the absorption of cholesterol and its export in lipoproteins.
(B) The complexity of the mechanism controlling the clearance of intestinally derived lipoproteins by the liver.
(C) The multiple intrahepatic responses to increased cellular cholesterol.
(D) All of the above.
Answer: (","Which is the most possible answer?
(A) The complexity of the mechanisms regulating the absorption of cholesterol and its export in lipoproteins.
(B) The complexity of the mechanism controlling the clearance of intestinally derived lipoproteins by the liver.
(C) The multiple intrahepatic responses to increased cellular cholesterol.
(D) All of the above.
Answer: (",35,"[32, 33, 34]"
"Which of the following statements about amino acid scoring for predicting protein quality in human nutrition is correct?
",The amino acid score is calculated by comparing the amino acid pattern of the protein to that of egg protein.,The amino acid score is calculated by comparing the amino acid pattern of the protein to that of milk protein.,A single reference pattern is used to calculate the amino acid score for all ages,Different amino acid scoring patterns are used for different age groups.,D,nutrition,"Which of the following statements about amino acid scoring for predicting protein quality in human nutrition is correct?

(A) The amino acid score is calculated by comparing the amino acid pattern of the protein to that of egg protein.
(B) The amino acid score is calculated by comparing the amino acid pattern of the protein to that of milk protein.
(C) A single reference pattern is used to calculate the amino acid score for all ages
(D) Different amino acid scoring patterns are used for different age groups.
Answer: (","Which is the most possible answer?
(A) The amino acid score is calculated by comparing the amino acid pattern of the protein to that of egg protein.
(B) The amino acid score is calculated by comparing the amino acid pattern of the protein to that of milk protein.
(C) A single reference pattern is used to calculate the amino acid score for all ages
(D) Different amino acid scoring patterns are used for different age groups.
Answer: (",35,"[32, 33, 34]"
"A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?
",Bacterial and yeast overgrowth in the small intestine,Lack of pancreatic amylase,Lack of small intestinal lactase,Lack of small intestinal sucrase-isomaltase,C,nutrition,"A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?

(A) Bacterial and yeast overgrowth in the small intestine
(B) Lack of pancreatic amylase
(C) Lack of small intestinal lactase
(D) Lack of small intestinal sucrase-isomaltase
Answer: (","Which is the most possible answer?
(A) Bacterial and yeast overgrowth in the small intestine
(B) Lack of pancreatic amylase
(C) Lack of small intestinal lactase
(D) Lack of small intestinal sucrase-isomaltase
Answer: (",34,"[32, 33, 35]"
"Which of the following is the main nitrogenous compound in urine?
",Uric acid,Ammonia,Urea,Creatinine,C,nutrition,"Which of the following is the main nitrogenous compound in urine?

(A) Uric acid
(B) Ammonia
(C) Urea
(D) Creatinine
Answer: (","Which is the most possible answer?
(A) Uric acid
(B) Ammonia
(C) Urea
(D) Creatinine
Answer: (",34,"[32, 33, 35]"
"It has been observed that a reduction in family size and improved sanitary condition have led to an increase in allergic conditions. The 'hygiene hypothesis' suggests that
",The frequent use of antiseptic swipes will reduce allergies,Living on a working farm will help reducing the development of atopic diseases,Particular care must be taken during breast feeding in high risk infants,Living on a working farm will increase the development of atopic diseases,B,nutrition,"It has been observed that a reduction in family size and improved sanitary condition have led to an increase in allergic conditions. The 'hygiene hypothesis' suggests that

(A) The frequent use of antiseptic swipes will reduce allergies
(B) Living on a working farm will help reducing the development of atopic diseases
(C) Particular care must be taken during breast feeding in high risk infants
(D) Living on a working farm will increase the development of atopic diseases
Answer: (","Which is the most possible answer?
(A) The frequent use of antiseptic swipes will reduce allergies
(B) Living on a working farm will help reducing the development of atopic diseases
(C) Particular care must be taken during breast feeding in high risk infants
(D) Living on a working farm will increase the development of atopic diseases
Answer: (",33,"[32, 34, 35]"
"Why might some biochemical (eg plasma or serum) indices of micronutrient status give misleading results in people with infections or inflammatory states?
","Because people who are sick often alter their diets, and may eat less food.",Because the accuracy of some laboratory assays may be compromised in samples from people who are sick.,"Because some metabolic pathways are altered in sick people, which changes their micronutrient requirements.",Because an acute phase reaction results in changes in inter-tissue distributions of certain micronutrients.,D,nutrition,"Why might some biochemical (eg plasma or serum) indices of micronutrient status give misleading results in people with infections or inflammatory states?

(A) Because people who are sick often alter their diets, and may eat less food.
(B) Because the accuracy of some laboratory assays may be compromised in samples from people who are sick.
(C) Because some metabolic pathways are altered in sick people, which changes their micronutrient requirements.
(D) Because an acute phase reaction results in changes in inter-tissue distributions of certain micronutrients.
Answer: (","Which is the most possible answer?
(A) Because people who are sick often alter their diets, and may eat less food.
(B) Because the accuracy of some laboratory assays may be compromised in samples from people who are sick.
(C) Because some metabolic pathways are altered in sick people, which changes their micronutrient requirements.
(D) Because an acute phase reaction results in changes in inter-tissue distributions of certain micronutrients.
Answer: (",35,"[32, 33, 34]"
"What proportion of vegans is likely to be deficient in vitamin B12?
",3%,32%,66%,15%,B,nutrition,"What proportion of vegans is likely to be deficient in vitamin B12?

(A) 3%
(B) 32%
(C) 66%
(D) 15%
Answer: (","Which is the most possible answer?
(A) 3%
(B) 32%
(C) 66%
(D) 15%
Answer: (",33,"[32, 34, 35]"
"Which of these factors increases the risk for cancer of the oesophagus?
",Processed meat,Fruit and vegetables,Salt,Alcohol,D,nutrition,"Which of these factors increases the risk for cancer of the oesophagus?

(A) Processed meat
(B) Fruit and vegetables
(C) Salt
(D) Alcohol
Answer: (","Which is the most possible answer?
(A) Processed meat
(B) Fruit and vegetables
(C) Salt
(D) Alcohol
Answer: (",35,"[32, 33, 34]"
"Which one of the following statements about protein nutrition is correct?
","There is a requirement for dietary protein, but it is unimportant which protein is consumed.","The requirement for dietary protein is for individual amino acids, not simply the total amount of protein in the diet.",All dietary proteins have the same amino acid content and composition.,For an adult in nitrogen equilibrium there is only a small requirement for an intake of protein since amino acids arising from tissue protein catabolism are available for new protein synthesis.,B,nutrition,"Which one of the following statements about protein nutrition is correct?

(A) There is a requirement for dietary protein, but it is unimportant which protein is consumed.
(B) The requirement for dietary protein is for individual amino acids, not simply the total amount of protein in the diet.
(C) All dietary proteins have the same amino acid content and composition.
(D) For an adult in nitrogen equilibrium there is only a small requirement for an intake of protein since amino acids arising from tissue protein catabolism are available for new protein synthesis.
Answer: (","Which is the most possible answer?
(A) There is a requirement for dietary protein, but it is unimportant which protein is consumed.
(B) The requirement for dietary protein is for individual amino acids, not simply the total amount of protein in the diet.
(C) All dietary proteins have the same amino acid content and composition.
(D) For an adult in nitrogen equilibrium there is only a small requirement for an intake of protein since amino acids arising from tissue protein catabolism are available for new protein synthesis.
Answer: (",33,"[32, 34, 35]"
"Higher dietary sodium (salt) intake is generally associated with:
",Decreased calcium excretion in the urine,Increased risk of fracture,Decreased dietary calcium absorption,Negative calcium balance and bone mineral loss,D,nutrition,"Higher dietary sodium (salt) intake is generally associated with:

(A) Decreased calcium excretion in the urine
(B) Increased risk of fracture
(C) Decreased dietary calcium absorption
(D) Negative calcium balance and bone mineral loss
Answer: (","Which is the most possible answer?
(A) Decreased calcium excretion in the urine
(B) Increased risk of fracture
(C) Decreased dietary calcium absorption
(D) Negative calcium balance and bone mineral loss
Answer: (",35,"[32, 33, 34]"
"Which of the following is a function of vitamin B6?
",Synthesis of TMP (thymidine monophosphate),Decarboxylation of amino acids to form amine neurotransmitters,Synthesis of methionine from homocysteine,Carboxylation of pyruvate to oxaloacetate,B,nutrition,"Which of the following is a function of vitamin B6?

(A) Synthesis of TMP (thymidine monophosphate)
(B) Decarboxylation of amino acids to form amine neurotransmitters
(C) Synthesis of methionine from homocysteine
(D) Carboxylation of pyruvate to oxaloacetate
Answer: (","Which is the most possible answer?
(A) Synthesis of TMP (thymidine monophosphate)
(B) Decarboxylation of amino acids to form amine neurotransmitters
(C) Synthesis of methionine from homocysteine
(D) Carboxylation of pyruvate to oxaloacetate
Answer: (",33,"[32, 34, 35]"
"Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:
",in the embryonic period the foetus is vulnerable to external factors in its environment,the embryonic period often occurs before a woman knows she is pregnant,interventions in late pregnancy may be too late to be effective,all of the options given are correct,D,nutrition,"Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:

(A) in the embryonic period the foetus is vulnerable to external factors in its environment
(B) the embryonic period often occurs before a woman knows she is pregnant
(C) interventions in late pregnancy may be too late to be effective
(D) all of the options given are correct
Answer: (","Which is the most possible answer?
(A) in the embryonic period the foetus is vulnerable to external factors in its environment
(B) the embryonic period often occurs before a woman knows she is pregnant
(C) interventions in late pregnancy may be too late to be effective
(D) all of the options given are correct
Answer: (",35,"[32, 33, 34]"
