clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
2*3*64=,53*7*2=,384,12910,25560,2*64*3=,3*2*64=,3*64*2=,64*2*3=,64*3*2=,64*3*2=,64*3*2=,64*3*2=,64*3*2=
11*11*6=,23*3*6=,726,24430,17448,11*6*11=,11*11*6=,11*6*11=,6*11*11=,6*11*11=,6*11*11=,6*11*11=,6*11*11=,6*11*11=
2*8*24=,2*5*96=,384,12910,16415,2*24*8=,8*2*24=,8*24*2=,24*2*8=,24*8*2=,24*8*2=,24*8*2=,24*8*2=,24*8*2=
7*2*38=,4*4*42=,532,20711,22768,7*38*2=,2*7*38=,2*38*7=,38*7*2=,38*2*7=,38*2*7=,38*2*7=,38*2*7=,38*2*7=
2*8*8=,53*7*2=,128,4386,25560,2*8*8=,8*2*8=,8*8*2=,8*2*8=,8*8*2=,8*8*2=,8*8*2=,8*8*2=,8*8*2=
2*5*68=,2*4*28=,680,17814,10697,2*68*5=,5*2*68=,5*68*2=,68*2*5=,68*5*2=,68*5*2=,68*5*2=,68*5*2=,68*5*2=
2*6*10=,73*2*3=,120,4364,20596,2*10*6=,6*2*10=,6*10*2=,10*2*6=,10*6*2=,10*6*2=,10*6*2=,10*6*2=,10*6*2=
11*3*22=,13*19*4=,726,24430,24538,11*22*3=,3*11*22=,3*22*11=,22*11*3=,22*3*11=,22*3*11=,22*3*11=,22*3*11=,22*3*11=
4*4*52=,3*3*25=,832,23879,11057,4*52*4=,4*4*52=,4*52*4=,52*4*4=,52*4*4=,52*4*4=,52*4*4=,52*4*4=,52*4*4=
2*2*104=,11*11*6=,416,17763,24430,2*104*2=,2*2*104=,2*104*2=,104*2*2=,104*2*2=,104*2*2=,104*2*2=,104*2*2=,104*2*2=
2*28*8=,7*2*31=,448,19956,20165,2*8*28=,28*2*8=,28*8*2=,8*2*28=,8*28*2=,8*28*2=,8*28*2=,8*28*2=,8*28*2=
3*4*24=,41*6*4=,288,15287,23812,3*24*4=,4*3*24=,4*24*3=,24*3*4=,24*4*3=,24*4*3=,24*4*3=,24*4*3=,24*4*3=
2*5*96=,7*2*31=,960,16415,20165,2*96*5=,5*2*96=,5*96*2=,96*2*5=,96*5*2=,96*5*2=,96*5*2=,96*5*2=,96*5*2=
2*67*6=,2*3*86=,804,20417,20571,2*6*67=,67*2*6=,67*6*2=,6*2*67=,6*67*2=,6*67*2=,6*67*2=,6*67*2=,6*67*2=
5*6*10=,53*7*2=,300,3101,25560,5*10*6=,6*5*10=,6*10*5=,10*5*6=,10*6*5=,10*6*5=,10*6*5=,10*6*5=,10*6*5=
2*25*8=,11*11*6=,400,3443,24430,2*8*25=,25*2*8=,25*8*2=,8*2*25=,8*25*2=,8*25*2=,8*25*2=,8*25*2=,8*25*2=
2*10*32=,2*2*136=,640,14033,21239,2*32*10=,10*2*32=,10*32*2=,32*2*10=,32*10*2=,32*10*2=,32*10*2=,32*10*2=,32*10*2=
2*21*12=,2*10*48=,504,18048,16415,2*12*21=,21*2*12=,21*12*2=,12*2*21=,12*21*2=,12*21*2=,12*21*2=,12*21*2=,12*21*2=
13*2*4=,2*6*45=,104,6849,17048,13*4*2=,2*13*4=,2*4*13=,4*13*2=,4*2*13=,4*2*13=,4*2*13=,4*2*13=,4*2*13=
9*12*8=,41*6*4=,864,19355,23812,9*8*12=,12*9*8=,12*8*9=,8*9*12=,8*12*9=,8*12*9=,8*12*9=,8*12*9=,8*12*9=
2*19*3=,2*4*48=,114,8011,12910,2*3*19=,19*2*3=,19*3*2=,3*2*19=,3*19*2=,3*19*2=,3*19*2=,3*19*2=,3*19*2=
2*21*10=,3*4*66=,420,12819,24763,2*10*21=,21*2*10=,21*10*2=,10*2*21=,10*21*2=,10*21*2=,10*21*2=,10*21*2=,10*21*2=
3*4*60=,23*3*6=,720,13104,17448,3*60*4=,4*3*60=,4*60*3=,60*3*4=,60*4*3=,60*4*3=,60*4*3=,60*4*3=,60*4*3=
2*21*4=,6*18*8=,168,8953,19355,2*4*21=,21*2*4=,21*4*2=,4*2*21=,4*21*2=,4*21*2=,4*21*2=,4*21*2=,4*21*2=
6*18*8=,3*3*28=,864,19355,12326,6*8*18=,18*6*8=,18*8*6=,8*6*18=,8*18*6=,8*18*6=,8*18*6=,8*18*6=,8*18*6=
5*6*15=,11*2*43=,450,10617,26491,5*15*6=,6*5*15=,6*15*5=,15*5*6=,15*6*5=,15*6*5=,15*6*5=,15*6*5=,15*6*5=
4*4*42=,2*30*8=,672,22768,11738,4*42*4=,4*4*42=,4*42*4=,42*4*4=,42*4*4=,42*4*4=,42*4*4=,42*4*4=,42*4*4=
2*2*136=,2*25*8=,544,21239,3443,2*136*2=,2*2*136=,2*136*2=,136*2*2=,136*2*2=,136*2*2=,136*2*2=,136*2*2=,136*2*2=
2*3*129=,11*2*43=,774,24472,26491,2*129*3=,3*2*129=,3*129*2=,129*2*3=,129*3*2=,129*3*2=,129*3*2=,129*3*2=,129*3*2=
29*13*2=,10*14*4=,754,23952,17698,29*2*13=,13*29*2=,13*2*29=,2*29*13=,2*13*29=,2*13*29=,2*13*29=,2*13*29=,2*13*29=
3*9*22=,29*2*4=,594,23428,12338,3*22*9=,9*3*22=,9*22*3=,22*3*9=,22*9*3=,22*9*3=,22*9*3=,22*9*3=,22*9*3=
23*2*8=,9*4*4=,368,19057,8929,23*8*2=,2*23*8=,2*8*23=,8*23*2=,8*2*23=,8*2*23=,8*2*23=,8*2*23=,8*2*23=
6*4*36=,2*21*4=,864,19355,8953,6*36*4=,4*6*36=,4*36*6=,36*6*4=,36*4*6=,36*4*6=,36*4*6=,36*4*6=,36*4*6=
5*9*8=,2*46*8=,360,6843,23969,5*8*9=,9*5*8=,9*8*5=,8*5*9=,8*9*5=,8*9*5=,8*9*5=,8*9*5=,8*9*5=
2*4*90=,7*3*33=,720,13104,25298,2*90*4=,4*2*90=,4*90*2=,90*2*4=,90*4*2=,90*4*2=,90*4*2=,90*4*2=,90*4*2=
23*7*4=,3*46*4=,644,21975,21478,23*4*7=,7*23*4=,7*4*23=,4*23*7=,4*7*23=,4*7*23=,4*7*23=,4*7*23=,4*7*23=
13*19*4=,29*2*4=,988,24538,12338,13*4*19=,19*13*4=,19*4*13=,4*13*19=,4*19*13=,4*19*13=,4*19*13=,4*19*13=,4*19*13=
7*4*27=,2*14*16=,756,24456,19956,7*27*4=,4*7*27=,4*27*7=,27*7*4=,27*4*7=,27*4*7=,27*4*7=,27*4*7=,27*4*7=
17*3*14=,4*4*42=,714,23193,22768,17*14*3=,3*17*14=,3*14*17=,14*17*3=,14*3*17=,14*3*17=,14*3*17=,14*3*17=,14*3*17=
11*6*10=,7*4*27=,660,19274,24456,11*10*6=,6*11*10=,6*10*11=,10*11*6=,10*6*11=,10*6*11=,10*6*11=,10*6*11=,10*6*11=
2*51*4=,7*2*31=,408,18058,20165,2*4*51=,51*2*4=,51*4*2=,4*2*51=,4*51*2=,4*51*2=,4*51*2=,4*51*2=,4*51*2=
2*3*62=,23*3*3=,372,17662,12060,2*62*3=,3*2*62=,3*62*2=,62*2*3=,62*3*2=,62*3*2=,62*3*2=,62*3*2=,62*3*2=
23*3*10=,2*5*39=,690,21741,15515,23*10*3=,3*23*10=,3*10*23=,10*23*3=,10*3*23=,10*3*23=,10*3*23=,10*3*23=,10*3*23=
12*8*8=,7*10*10=,768,17521,7007,12*8*8=,8*12*8=,8*8*12=,8*12*8=,8*8*12=,8*8*12=,8*8*12=,8*8*12=,8*8*12=
2*21*9=,10*14*4=,378,19166,17698,2*9*21=,21*2*9=,21*9*2=,9*2*21=,9*21*2=,9*21*2=,9*21*2=,9*21*2=,9*21*2=
2*2*225=,2*25*8=,900,7467,3443,2*225*2=,2*2*225=,2*225*2=,225*2*2=,225*2*2=,225*2*2=,225*2*2=,225*2*2=,225*2*2=
2*21*8=,2*4*28=,336,17014,10697,2*8*21=,21*2*8=,21*8*2=,8*2*21=,8*21*2=,8*21*2=,8*21*2=,8*21*2=,8*21*2=
2*3*98=,12*8*8=,588,20691,17521,2*98*3=,3*2*98=,3*98*2=,98*2*3=,98*3*2=,98*3*2=,98*3*2=,98*3*2=,98*3*2=
7*10*10=,2*5*68=,700,7007,17814,7*10*10=,10*7*10=,10*10*7=,10*7*10=,10*10*7=,10*10*7=,10*10*7=,10*10*7=,10*10*7=
13*2*27=,2*4*90=,702,20253,13104,13*27*2=,2*13*27=,2*27*13=,27*13*2=,27*2*13=,27*2*13=,27*2*13=,27*2*13=,27*2*13=
2*9*30=,2*3*26=,540,17048,10132,2*30*9=,9*2*30=,9*30*2=,30*2*9=,30*9*2=,30*9*2=,30*9*2=,30*9*2=,30*9*2=
2*83*4=,103*2*2=,664,23888,17574,2*4*83=,83*2*4=,83*4*2=,4*2*83=,4*83*2=,4*83*2=,4*83*2=,4*83*2=,4*83*2=
13*3*18=,2*10*32=,702,20253,14033,13*18*3=,3*13*18=,3*18*13=,18*13*3=,18*3*13=,18*3*13=,18*3*13=,18*3*13=,18*3*13=
2*109*4=,3*3*90=,872,25303,19232,2*4*109=,109*2*4=,109*4*2=,4*2*109=,4*109*2=,4*109*2=,4*109*2=,4*109*2=,4*109*2=
3*46*4=,2*2*88=,552,21478,16482,3*4*46=,46*3*4=,46*4*3=,4*3*46=,4*46*3=,4*46*3=,4*46*3=,4*46*3=,4*46*3=
2*10*27=,2*2*34=,540,17048,9795,2*27*10=,10*2*27=,10*27*2=,27*2*10=,27*10*2=,27*10*2=,27*10*2=,27*10*2=,27*10*2=
11*2*32=,2*10*48=,704,21949,16415,11*32*2=,2*11*32=,2*32*11=,32*11*2=,32*2*11=,32*2*11=,32*2*11=,32*2*11=,32*2*11=
53*7*2=,2*21*8=,742,25560,17014,53*2*7=,7*53*2=,7*2*53=,2*53*7=,2*7*53=,2*7*53=,2*7*53=,2*7*53=,2*7*53=
2*3*93=,7*15*4=,558,22895,12819,2*93*3=,3*2*93=,3*93*2=,93*2*3=,93*3*2=,93*3*2=,93*3*2=,93*3*2=,93*3*2=
7*9*15=,29*2*4=,945,24599,12338,7*15*9=,9*7*15=,9*15*7=,15*7*9=,15*9*7=,15*9*7=,15*9*7=,15*9*7=,15*9*7=
