,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
370,"Then, Rebecca and Mark had a lot of fun at the school. Rebecca gave a bone to","Then, Rebecca and Mark had a lot of fun at the school. Jesse gave a bone to","Then, Rebecca and Mark had a lot of fun at the school. Mark gave a bone to",2940,23489
296,"When Brandon and Brittany got a bone at the office, Brandon decided to give it to","When Brandon and Brittany got a bone at the office, Lauren decided to give it to","When Brandon and Brittany got a bone at the office, Brittany decided to give it to",48773,14328
487,"Then, Jesse and Kenneth were working at the office. Jesse decided to give a snack to","Then, Jesse and Kenneth were working at the office. Laura decided to give a snack to","Then, Jesse and Kenneth were working at the office. Kenneth decided to give a snack to",23632,18033
938,"After Shannon and Dustin went to the school, Shannon gave a basketball to","After Shannon and Dustin went to the school, Mary gave a basketball to","After Shannon and Dustin went to the school, Dustin gave a basketball to",37616,28108
364,"Then, David and Katie were working at the hospital. David decided to give a kiss to","Then, David and Katie were working at the hospital. Kelly decided to give a kiss to","Then, David and Katie were working at the hospital. Katie decided to give a kiss to",24721,3271
243,"Then, Christopher and Katherine had a long argument, and afterwards Katherine said to","Then, Christopher and Katherine had a long argument, and afterwards Cody said to","Then, Christopher and Katherine had a long argument, and afterwards Christopher said to",12803,32719
904,"Then, Emily and Matthew had a lot of fun at the garden. Emily gave a snack to","Then, Emily and Matthew had a lot of fun at the garden. Melissa gave a snack to","Then, Emily and Matthew had a lot of fun at the garden. Matthew gave a snack to",9308,17608
418,"Then, Scott and Justin had a lot of fun at the hospital. Scott gave a basketball to","Then, Scott and Justin had a lot of fun at the hospital. Jacob gave a basketball to","Then, Scott and Justin had a lot of fun at the hospital. Justin gave a basketball to",10799,4746
647,"Then, Dustin and Jesse went to the house. Dustin gave a bone to","Then, Dustin and Jesse went to the house. Danielle gave a bone to","Then, Dustin and Jesse went to the house. Jesse gave a bone to",18033,37616
580,"Then, Katherine and Patrick went to the office. Katherine gave a snack to","Then, Katherine and Patrick went to the office. Jennifer gave a snack to","Then, Katherine and Patrick went to the office. Patrick gave a snack to",9925,32719
471,"Then, Laura and Christina had a lot of fun at the station. Christina gave a basketball to","Then, Laura and Christina had a lot of fun at the station. Daniel gave a basketball to","Then, Laura and Christina had a lot of fun at the station. Laura gave a basketball to",16753,33673
886,"Then, Katherine and Justin had a lot of fun at the restaurant. Justin gave a snack to","Then, Katherine and Justin had a lot of fun at the restaurant. Robert gave a snack to","Then, Katherine and Justin had a lot of fun at the restaurant. Katherine gave a snack to",32719,10799
620,"Then, Michael and Bryan had a lot of fun at the hospital. Bryan gave a necklace to","Then, Michael and Bryan had a lot of fun at the hospital. Adam gave a necklace to","Then, Michael and Bryan had a lot of fun at the hospital. Michael gave a necklace to",3899,17857
267,"Then, Brian and Crystal had a lot of fun at the garden. Brian gave a bone to","Then, Brian and Crystal had a lot of fun at the garden. Vanessa gave a bone to","Then, Brian and Crystal had a lot of fun at the garden. Crystal gave a bone to",12969,8403
574,"When John and Patrick got a kiss at the garden, Patrick decided to give it to","When John and Patrick got a kiss at the garden, Samantha decided to give it to","When John and Patrick got a kiss at the garden, John decided to give it to",1757,9925
180,"Then, Jonathan and Alexander had a long argument, and afterwards Jonathan said to","Then, Jonathan and Alexander had a long argument, and afterwards Laura said to","Then, Jonathan and Alexander had a long argument, and afterwards Alexander said to",10009,11232
968,"Then, Nathan and Amy were working at the restaurant. Amy decided to give a bone to","Then, Nathan and Amy were working at the restaurant. Nicholas decided to give a bone to","Then, Nathan and Amy were working at the restaurant. Nathan decided to give a bone to",18106,14235
628,"Then, Thomas and Cody were thinking about going to the hospital. Thomas wanted to give a kiss to","Then, Thomas and Cody were thinking about going to the hospital. Jesse wanted to give a kiss to","Then, Thomas and Cody were thinking about going to the hospital. Cody wanted to give a kiss to",27035,5658
249,"When Erica and Andrea got a snack at the garden, Erica decided to give it to","When Erica and Andrea got a snack at the garden, Shannon decided to give it to","When Erica and Andrea got a snack at the garden, Andrea decided to give it to",23174,45187
373,"When Angela and Gregory got a kiss at the station, Angela decided to give it to","When Angela and Gregory got a kiss at the station, Jesse decided to give it to","When Angela and Gregory got a kiss at the station, Gregory decided to give it to",20653,17799
935,"Then, Mary and Brian were thinking about going to the store. Mary wanted to give a basketball to","Then, Mary and Brian were thinking about going to the store. Lauren wanted to give a basketball to","Then, Mary and Brian were thinking about going to the store. Brian wanted to give a basketball to",8403,5335
169,"Then, Lisa and Katherine were working at the school. Lisa decided to give a snack to","Then, Lisa and Katherine were working at the school. Courtney decided to give a snack to","Then, Lisa and Katherine were working at the school. Katherine decided to give a snack to",32719,15378
824,"Then, Brittany and Crystal had a lot of fun at the store. Brittany gave a bone to","Then, Brittany and Crystal had a lot of fun at the store. Nicole gave a bone to","Then, Brittany and Crystal had a lot of fun at the store. Crystal gave a bone to",12969,48773
506,"When Megan and Jason got a computer at the station, Jason decided to give it to","When Megan and Jason got a computer at the station, David decided to give it to","When Megan and Jason got a computer at the station, Megan decided to give it to",27616,8982
792,"When Brian and Kelly got a ring at the garden, Brian decided to give it to","When Brian and Kelly got a ring at the garden, Andrea decided to give it to","When Brian and Kelly got a ring at the garden, Kelly decided to give it to",9077,8403
489,"After Katherine and Alicia went to the house, Katherine gave a kiss to","After Katherine and Alicia went to the house, Samuel gave a kiss to","After Katherine and Alicia went to the house, Alicia gave a kiss to",39607,32719
954,"Then, Lindsay and Dustin were thinking about going to the office. Lindsay wanted to give a snack to","Then, Lindsay and Dustin were thinking about going to the office. Shannon wanted to give a snack to","Then, Lindsay and Dustin were thinking about going to the office. Dustin wanted to give a snack to",37616,33127
546,"After Sarah and Jason went to the station, Sarah gave a basketball to","After Sarah and Jason went to the station, Eric gave a basketball to","After Sarah and Jason went to the station, Jason gave a basketball to",8982,10490
726,"When Andrea and Christopher got a computer at the station, Andrea decided to give it to","When Andrea and Christopher got a computer at the station, Nicole decided to give it to","When Andrea and Christopher got a computer at the station, Christopher decided to give it to",12803,23174
809,"Then, Emily and Lauren had a long argument, and afterwards Lauren said to","Then, Emily and Lauren had a long argument, and afterwards Ryan said to","Then, Emily and Lauren had a long argument, and afterwards Emily said to",17608,25672
75,"Then, Jonathan and Megan were working at the garden. Jonathan decided to give a snack to","Then, Jonathan and Megan were working at the garden. Allison decided to give a snack to","Then, Jonathan and Megan were working at the garden. Megan decided to give a snack to",27616,11232
49,"After Patrick and Kyle went to the office, Patrick gave a drink to","After Patrick and Kyle went to the office, Christina gave a drink to","After Patrick and Kyle went to the office, Kyle gave a drink to",14316,9925
44,"Then, Shannon and Kristen were thinking about going to the station. Kristen wanted to give a bone to","Then, Shannon and Kristen were thinking about going to the station. Allison wanted to give a bone to","Then, Shannon and Kristen were thinking about going to the station. Shannon wanted to give a bone to",28108,44467
34,"After Erin and Michael went to the hospital, Erin gave a necklace to","After Erin and Michael went to the hospital, Lindsay gave a necklace to","After Erin and Michael went to the hospital, Michael gave a necklace to",3899,28894
505,"When Rebecca and Paul got a kiss at the garden, Paul decided to give it to","When Rebecca and Paul got a kiss at the garden, Sara decided to give it to","When Rebecca and Paul got a kiss at the garden, Rebecca decided to give it to",23489,3362
767,"Then, Vanessa and Jason were working at the garden. Jason decided to give a necklace to","Then, Vanessa and Jason were working at the garden. Joseph decided to give a necklace to","Then, Vanessa and Jason were working at the garden. Vanessa decided to give a necklace to",42100,8982
74,"When Nicole and Benjamin got a drink at the restaurant, Benjamin decided to give it to","When Nicole and Benjamin got a drink at the restaurant, Ashley decided to give it to","When Nicole and Benjamin got a drink at the restaurant, Nicole decided to give it to",25176,14533
196,"Then, Jonathan and Sean had a lot of fun at the restaurant. Jonathan gave a kiss to","Then, Jonathan and Sean had a lot of fun at the restaurant. Amanda gave a kiss to","Then, Jonathan and Sean had a lot of fun at the restaurant. Sean gave a kiss to",11465,11232
702,"Then, Kimberly and Stephanie went to the school. Kimberly gave a kiss to","Then, Kimberly and Stephanie went to the school. Jesse gave a kiss to","Then, Kimberly and Stephanie went to the school. Stephanie gave a kiss to",26085,48685
842,"After Stephanie and Travis went to the house, Travis gave a ring to","After Stephanie and Travis went to the house, Katherine gave a ring to","After Stephanie and Travis went to the house, Stephanie gave a ring to",26085,19804
252,"Then, Danielle and Nicole were working at the garden. Danielle decided to give a ring to","Then, Danielle and Nicole were working at the garden. Nicholas decided to give a ring to","Then, Danielle and Nicole were working at the garden. Nicole decided to give a ring to",25176,39808
297,"After Adam and Shannon went to the school, Adam gave a kiss to","After Adam and Shannon went to the school, Kyle gave a kiss to","After Adam and Shannon went to the school, Shannon gave a kiss to",28108,7244
495,"After Jason and Thomas went to the hospital, Jason gave a bone to","After Jason and Thomas went to the hospital, Timothy gave a bone to","After Jason and Thomas went to the hospital, Thomas gave a bone to",5658,8982
568,"Then, Danielle and Lisa were working at the station. Danielle decided to give a basketball to","Then, Danielle and Lisa were working at the station. Scott decided to give a basketball to","Then, Danielle and Lisa were working at the station. Lisa decided to give a basketball to",15378,39808
307,"After Kenneth and Steven went to the station, Steven gave a ring to","After Kenneth and Steven went to the station, Benjamin gave a ring to","After Kenneth and Steven went to the station, Kenneth gave a ring to",23632,8239
460,"Then, Allison and Angela had a long argument, and afterwards Allison said to","Then, Allison and Angela had a long argument, and afterwards Aaron said to","Then, Allison and Angela had a long argument, and afterwards Angela said to",17799,33461
641,"Then, Brittany and James went to the hospital. James gave a drink to","Then, Brittany and James went to the hospital. Bradley gave a drink to","Then, Brittany and James went to the hospital. Brittany gave a drink to",48773,3700
745,"After Jonathan and Nathan went to the station, Nathan gave a drink to","After Jonathan and Nathan went to the station, Travis gave a drink to","After Jonathan and Nathan went to the station, Jonathan gave a drink to",11232,18106
110,"When Bradley and Ashley got a computer at the hospital, Ashley decided to give it to","When Bradley and Ashley got a computer at the hospital, Matthew decided to give it to","When Bradley and Ashley got a computer at the hospital, Bradley decided to give it to",16182,20899
790,"Then, Charles and Samantha were working at the house. Charles decided to give a computer to","Then, Charles and Samantha were working at the house. Thomas decided to give a computer to","Then, Charles and Samantha were working at the house. Samantha decided to give a computer to",34778,7516
481,"When Andrea and Dustin got a kiss at the store, Dustin decided to give it to","When Andrea and Dustin got a kiss at the store, Amy decided to give it to","When Andrea and Dustin got a kiss at the store, Andrea decided to give it to",23174,37616
948,"Then, Allison and David had a long argument, and afterwards David said to","Then, Allison and David had a long argument, and afterwards Scott said to","Then, Allison and David had a long argument, and afterwards Allison said to",33461,3271
663,"When Patrick and Courtney got a necklace at the house, Courtney decided to give it to","When Patrick and Courtney got a necklace at the house, Angela decided to give it to","When Patrick and Courtney got a necklace at the house, Patrick decided to give it to",9925,36677
434,"Then, Jonathan and Brian had a long argument, and afterwards Brian said to","Then, Jonathan and Brian had a long argument, and afterwards Samuel said to","Then, Jonathan and Brian had a long argument, and afterwards Jonathan said to",11232,8403
542,"After Ryan and Gregory went to the store, Ryan gave a kiss to","After Ryan and Gregory went to the store, Jeffrey gave a kiss to","After Ryan and Gregory went to the store, Gregory gave a kiss to",20653,6047
608,"Then, Richard and Mark were working at the garden. Richard decided to give a drink to","Then, Richard and Mark were working at the garden. Kimberly decided to give a drink to","Then, Richard and Mark were working at the garden. Mark decided to give a drink to",2940,6219
987,"Then, Jesse and Thomas had a lot of fun at the garden. Thomas gave a kiss to","Then, Jesse and Thomas had a lot of fun at the garden. Samuel gave a kiss to","Then, Jesse and Thomas had a lot of fun at the garden. Jesse gave a kiss to",18033,5658
416,"Then, Tiffany and Jennifer had a long argument, and afterwards Tiffany said to","Then, Tiffany and Jennifer had a long argument, and afterwards Lindsey said to","Then, Tiffany and Jennifer had a long argument, and afterwards Jennifer said to",16348,40928
817,"Then, Aaron and Tiffany were thinking about going to the hospital. Tiffany wanted to give a drink to","Then, Aaron and Tiffany were thinking about going to the hospital. Jennifer wanted to give a drink to","Then, Aaron and Tiffany were thinking about going to the hospital. Aaron wanted to give a drink to",12139,40928
290,"Then, Daniel and Katherine had a long argument, and afterwards Katherine said to","Then, Daniel and Katherine had a long argument, and afterwards Bradley said to","Then, Daniel and Katherine had a long argument, and afterwards Daniel said to",7806,32719
707,"Then, Adam and Shannon had a lot of fun at the school. Adam gave a computer to","Then, Adam and Shannon had a lot of fun at the school. Patrick gave a computer to","Then, Adam and Shannon had a lot of fun at the school. Shannon gave a computer to",28108,7244
445,"After Aaron and Brittany went to the office, Brittany gave a kiss to","After Aaron and Brittany went to the office, Samuel gave a kiss to","After Aaron and Brittany went to the office, Aaron gave a kiss to",12139,48773
690,"Then, Thomas and Kyle had a lot of fun at the garden. Thomas gave a snack to","Then, Thomas and Kyle had a lot of fun at the garden. Charles gave a snack to","Then, Thomas and Kyle had a lot of fun at the garden. Kyle gave a snack to",14316,5658
873,"Then, Jessica and Ashley were working at the store. Jessica decided to give a necklace to","Then, Jessica and Ashley were working at the store. Joseph decided to give a necklace to","Then, Jessica and Ashley were working at the store. Ashley decided to give a necklace to",20899,17352
957,"After Heather and Kristen went to the office, Kristen gave a computer to","After Heather and Kristen went to the office, Alexander gave a computer to","After Heather and Kristen went to the office, Heather gave a computer to",24253,44467
673,"Then, Lindsay and Erin went to the station. Erin gave a ring to","Then, Lindsay and Erin went to the station. Daniel gave a ring to","Then, Lindsay and Erin went to the station. Lindsay gave a ring to",33127,28894
450,"Then, Mark and Thomas had a long argument, and afterwards Thomas said to","Then, Mark and Thomas had a long argument, and afterwards Bradley said to","Then, Mark and Thomas had a long argument, and afterwards Mark said to",2940,5658
192,"Then, David and Andrea were thinking about going to the office. Andrea wanted to give a drink to","Then, David and Andrea were thinking about going to the office. Courtney wanted to give a drink to","Then, David and Andrea were thinking about going to the office. David wanted to give a drink to",3271,23174
916,"Then, Crystal and Richard had a long argument, and afterwards Crystal said to","Then, Crystal and Richard had a long argument, and afterwards James said to","Then, Crystal and Richard had a long argument, and afterwards Richard said to",6219,12969
806,"Then, Paul and Matthew had a lot of fun at the store. Paul gave a necklace to","Then, Paul and Matthew had a lot of fun at the store. Courtney gave a necklace to","Then, Paul and Matthew had a lot of fun at the store. Matthew gave a necklace to",9308,3362
129,"After Sara and Vanessa went to the restaurant, Vanessa gave a snack to","After Sara and Vanessa went to the restaurant, Katie gave a snack to","After Sara and Vanessa went to the restaurant, Sara gave a snack to",24799,42100
671,"Then, Michelle and Alexander were thinking about going to the hospital. Michelle wanted to give a kiss to","Then, Michelle and Alexander were thinking about going to the hospital. Robert wanted to give a kiss to","Then, Michelle and Alexander were thinking about going to the hospital. Alexander wanted to give a kiss to",10009,16738
978,"Then, Cody and John went to the office. Cody gave a basketball to","Then, Cody and John went to the office. Nathan gave a basketball to","Then, Cody and John went to the office. John gave a basketball to",1757,27035
720,"When Jeffrey and Benjamin got a drink at the station, Jeffrey decided to give it to","When Jeffrey and Benjamin got a drink at the station, Stephen decided to give it to","When Jeffrey and Benjamin got a drink at the station, Benjamin decided to give it to",14533,19627
38,"After Laura and Crystal went to the station, Laura gave a bone to","After Laura and Crystal went to the station, Daniel gave a bone to","After Laura and Crystal went to the station, Crystal gave a bone to",12969,16753
458,"Then, Emily and Thomas were thinking about going to the garden. Emily wanted to give a drink to","Then, Emily and Thomas were thinking about going to the garden. William wanted to give a drink to","Then, Emily and Thomas were thinking about going to the garden. Thomas wanted to give a drink to",5658,17608
326,"Then, Brian and Scott went to the station. Brian gave a computer to","Then, Brian and Scott went to the station. Christina gave a computer to","Then, Brian and Scott went to the station. Scott gave a computer to",4746,8403
930,"Then, Rachel and Ashley were thinking about going to the store. Ashley wanted to give a snack to","Then, Rachel and Ashley were thinking about going to the store. Jesse wanted to give a snack to","Then, Rachel and Ashley were thinking about going to the store. Rachel wanted to give a snack to",15984,20899
548,"Then, Christine and Rebecca were thinking about going to the store. Christine wanted to give a snack to","Then, Christine and Rebecca were thinking about going to the store. Anthony wanted to give a snack to","Then, Christine and Rebecca were thinking about going to the store. Rebecca wanted to give a snack to",23489,26088
305,"After Emily and Allison went to the store, Allison gave a bone to","After Emily and Allison went to the store, Benjamin gave a bone to","After Emily and Allison went to the store, Emily gave a bone to",17608,33461
835,"Then, Tyler and William had a long argument, and afterwards Tyler said to","Then, Tyler and William had a long argument, and afterwards Nathan said to","Then, Tyler and William had a long argument, and afterwards William said to",3977,14886
816,"Then, Timothy and Jacob went to the office. Timothy gave a drink to","Then, Timothy and Jacob went to the office. Vanessa gave a drink to","Then, Timothy and Jacob went to the office. Jacob gave a drink to",12806,22283
371,"Then, Michelle and Christine were working at the station. Michelle decided to give a bone to","Then, Michelle and Christine were working at the station. Amy decided to give a bone to","Then, Michelle and Christine were working at the station. Christine decided to give a bone to",26088,16738
931,"Then, Richard and Benjamin were working at the garden. Richard decided to give a snack to","Then, Richard and Benjamin were working at the garden. Aaron decided to give a snack to","Then, Richard and Benjamin were working at the garden. Benjamin decided to give a snack to",14533,6219
814,"Then, Jennifer and Crystal were thinking about going to the hospital. Jennifer wanted to give a computer to","Then, Jennifer and Crystal were thinking about going to the hospital. Jamie wanted to give a computer to","Then, Jennifer and Crystal were thinking about going to the hospital. Crystal wanted to give a computer to",12969,16348
801,"Then, Stephanie and Robert were thinking about going to the school. Robert wanted to give a computer to","Then, Stephanie and Robert were thinking about going to the school. Brittany wanted to give a computer to","Then, Stephanie and Robert were thinking about going to the school. Stephanie wanted to give a computer to",26085,5199
723,"Then, Richard and Brian were working at the hospital. Brian decided to give a drink to","Then, Richard and Brian were working at the hospital. Nicole decided to give a drink to","Then, Richard and Brian were working at the hospital. Richard decided to give a drink to",6219,8403
973,"Then, Samuel and Brittany were working at the office. Brittany decided to give a ring to","Then, Samuel and Brittany were working at the office. Benjamin decided to give a ring to","Then, Samuel and Brittany were working at the office. Samuel decided to give a ring to",17100,48773
661,"Then, Brittany and Erin were working at the restaurant. Brittany decided to give a basketball to","Then, Brittany and Erin were working at the restaurant. Richard decided to give a basketball to","Then, Brittany and Erin were working at the restaurant. Erin decided to give a basketball to",28894,48773
472,"Then, Cody and Adam were thinking about going to the office. Adam wanted to give a kiss to","Then, Cody and Adam were thinking about going to the office. Erica wanted to give a kiss to","Then, Cody and Adam were thinking about going to the office. Cody wanted to give a kiss to",27035,7244
443,"Then, Robert and Paul were working at the hospital. Robert decided to give a snack to","Then, Robert and Paul were working at the hospital. Matthew decided to give a snack to","Then, Robert and Paul were working at the hospital. Paul decided to give a snack to",3362,5199
135,"Then, Michelle and Rachel had a lot of fun at the hospital. Rachel gave a basketball to","Then, Michelle and Rachel had a lot of fun at the hospital. Amber gave a basketball to","Then, Michelle and Rachel had a lot of fun at the hospital. Michelle gave a basketball to",16738,15984
46,"Then, Tiffany and Melissa had a long argument, and afterwards Tiffany said to","Then, Tiffany and Melissa had a long argument, and afterwards Laura said to","Then, Tiffany and Melissa had a long argument, and afterwards Melissa said to",24164,40928
561,"Then, Angela and Sean had a lot of fun at the garden. Sean gave a snack to","Then, Angela and Sean had a lot of fun at the garden. Crystal gave a snack to","Then, Angela and Sean had a lot of fun at the garden. Angela gave a snack to",17799,11465
35,"Then, Danielle and Cody were working at the office. Danielle decided to give a necklace to","Then, Danielle and Cody were working at the office. Lindsey decided to give a necklace to","Then, Danielle and Cody were working at the office. Cody decided to give a necklace to",27035,39808
920,"When Daniel and Jose got a necklace at the office, Jose decided to give it to","When Daniel and Jose got a necklace at the office, Timothy decided to give it to","When Daniel and Jose got a necklace at the office, Daniel decided to give it to",7806,5264
681,"Then, Angela and Joshua went to the hospital. Angela gave a basketball to","Then, Angela and Joshua went to the hospital. Christine gave a basketball to","Then, Angela and Joshua went to the hospital. Joshua gave a basketball to",20700,17799
1,"After Tyler and Jason went to the office, Jason gave a computer to","After Tyler and Jason went to the office, Mary gave a computer to","After Tyler and Jason went to the office, Tyler gave a computer to",14886,8982
896,"Then, Anthony and Laura had a lot of fun at the school. Laura gave a drink to","Then, Anthony and Laura had a lot of fun at the school. Lauren gave a drink to","Then, Anthony and Laura had a lot of fun at the school. Anthony gave a drink to",9953,16753
123,"Then, David and Vanessa were thinking about going to the hospital. Vanessa wanted to give a necklace to","Then, David and Vanessa were thinking about going to the hospital. Sean wanted to give a necklace to","Then, David and Vanessa were thinking about going to the hospital. David wanted to give a necklace to",3271,42100
963,"Then, Erin and Jacob were thinking about going to the school. Erin wanted to give a kiss to","Then, Erin and Jacob were thinking about going to the school. Kristen wanted to give a kiss to","Then, Erin and Jacob were thinking about going to the school. Jacob wanted to give a kiss to",12806,28894
853,"Then, Daniel and Katherine had a lot of fun at the store. Daniel gave a kiss to","Then, Daniel and Katherine had a lot of fun at the store. Benjamin gave a kiss to","Then, Daniel and Katherine had a lot of fun at the store. Katherine gave a kiss to",32719,7806
700,"Then, Christine and Brian went to the restaurant. Brian gave a bone to","Then, Christine and Brian went to the restaurant. Anthony gave a bone to","Then, Christine and Brian went to the restaurant. Christine gave a bone to",26088,8403
747,"Then, Brandon and Jessica went to the garden. Jessica gave a basketball to","Then, Brandon and Jessica went to the garden. Samuel gave a basketball to","Then, Brandon and Jessica went to the garden. Brandon gave a basketball to",14328,17352
892,"Then, Amber and John went to the hospital. Amber gave a snack to","Then, Amber and John went to the hospital. Sara gave a snack to","Then, Amber and John went to the hospital. John gave a snack to",1757,21896
359,"When Amy and Katherine got a basketball at the restaurant, Katherine decided to give it to","When Amy and Katherine got a basketball at the restaurant, Bradley decided to give it to","When Amy and Katherine got a basketball at the restaurant, Amy decided to give it to",14235,32719
