question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
Why does the plasma (ion) tail of a comet always point away from the Sun?,Radiation pressure from the Sun's light pushes the ions away.,The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.,The ions are following Keplerian orbits that lead away from the Sun.,"The solar wind electromagnetically ""blows"" the ions directly away from the Sun.",D,astronomy,"Why does the plasma (ion) tail of a comet always point away from the Sun?
(A) Radiation pressure from the Sun's light pushes the ions away.
(B) The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.
(C) The ions are following Keplerian orbits that lead away from the Sun.
(D) The solar wind electromagnetically ""blows"" the ions directly away from the Sun.
Answer: (","Which is the most possible answer?
(A) Radiation pressure from the Sun's light pushes the ions away.
(B) The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.
(C) The ions are following Keplerian orbits that lead away from the Sun.
(D) The solar wind electromagnetically ""blows"" the ions directly away from the Sun.
Answer: (",35,"[32, 33, 34]"
How did Eratosthenes estimate the size of Earth in 240 B.C.?,By observing the duration of a solar eclipse.,By measuring the size of Earth's shadow on the Moon in a lunar eclipse.,By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.,By sending fleets of ships around Earth.,C,astronomy,"How did Eratosthenes estimate the size of Earth in 240 B.C.?
(A) By observing the duration of a solar eclipse.
(B) By measuring the size of Earth's shadow on the Moon in a lunar eclipse.
(C) By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.
(D) By sending fleets of ships around Earth.
Answer: (","Which is the most possible answer?
(A) By observing the duration of a solar eclipse.
(B) By measuring the size of Earth's shadow on the Moon in a lunar eclipse.
(C) By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.
(D) By sending fleets of ships around Earth.
Answer: (",34,"[32, 33, 35]"
The Large Magellanic Cloud is ...,a dwarf galaxy orbiting the Milky Way.,the closest planetary nebula to the Earth.,a bright star cluster discovered by Magellan.,the outer arm of the Milky Way named after Magellan.,A,astronomy,"The Large Magellanic Cloud is ...
(A) a dwarf galaxy orbiting the Milky Way.
(B) the closest planetary nebula to the Earth.
(C) a bright star cluster discovered by Magellan.
(D) the outer arm of the Milky Way named after Magellan.
Answer: (","Which is the most possible answer?
(A) a dwarf galaxy orbiting the Milky Way.
(B) the closest planetary nebula to the Earth.
(C) a bright star cluster discovered by Magellan.
(D) the outer arm of the Milky Way named after Magellan.
Answer: (",32,"[33, 34, 35]"
Why do we look for water-ice in craters at Mercury's pole?,Actually water-ice is all over Mercury and not just at the poles.,The pole is the only place fortunate enough to have had comet impacts,Radar from the earth can only see Mercury's poles.,These craters contain the only permanently shadowed regions on Mercury,D,astronomy,"Why do we look for water-ice in craters at Mercury's pole?
(A) Actually water-ice is all over Mercury and not just at the poles.
(B) The pole is the only place fortunate enough to have had comet impacts
(C) Radar from the earth can only see Mercury's poles.
(D) These craters contain the only permanently shadowed regions on Mercury
Answer: (","Which is the most possible answer?
(A) Actually water-ice is all over Mercury and not just at the poles.
(B) The pole is the only place fortunate enough to have had comet impacts
(C) Radar from the earth can only see Mercury's poles.
(D) These craters contain the only permanently shadowed regions on Mercury
Answer: (",35,"[32, 33, 34]"
The Milky Way is part of a giant supercluster with a diameter of 160 Mpc. What is the name of this supercluster?,Virgo,Laniakea,Sculptor,Boötes,B,astronomy,"The Milky Way is part of a giant supercluster with a diameter of 160 Mpc. What is the name of this supercluster?
(A) Virgo
(B) Laniakea
(C) Sculptor
(D) Boötes
Answer: (","Which is the most possible answer?
(A) Virgo
(B) Laniakea
(C) Sculptor
(D) Boötes
Answer: (",33,"[32, 34, 35]"
On which planet in our solar system can you find the Great Red Spot?,Venus,Mars,Jupiter,Saturn,C,astronomy,"On which planet in our solar system can you find the Great Red Spot?
(A) Venus
(B) Mars
(C) Jupiter
(D) Saturn
Answer: (","Which is the most possible answer?
(A) Venus
(B) Mars
(C) Jupiter
(D) Saturn
Answer: (",34,"[32, 33, 35]"
Why does Earth have the strongest magnetic field among the terrestrial worlds?,It is by far the largest terrestrial world.,It is the most volcanically active world.,It is the only one that has both a partially molten metallic core and reasonably rapid rotation.,It rotates much faster than any other terrestrial world.,C,astronomy,"Why does Earth have the strongest magnetic field among the terrestrial worlds?
(A) It is by far the largest terrestrial world.
(B) It is the most volcanically active world.
(C) It is the only one that has both a partially molten metallic core and reasonably rapid rotation.
(D) It rotates much faster than any other terrestrial world.
Answer: (","Which is the most possible answer?
(A) It is by far the largest terrestrial world.
(B) It is the most volcanically active world.
(C) It is the only one that has both a partially molten metallic core and reasonably rapid rotation.
(D) It rotates much faster than any other terrestrial world.
Answer: (",34,"[32, 33, 35]"
Which of the following is not true?,The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit),Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits),The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter,Neptune and Pluto won't collide because of their orbital resonance,A,astronomy,"Which of the following is not true?
(A) The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit)
(B) Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits)
(C) The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter
(D) Neptune and Pluto won't collide because of their orbital resonance
Answer: (","Which is the most possible answer?
(A) The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit)
(B) Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits)
(C) The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter
(D) Neptune and Pluto won't collide because of their orbital resonance
Answer: (",32,"[33, 34, 35]"
Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,ejecta,raised rims,central peaks,A and B only,D,astronomy,"Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:
(A) ejecta
(B) raised rims
(C) central peaks
(D) A and B only
Answer: (","Which is the most possible answer?
(A) ejecta
(B) raised rims
(C) central peaks
(D) A and B only
Answer: (",35,"[32, 33, 34]"
From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?,The star is getting hotter.,The star is getting colder.,The star is moving toward us.,The star is moving away from us.,C,astronomy,"From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?
(A) The star is getting hotter.
(B) The star is getting colder.
(C) The star is moving toward us.
(D) The star is moving away from us.
Answer: (","Which is the most possible answer?
(A) The star is getting hotter.
(B) The star is getting colder.
(C) The star is moving toward us.
(D) The star is moving away from us.
Answer: (",34,"[32, 33, 35]"
The lithosphere of a planet is the layer that consists of,the softer rocky material of the mantle.,the lava that comes out of volcanoes.,material between the crust and the mantle.,the rigid rocky material of the crust and uppermost portion of the mantle.,D,astronomy,"The lithosphere of a planet is the layer that consists of
(A) the softer rocky material of the mantle.
(B) the lava that comes out of volcanoes.
(C) material between the crust and the mantle.
(D) the rigid rocky material of the crust and uppermost portion of the mantle.
Answer: (","Which is the most possible answer?
(A) the softer rocky material of the mantle.
(B) the lava that comes out of volcanoes.
(C) material between the crust and the mantle.
(D) the rigid rocky material of the crust and uppermost portion of the mantle.
Answer: (",35,"[32, 33, 34]"
What is the Cassini division of Saturn's rings?,a dark ring visible from Earth composed of dark dusty particles,the most opaque ring of Saturn made of highly reflective ice particles,the widest ring of Saturn located between two large ring gaps,a large gap visible from Earth produced by an orbital resonance with the moon Mimas,D,astronomy,"What is the Cassini division of Saturn's rings?
(A) a dark ring visible from Earth composed of dark dusty particles
(B) the most opaque ring of Saturn made of highly reflective ice particles
(C) the widest ring of Saturn located between two large ring gaps
(D) a large gap visible from Earth produced by an orbital resonance with the moon Mimas
Answer: (","Which is the most possible answer?
(A) a dark ring visible from Earth composed of dark dusty particles
(B) the most opaque ring of Saturn made of highly reflective ice particles
(C) the widest ring of Saturn located between two large ring gaps
(D) a large gap visible from Earth produced by an orbital resonance with the moon Mimas
Answer: (",35,"[32, 33, 34]"
Which of the following statements about sidereal and solar days is not true?,The time it takes for the Sun to make one circuit of our sky is one solar day.,A solar day is 4 minutes longer than a sidereal day.,A solar day represents more than 360° of rotation for the earth.,The time it takes for the Moon to make one circuit of our sky is one solar day.,D,astronomy,"Which of the following statements about sidereal and solar days is not true?
(A) The time it takes for the Sun to make one circuit of our sky is one solar day.
(B) A solar day is 4 minutes longer than a sidereal day.
(C) A solar day represents more than 360° of rotation for the earth.
(D) The time it takes for the Moon to make one circuit of our sky is one solar day.
Answer: (","Which is the most possible answer?
(A) The time it takes for the Sun to make one circuit of our sky is one solar day.
(B) A solar day is 4 minutes longer than a sidereal day.
(C) A solar day represents more than 360° of rotation for the earth.
(D) The time it takes for the Moon to make one circuit of our sky is one solar day.
Answer: (",35,"[32, 33, 34]"
Meteorites with high metal content probably are,pieces of comets rather than of asteroids.,chunks of large differentiated asteroids that were shattered by collisions.,chunks of rock chipped off the planet Mars.,leftover chunks of rock from the earliest period in the formation of the solar system.,B,astronomy,"Meteorites with high metal content probably are
(A) pieces of comets rather than of asteroids.
(B) chunks of large differentiated asteroids that were shattered by collisions.
(C) chunks of rock chipped off the planet Mars.
(D) leftover chunks of rock from the earliest period in the formation of the solar system.
Answer: (","Which is the most possible answer?
(A) pieces of comets rather than of asteroids.
(B) chunks of large differentiated asteroids that were shattered by collisions.
(C) chunks of rock chipped off the planet Mars.
(D) leftover chunks of rock from the earliest period in the formation of the solar system.
Answer: (",33,"[32, 34, 35]"
Most people use C°(degree Celsius) to measure everyday temperatures. Astronomers prefer to use K (Kelvin) to measure temperatures. Approximately how many Kelvin are 25 C°?,200 Kelvin,250 Kelvin,300 Kelvin,350 Kelvin,C,astronomy,"Most people use C°(degree Celsius) to measure everyday temperatures. Astronomers prefer to use K (Kelvin) to measure temperatures. Approximately how many Kelvin are 25 C°?
(A) 200 Kelvin
(B) 250 Kelvin
(C) 300 Kelvin
(D) 350 Kelvin
Answer: (","Which is the most possible answer?
(A) 200 Kelvin
(B) 250 Kelvin
(C) 300 Kelvin
(D) 350 Kelvin
Answer: (",34,"[32, 33, 35]"
The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?,Callisto,Europa,Ganymede,Io,D,astronomy,"The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?
(A) Callisto
(B) Europa
(C) Ganymede
(D) Io
Answer: (","Which is the most possible answer?
(A) Callisto
(B) Europa
(C) Ganymede
(D) Io
Answer: (",35,"[32, 33, 34]"
Why are the season's in Mars' southern hemisphere so extreme?,because Mars is farther from the sun than the Earth,because Mars has more carbon dioxide in its atmosphere than the Earth,because Mars has a more eccentric orbit than the Earth,because Mars' axis is more tilted than the Earth's,C,astronomy,"Why are the season's in Mars' southern hemisphere so extreme?
(A) because Mars is farther from the sun than the Earth
(B) because Mars has more carbon dioxide in its atmosphere than the Earth
(C) because Mars has a more eccentric orbit than the Earth
(D) because Mars' axis is more tilted than the Earth's
Answer: (","Which is the most possible answer?
(A) because Mars is farther from the sun than the Earth
(B) because Mars has more carbon dioxide in its atmosphere than the Earth
(C) because Mars has a more eccentric orbit than the Earth
(D) because Mars' axis is more tilted than the Earth's
Answer: (",34,"[32, 33, 35]"
What Mars mission will be landing on May 25 2008 and will dig a trench into (hopefully) ice-rich soil?,ExoMars,Mars Exploration Rovers,Mars Science Laboratory,Phoenix Mars Lander,D,astronomy,"What Mars mission will be landing on May 25 2008 and will dig a trench into (hopefully) ice-rich soil?
(A) ExoMars
(B) Mars Exploration Rovers
(C) Mars Science Laboratory
(D) Phoenix Mars Lander
Answer: (","Which is the most possible answer?
(A) ExoMars
(B) Mars Exploration Rovers
(C) Mars Science Laboratory
(D) Phoenix Mars Lander
Answer: (",35,"[32, 33, 34]"
What is the significance of the 1:2:4 resonance in the Jupiter's moons system?,The resonance pulls Io in different directions and generates heat.,It makes the orbit of Io slightly elliptical.,It creates a gap with no asteriods between the orbits.,It prevents formation of the ring material into other moons.,B,astronomy,"What is the significance of the 1:2:4 resonance in the Jupiter's moons system?
(A) The resonance pulls Io in different directions and generates heat.
(B) It makes the orbit of Io slightly elliptical.
(C) It creates a gap with no asteriods between the orbits.
(D) It prevents formation of the ring material into other moons.
Answer: (","Which is the most possible answer?
(A) The resonance pulls Io in different directions and generates heat.
(B) It makes the orbit of Io slightly elliptical.
(C) It creates a gap with no asteriods between the orbits.
(D) It prevents formation of the ring material into other moons.
Answer: (",33,"[32, 34, 35]"
The terrestrial planet cores contain mostly metal because,the entire planets are made mostly of metal.,metals condensed first in the solar nebula and the rocks then accreted around them.,metals sank to the center during a time when the interiors were molten throughout.,radioactivity created metals in the core from the decay of uranium.,C,astronomy,"The terrestrial planet cores contain mostly metal because
(A) the entire planets are made mostly of metal.
(B) metals condensed first in the solar nebula and the rocks then accreted around them.
(C) metals sank to the center during a time when the interiors were molten throughout.
(D) radioactivity created metals in the core from the decay of uranium.
Answer: (","Which is the most possible answer?
(A) the entire planets are made mostly of metal.
(B) metals condensed first in the solar nebula and the rocks then accreted around them.
(C) metals sank to the center during a time when the interiors were molten throughout.
(D) radioactivity created metals in the core from the decay of uranium.
Answer: (",34,"[32, 33, 35]"
Why are the inner planets made of denser materials than the outer planets?,In the beginning when the protoplanetary disk was spinning faster centrifugal forces flung the lighter materials toward the outer parts of the solar nebula.,In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.,Denser materials were heavier and sank to the center of the nebula.,When the solar nebula formed a disk materials naturally segregated into bands and in our particular solar system the denser materials settled nearer the Sun while lighter materials are found in the outer part.,B,astronomy,"Why are the inner planets made of denser materials than the outer planets?
(A) In the beginning when the protoplanetary disk was spinning faster centrifugal forces flung the lighter materials toward the outer parts of the solar nebula.
(B) In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.
(C) Denser materials were heavier and sank to the center of the nebula.
(D) When the solar nebula formed a disk materials naturally segregated into bands and in our particular solar system the denser materials settled nearer the Sun while lighter materials are found in the outer part.
Answer: (","Which is the most possible answer?
(A) In the beginning when the protoplanetary disk was spinning faster centrifugal forces flung the lighter materials toward the outer parts of the solar nebula.
(B) In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.
(C) Denser materials were heavier and sank to the center of the nebula.
(D) When the solar nebula formed a disk materials naturally segregated into bands and in our particular solar system the denser materials settled nearer the Sun while lighter materials are found in the outer part.
Answer: (",33,"[32, 34, 35]"
What do meteorites reveal about the solar system?,They reveal that the early solar system consisted mostly of hydrogen and helium gas.,They reveal that meteorites are much older than the comets and planets.,They reveal that the age of the solar system is approximately 4.6 billion years.,They reveal that the solar system once contained 10 planets.,C,astronomy,"What do meteorites reveal about the solar system?
(A) They reveal that the early solar system consisted mostly of hydrogen and helium gas.
(B) They reveal that meteorites are much older than the comets and planets.
(C) They reveal that the age of the solar system is approximately 4.6 billion years.
(D) They reveal that the solar system once contained 10 planets.
Answer: (","Which is the most possible answer?
(A) They reveal that the early solar system consisted mostly of hydrogen and helium gas.
(B) They reveal that meteorites are much older than the comets and planets.
(C) They reveal that the age of the solar system is approximately 4.6 billion years.
(D) They reveal that the solar system once contained 10 planets.
Answer: (",34,"[32, 33, 35]"
Venus shows evidence of which of the following surface processes?,Impacts,Erosion,Volcanism,A B and C,D,astronomy,"Venus shows evidence of which of the following surface processes?
(A) Impacts
(B) Erosion
(C) Volcanism
(D) A B and C
Answer: (","Which is the most possible answer?
(A) Impacts
(B) Erosion
(C) Volcanism
(D) A B and C
Answer: (",35,"[32, 33, 34]"
Planetary rings are,known to exist for all of the jovian planets.,composed of a large number of individual particles that orbit their planet in accord with Kepler's third law.,nearer to their planet than any of the planet's large moons.,all of the above,D,astronomy,"Planetary rings are
(A) known to exist for all of the jovian planets.
(B) composed of a large number of individual particles that orbit their planet in accord with Kepler's third law.
(C) nearer to their planet than any of the planet's large moons.
(D) all of the above
Answer: (","Which is the most possible answer?
(A) known to exist for all of the jovian planets.
(B) composed of a large number of individual particles that orbit their planet in accord with Kepler's third law.
(C) nearer to their planet than any of the planet's large moons.
(D) all of the above
Answer: (",35,"[32, 33, 34]"
Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?,You will not be able to see these two stars at all.,You will see two distinct stars.,The two stars will look like a single point of light.,The two stars will appear to be touching looking rather like a small dumbbell.,C,astronomy,"Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?
(A) You will not be able to see these two stars at all.
(B) You will see two distinct stars.
(C) The two stars will look like a single point of light.
(D) The two stars will appear to be touching looking rather like a small dumbbell.
Answer: (","Which is the most possible answer?
(A) You will not be able to see these two stars at all.
(B) You will see two distinct stars.
(C) The two stars will look like a single point of light.
(D) The two stars will appear to be touching looking rather like a small dumbbell.
Answer: (",34,"[32, 33, 35]"
What is not true of Jupiter's magnetic field?,it is about 20000 times stronger than Earth's magnetic field,"it traps charged particles from Io's volcanoes in a ""plasma torus"" around the planet",it causes spectacular auroral displays at Jupiter's north and south poles,it switches polarity every 11 years,D,astronomy,"What is not true of Jupiter's magnetic field?
(A) it is about 20000 times stronger than Earth's magnetic field
(B) it traps charged particles from Io's volcanoes in a ""plasma torus"" around the planet
(C) it causes spectacular auroral displays at Jupiter's north and south poles
(D) it switches polarity every 11 years
Answer: (","Which is the most possible answer?
(A) it is about 20000 times stronger than Earth's magnetic field
(B) it traps charged particles from Io's volcanoes in a ""plasma torus"" around the planet
(C) it causes spectacular auroral displays at Jupiter's north and south poles
(D) it switches polarity every 11 years
Answer: (",35,"[32, 33, 34]"
What does the astronomical term ecliptic describe?,The path of the Sun in the sky throughout a year.,The axial tilt of the Earth throughout a year.,The movement of the stars due to Earth’s rotation.,The central line through the axis of rotation.,A,astronomy,"What does the astronomical term ecliptic describe?
(A) The path of the Sun in the sky throughout a year.
(B) The axial tilt of the Earth throughout a year.
(C) The movement of the stars due to Earth’s rotation.
(D) The central line through the axis of rotation.
Answer: (","Which is the most possible answer?
(A) The path of the Sun in the sky throughout a year.
(B) The axial tilt of the Earth throughout a year.
(C) The movement of the stars due to Earth’s rotation.
(D) The central line through the axis of rotation.
Answer: (",32,"[33, 34, 35]"
The so-called dark energy is a model to explain ...,the radiation of black holes.,the mass distribution of galaxies.,the acceleration of the universe.,the microwave background of the universe.,C,astronomy,"The so-called dark energy is a model to explain ...
(A) the radiation of black holes.
(B) the mass distribution of galaxies.
(C) the acceleration of the universe.
(D) the microwave background of the universe.
Answer: (","Which is the most possible answer?
(A) the radiation of black holes.
(B) the mass distribution of galaxies.
(C) the acceleration of the universe.
(D) the microwave background of the universe.
Answer: (",34,"[32, 33, 35]"
