question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
 What channel structure is it where the product goes directly from the producer to the final customer?,Direct.,Indirect.,Hybrid.,None of the above.,A,marketing," What channel structure is it where the product goes directly from the producer to the final customer?
(A) Direct.
(B) Indirect.
(C) Hybrid.
(D) None of the above.
Answer: (","Which is the most possible answer?
(A) Direct.
(B) Indirect.
(C) Hybrid.
(D) None of the above.
Answer: (",32,"[33, 34, 35]"
"Joint creation of value, in which customers take part in an active dialogue and co-construct personalized experiences, is referred to as:",Interactive marketing.,Co-creation experience.,Relationship marketing.,Organization marketing.,B,marketing,"Joint creation of value, in which customers take part in an active dialogue and co-construct personalized experiences, is referred to as:
(A) Interactive marketing.
(B) Co-creation experience.
(C) Relationship marketing.
(D) Organization marketing.
Answer: (","Which is the most possible answer?
(A) Interactive marketing.
(B) Co-creation experience.
(C) Relationship marketing.
(D) Organization marketing.
Answer: (",33,"[32, 34, 35]"
"This form of marketing communications tool is referred to as 'a paid, mediated form of communication from an identifiable source, designed to persuade the receiver to take some action, now or in the future'. This is referred to as:",Advertising.,Personal selling.,Public relations.,Publicity.,A,marketing,"This form of marketing communications tool is referred to as 'a paid, mediated form of communication from an identifiable source, designed to persuade the receiver to take some action, now or in the future'. This is referred to as:
(A) Advertising.
(B) Personal selling.
(C) Public relations.
(D) Publicity.
Answer: (","Which is the most possible answer?
(A) Advertising.
(B) Personal selling.
(C) Public relations.
(D) Publicity.
Answer: (",32,"[33, 34, 35]"
" The ____________ delivers to us a wide array of offerings, either directly or indirectly, through business markets, to serve our wants and needs.",Aggregate marketing system.,Planning excellence.,A quality rift.,A value line.,A,marketing," The ____________ delivers to us a wide array of offerings, either directly or indirectly, through business markets, to serve our wants and needs.
(A) Aggregate marketing system.
(B) Planning excellence.
(C) A quality rift.
(D) A value line.
Answer: (","Which is the most possible answer?
(A) Aggregate marketing system.
(B) Planning excellence.
(C) A quality rift.
(D) A value line.
Answer: (",32,"[33, 34, 35]"
" ____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.",Brand repositioning.,Brand stretching.,Brand equity.,Brand imagery.,D,marketing," ____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.
(A) Brand repositioning.
(B) Brand stretching.
(C) Brand equity.
(D) Brand imagery.
Answer: (","Which is the most possible answer?
(A) Brand repositioning.
(B) Brand stretching.
(C) Brand equity.
(D) Brand imagery.
Answer: (",35,"[32, 33, 34]"
"AIDA stands for awareness, ________, desire and _________.",Interest; action.,Intensity; appeal.,Involvement; action.,Involvement; appeal.,A,marketing,"AIDA stands for awareness, ________, desire and _________.
(A) Interest; action.
(B) Intensity; appeal.
(C) Involvement; action.
(D) Involvement; appeal.
Answer: (","Which is the most possible answer?
(A) Interest; action.
(B) Intensity; appeal.
(C) Involvement; action.
(D) Involvement; appeal.
Answer: (",32,"[33, 34, 35]"
" This is where intermediaries are given exclusive rights to market the good or service within a defined 'territory', thus using a very limited number of intermediaries:",Exclusive.,Intensive.,Selective.,Direct.,A,marketing," This is where intermediaries are given exclusive rights to market the good or service within a defined 'territory', thus using a very limited number of intermediaries:
(A) Exclusive.
(B) Intensive.
(C) Selective.
(D) Direct.
Answer: (","Which is the most possible answer?
(A) Exclusive.
(B) Intensive.
(C) Selective.
(D) Direct.
Answer: (",32,"[33, 34, 35]"
"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investigate the problem. This document is called the ____________:",Research brief.,Research proposal.,Research question.,Research programme.,B,marketing,"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investigate the problem. This document is called the ____________:
(A) Research brief.
(B) Research proposal.
(C) Research question.
(D) Research programme.
Answer: (","Which is the most possible answer?
(A) Research brief.
(B) Research proposal.
(C) Research question.
(D) Research programme.
Answer: (",33,"[32, 34, 35]"
" Organizational characteristics, such as organizational size and location, are sometimes referred to as___________.",DMU.,Firmographics.,ACORN,Product usage.,B,marketing," Organizational characteristics, such as organizational size and location, are sometimes referred to as___________.
(A) DMU.
(B) Firmographics.
(C) ACORN
(D) Product usage.
Answer: (","Which is the most possible answer?
(A) DMU.
(B) Firmographics.
(C) ACORN
(D) Product usage.
Answer: (",33,"[32, 34, 35]"
The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?,Differentiate.,Participate.,Reinforce.,Inform.,B,marketing,"The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?
(A) Differentiate.
(B) Participate.
(C) Reinforce.
(D) Inform.
Answer: (","Which is the most possible answer?
(A) Differentiate.
(B) Participate.
(C) Reinforce.
(D) Inform.
Answer: (",33,"[32, 34, 35]"
The process of making large numbers of unsolicited sales calls to potential customers whom the salesperson does not know is referred to as,multilevel marketing,cold canvassing,the center-of-influence method,the sales-associate method,B,marketing,"The process of making large numbers of unsolicited sales calls to potential customers whom the salesperson does not know is referred to as
(A) multilevel marketing
(B) cold canvassing
(C) the center-of-influence method
(D) the sales-associate method
Answer: (","Which is the most possible answer?
(A) multilevel marketing
(B) cold canvassing
(C) the center-of-influence method
(D) the sales-associate method
Answer: (",33,"[32, 34, 35]"
 The process by which individuals accept and use new propositions is referred to as:,Decision.,Adoption.,Acquisition.,Awareness.,B,marketing," The process by which individuals accept and use new propositions is referred to as:
(A) Decision.
(B) Adoption.
(C) Acquisition.
(D) Awareness.
Answer: (","Which is the most possible answer?
(A) Decision.
(B) Adoption.
(C) Acquisition.
(D) Awareness.
Answer: (",33,"[32, 34, 35]"
 Which of the following occurs when competitors' pricing policies are almost exclusively focused on competitors rather than customers?,Price differentiation.,Price fixing.,Price wars.,Price guarantees.,C,marketing," Which of the following occurs when competitors' pricing policies are almost exclusively focused on competitors rather than customers?
(A) Price differentiation.
(B) Price fixing.
(C) Price wars.
(D) Price guarantees.
Answer: (","Which is the most possible answer?
(A) Price differentiation.
(B) Price fixing.
(C) Price wars.
(D) Price guarantees.
Answer: (",34,"[32, 33, 35]"
A commonly used basis for segmenting consumer markets is:,Organizational size.,Demographics.,Product type.,Price.,B,marketing,"A commonly used basis for segmenting consumer markets is:
(A) Organizational size.
(B) Demographics.
(C) Product type.
(D) Price.
Answer: (","Which is the most possible answer?
(A) Organizational size.
(B) Demographics.
(C) Product type.
(D) Price.
Answer: (",33,"[32, 34, 35]"
" In B2B contexts, prices are set according to specific agreements between a company and its clients or customers (e.g. professional services such as architectural or structural engineering).This pricing approach is known as:",Negotiated price,Internal pricing.,Listed pricing.,Cost pricing.,A,marketing," In B2B contexts, prices are set according to specific agreements between a company and its clients or customers (e.g. professional services such as architectural or structural engineering).This pricing approach is known as:
(A) Negotiated price
(B) Internal pricing.
(C) Listed pricing.
(D) Cost pricing.
Answer: (","Which is the most possible answer?
(A) Negotiated price
(B) Internal pricing.
(C) Listed pricing.
(D) Cost pricing.
Answer: (",32,"[33, 34, 35]"
" Once referred to as a multibrand policy, this branding strategy requires that each product offered by an organization is branded independently of all the others. This is known as:",Individual branding.,Corporate brands.,Family branding.,Co-branding.,A,marketing," Once referred to as a multibrand policy, this branding strategy requires that each product offered by an organization is branded independently of all the others. This is known as:
(A) Individual branding.
(B) Corporate brands.
(C) Family branding.
(D) Co-branding.
Answer: (","Which is the most possible answer?
(A) Individual branding.
(B) Corporate brands.
(C) Family branding.
(D) Co-branding.
Answer: (",32,"[33, 34, 35]"
 This is the use of inter-personal communications with the aim of developing positive feelings and stimulating behaviour.,Direct marketing.,Personal selling.,Sale promotions.,Advertising.,B,marketing," This is the use of inter-personal communications with the aim of developing positive feelings and stimulating behaviour.
(A) Direct marketing.
(B) Personal selling.
(C) Sale promotions.
(D) Advertising.
Answer: (","Which is the most possible answer?
(A) Direct marketing.
(B) Personal selling.
(C) Sale promotions.
(D) Advertising.
Answer: (",33,"[32, 34, 35]"
" An approach that encompasses a wide range of relationships, not just with customers, but also those that organizations develop with suppliers, regulators, government, competitors, employees, and others, is referred to as:",Market exchanges.,Service failure.,Relationship marketing.,Shared responsibility.,C,marketing," An approach that encompasses a wide range of relationships, not just with customers, but also those that organizations develop with suppliers, regulators, government, competitors, employees, and others, is referred to as:
(A) Market exchanges.
(B) Service failure.
(C) Relationship marketing.
(D) Shared responsibility.
Answer: (","Which is the most possible answer?
(A) Market exchanges.
(B) Service failure.
(C) Relationship marketing.
(D) Shared responsibility.
Answer: (",34,"[32, 33, 35]"
"In marketing terms, ___________ refers to what we get for what we pay:",Revenue.,Cost.,Value.,Product.,C,marketing,"In marketing terms, ___________ refers to what we get for what we pay:
(A) Revenue.
(B) Cost.
(C) Value.
(D) Product.
Answer: (","Which is the most possible answer?
(A) Revenue.
(B) Cost.
(C) Value.
(D) Product.
Answer: (",34,"[32, 33, 35]"
 _______________ is concerned with the development of knowledge that is specific to the parties involved and is referred to as 'learning together'.,Dialogue.,Personal influencer.,Feedback.,Message.,A,marketing," _______________ is concerned with the development of knowledge that is specific to the parties involved and is referred to as 'learning together'.
(A) Dialogue.
(B) Personal influencer.
(C) Feedback.
(D) Message.
Answer: (","Which is the most possible answer?
(A) Dialogue.
(B) Personal influencer.
(C) Feedback.
(D) Message.
Answer: (",32,"[33, 34, 35]"
 The process that creates changes in behaviour is called:,Selective adaptation.,Learning.,Involvement manipulation.,Attitude adjustment.,B,marketing," The process that creates changes in behaviour is called:
(A) Selective adaptation.
(B) Learning.
(C) Involvement manipulation.
(D) Attitude adjustment.
Answer: (","Which is the most possible answer?
(A) Selective adaptation.
(B) Learning.
(C) Involvement manipulation.
(D) Attitude adjustment.
Answer: (",33,"[32, 34, 35]"
Which of the following is the most appropriate pricing strategy to use when introducing a new and unique product to the market?,Price skimming,Promotional pricing,Psychological pricing,Penetration pricing,A,marketing,"Which of the following is the most appropriate pricing strategy to use when introducing a new and unique product to the market?
(A) Price skimming
(B) Promotional pricing
(C) Psychological pricing
(D) Penetration pricing
Answer: (","Which is the most possible answer?
(A) Price skimming
(B) Promotional pricing
(C) Psychological pricing
(D) Penetration pricing
Answer: (",32,"[33, 34, 35]"
Which type of shop offers a range of grocery and household items that cater for last-minute purchase needs of consumers?,Supermarkets.,Convenience stores.,Category-killer stores.,Limited line retailers.,B,marketing,"Which type of shop offers a range of grocery and household items that cater for last-minute purchase needs of consumers?
(A) Supermarkets.
(B) Convenience stores.
(C) Category-killer stores.
(D) Limited line retailers.
Answer: (","Which is the most possible answer?
(A) Supermarkets.
(B) Convenience stores.
(C) Category-killer stores.
(D) Limited line retailers.
Answer: (",33,"[32, 34, 35]"
 Post-purchase re-evaluation of the consumer proposition acquisition process attempts to measure the degree of:,Selling success experienced by the vendor.,Consumer satisfaction with the purchase.,Follow-up effectiveness of the firm.,Advertising influence on the purchase.,B,marketing," Post-purchase re-evaluation of the consumer proposition acquisition process attempts to measure the degree of:
(A) Selling success experienced by the vendor.
(B) Consumer satisfaction with the purchase.
(C) Follow-up effectiveness of the firm.
(D) Advertising influence on the purchase.
Answer: (","Which is the most possible answer?
(A) Selling success experienced by the vendor.
(B) Consumer satisfaction with the purchase.
(C) Follow-up effectiveness of the firm.
(D) Advertising influence on the purchase.
Answer: (",33,"[32, 34, 35]"
" Many brands are deliberately imbued with human characteristics, to the point that they are identified as having particular personalities. This is referred to as:",Branding pyramid.,Brand value.,Brand names.,Brand personalities.,D,marketing," Many brands are deliberately imbued with human characteristics, to the point that they are identified as having particular personalities. This is referred to as:
(A) Branding pyramid.
(B) Brand value.
(C) Brand names.
(D) Brand personalities.
Answer: (","Which is the most possible answer?
(A) Branding pyramid.
(B) Brand value.
(C) Brand names.
(D) Brand personalities.
Answer: (",35,"[32, 33, 34]"
Marketing research:,Is work undertaken to understand how to make specific marketing strategy decisions.,Is the collection and analysis of data from a sample or census of individuals or organizations.,"Includes all forms of market, opinion, and social research such as consumer and industrial surveys.",Is work undertaken to determine either structural characteristics of the industry of concern.,A,marketing,"Marketing research:
(A) Is work undertaken to understand how to make specific marketing strategy decisions.
(B) Is the collection and analysis of data from a sample or census of individuals or organizations.
(C) Includes all forms of market, opinion, and social research such as consumer and industrial surveys.
(D) Is work undertaken to determine either structural characteristics of the industry of concern.
Answer: (","Which is the most possible answer?
(A) Is work undertaken to understand how to make specific marketing strategy decisions.
(B) Is the collection and analysis of data from a sample or census of individuals or organizations.
(C) Includes all forms of market, opinion, and social research such as consumer and industrial surveys.
(D) Is work undertaken to determine either structural characteristics of the industry of concern.
Answer: (",32,"[33, 34, 35]"
____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.,Digital.,Print.,Broadcast.,Outdoor.,B,marketing,"____________ is very effective at delivering messages to target audiences as it allows for explanation in a way that most other media cannot.
(A) Digital.
(B) Print.
(C) Broadcast.
(D) Outdoor.
Answer: (","Which is the most possible answer?
(A) Digital.
(B) Print.
(C) Broadcast.
(D) Outdoor.
Answer: (",33,"[32, 34, 35]"
