question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,management,"When does an acquisition take place?
(A) Two equal partners decide to work together.
(B) Two equal partners share resources.
(C) Two unequal partners join together.
(D) Two unequal partners become one after a buyout.
Answer: (","Which is the most possible answer?
(A) Two equal partners decide to work together.
(B) Two equal partners share resources.
(C) Two unequal partners join together.
(D) Two unequal partners become one after a buyout.
Answer: (",35,"[32, 33, 34]"
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,management,"Who of these is the entrepreneur?
(A) Barack Obama
(B) James Dyson
(C) Damien Hirst
(D) Mo Farah
Answer: (","Which is the most possible answer?
(A) Barack Obama
(B) James Dyson
(C) Damien Hirst
(D) Mo Farah
Answer: (",33,"[32, 34, 35]"
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,management,"Which of these is not an advantage of a virtual team?
(A) Team members can be recruited for their specific skills or experience.
(B) No overhead costs associated with physical buildings.
(C) Conflict can be resolved easily using face-to-face meetings.
(D) Low transport or commuting costs.
Answer: (","Which is the most possible answer?
(A) Team members can be recruited for their specific skills or experience.
(B) No overhead costs associated with physical buildings.
(C) Conflict can be resolved easily using face-to-face meetings.
(D) Low transport or commuting costs.
Answer: (",34,"[32, 33, 35]"
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,management,"What is the richest form of information?
(A) Telephone
(B) Face-to-face
(C) E-mail
(D) Video conference
Answer: (","Which is the most possible answer?
(A) Telephone
(B) Face-to-face
(C) E-mail
(D) Video conference
Answer: (",33,"[32, 34, 35]"
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,management,"What is the purpose of a 'quality circle'?
(A) Bring together managers and workers to find improvements.
(B) Bring together managers and workers to discuss output.
(C) Bring together managers and workers to review quality of work.
(D) Bring together managers and workers to review targets.
Answer: (","Which is the most possible answer?
(A) Bring together managers and workers to find improvements.
(B) Bring together managers and workers to discuss output.
(C) Bring together managers and workers to review quality of work.
(D) Bring together managers and workers to review targets.
Answer: (",32,"[33, 34, 35]"
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,management,"What is the guiding principle behind New Public Management?
(A) Profit maximisation
(B) Introducing private sector business principles into the public sector
(C) Replacing public management with private sector management
(D) Restructuring public organisations
Answer: (","Which is the most possible answer?
(A) Profit maximisation
(B) Introducing private sector business principles into the public sector
(C) Replacing public management with private sector management
(D) Restructuring public organisations
Answer: (",33,"[32, 34, 35]"
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,management,"Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?
(A) Peter Drucker
(B) Jay Barney
(C) Michael Porter
(D) Henry Mintzberg
Answer: (","Which is the most possible answer?
(A) Peter Drucker
(B) Jay Barney
(C) Michael Porter
(D) Henry Mintzberg
Answer: (",34,"[32, 33, 35]"
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,management,"Functional structures help to create...
(A) teamwork
(B) specialisation
(C) project work groups
(D) multi-skilled employees
Answer: (","Which is the most possible answer?
(A) teamwork
(B) specialisation
(C) project work groups
(D) multi-skilled employees
Answer: (",33,"[32, 34, 35]"
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,management,"What is a succession plan?
(A) Dismissing an employee for a more favourable employee
(B) A formal process of planning to fill a role that will become vacant
(C) A vote of no confidence in a board member
(D) The formal process of acquiring a new staff member
Answer: (","Which is the most possible answer?
(A) Dismissing an employee for a more favourable employee
(B) A formal process of planning to fill a role that will become vacant
(C) A vote of no confidence in a board member
(D) The formal process of acquiring a new staff member
Answer: (",33,"[32, 34, 35]"
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,management,"What is the definition of a scenario in scenario planning?
(A) An imagined sequence of future events
(B) An unpredictable event
(C) A planned for event
(D) An unplanned for event
Answer: (","Which is the most possible answer?
(A) An imagined sequence of future events
(B) An unpredictable event
(C) A planned for event
(D) An unplanned for event
Answer: (",32,"[33, 34, 35]"
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,management,"What assumption is the garbage can model of decision making based on?
(A) Limited knowledge and great insight
(B) Limited knowledge but high level of experience
(C) Limited knowledge and uncertainty
(D) Limited knowledge and high risk
Answer: (","Which is the most possible answer?
(A) Limited knowledge and great insight
(B) Limited knowledge but high level of experience
(C) Limited knowledge and uncertainty
(D) Limited knowledge and high risk
Answer: (",34,"[32, 33, 35]"
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,management,"By which principle is utilitarianism defined?
(A) Equality for everyone
(B) Maximisation of outcomes for individuals
(C) The best outcome for the majority of people
(D) The least worst outcome for everybody
Answer: (","Which is the most possible answer?
(A) Equality for everyone
(B) Maximisation of outcomes for individuals
(C) The best outcome for the majority of people
(D) The least worst outcome for everybody
Answer: (",34,"[32, 33, 35]"
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,management,"What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?
(A) Group roles
(B) Virtual teamwork
(C) Synergy
(D) Role making
Answer: (","Which is the most possible answer?
(A) Group roles
(B) Virtual teamwork
(C) Synergy
(D) Role making
Answer: (",32,"[33, 34, 35]"
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,management,"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?
(A) Social plan
(B) Social strategy
(C) Social audit
(D) Social account
Answer: (","Which is the most possible answer?
(A) Social plan
(B) Social strategy
(C) Social audit
(D) Social account
Answer: (",34,"[32, 33, 35]"
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,management,"What type of organisational culture is most likely to deliver stability and efficiency?
(A) Task culture
(B) Role culture
(C) Power culture
(D) People culture
Answer: (","Which is the most possible answer?
(A) Task culture
(B) Role culture
(C) Power culture
(D) People culture
Answer: (",33,"[32, 34, 35]"
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,management,"Who of the following is a leading writer on contingency theory of leadership?
(A) Rosabeth Kanter
(B) Joan Woodward
(C) Rensis Likert
(D) Fred Fiedler
Answer: (","Which is the most possible answer?
(A) Rosabeth Kanter
(B) Joan Woodward
(C) Rensis Likert
(D) Fred Fiedler
Answer: (",35,"[32, 33, 34]"
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,management,"What are characteristics of a programmed decision?
(A) Complex and risky
(B) Uncertain and non-routine
(C) Low risk and certain
(D) Routine and non-complex
Answer: (","Which is the most possible answer?
(A) Complex and risky
(B) Uncertain and non-routine
(C) Low risk and certain
(D) Routine and non-complex
Answer: (",35,"[32, 33, 34]"
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,management,"What is not an advantage of a hierarchical structure?
(A) Clear chain of command
(B) Quick response to change
(C) Discipline and stability
(D) Small span of control
Answer: (","Which is the most possible answer?
(A) Clear chain of command
(B) Quick response to change
(C) Discipline and stability
(D) Small span of control
Answer: (",33,"[32, 34, 35]"
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,management,"What is a strategic alliance?
(A) Any form of partnership between one firm and another
(B) Formal agreement committing two or more firms to exchange resources to produce products or services
(C) Formal agreement to share profits from a shared investment
(D) Formal agreement to share knowledge
Answer: (","Which is the most possible answer?
(A) Any form of partnership between one firm and another
(B) Formal agreement committing two or more firms to exchange resources to produce products or services
(C) Formal agreement to share profits from a shared investment
(D) Formal agreement to share knowledge
Answer: (",33,"[32, 34, 35]"
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,management,"What are group norms?
(A) Modes of behaviour that are acceptable to and shared by group members
(B) Modes of behaviour that are shared by some members of the group
(C) Modes of behaviour that challenge group values and beliefs
(D) Modes of behaviour that are different of those of the other group members
Answer: (","Which is the most possible answer?
(A) Modes of behaviour that are acceptable to and shared by group members
(B) Modes of behaviour that are shared by some members of the group
(C) Modes of behaviour that challenge group values and beliefs
(D) Modes of behaviour that are different of those of the other group members
Answer: (",32,"[33, 34, 35]"
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,management,"Which of the following is not a recognised type of plan?
(A) Business
(B) Succession
(C) Ad hoc
(D) Financial
Answer: (","Which is the most possible answer?
(A) Business
(B) Succession
(C) Ad hoc
(D) Financial
Answer: (",34,"[32, 33, 35]"
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,management,"What is the term for the extent to which competition in one country is influenced by competition in other countries?
(A) International trade
(B) Global economics
(C) Global competition
(D) Globalisation
Answer: (","Which is the most possible answer?
(A) International trade
(B) Global economics
(C) Global competition
(D) Globalisation
Answer: (",35,"[32, 33, 34]"
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,management,"As what are key factors that reflect the situation of an organisation referred to?
(A) Administrations
(B) Processes
(C) Activities
(D) Contingencies
Answer: (","Which is the most possible answer?
(A) Administrations
(B) Processes
(C) Activities
(D) Contingencies
Answer: (",35,"[32, 33, 34]"
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,management,"Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?
(A) Expectations
(B) Choice opportunities
(C) Problems
(D) Solutions
Answer: (","Which is the most possible answer?
(A) Expectations
(B) Choice opportunities
(C) Problems
(D) Solutions
Answer: (",32,"[33, 34, 35]"
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,management,"What does PEST stand for?
(A) Political, environmental, strategic, testing
(B) Political, environmental, strategic, technological
(C) Political, economic, strategic, technological
(D) Political, economic, social, technological
Answer: (","Which is the most possible answer?
(A) Political, environmental, strategic, testing
(B) Political, environmental, strategic, technological
(C) Political, economic, strategic, technological
(D) Political, economic, social, technological
Answer: (",35,"[32, 33, 34]"
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,management,"What does the acronym SMART stand for?
(A) Suitable, measurable, actionable, rewarded and timely
(B) Specific, measurable, actionable, resourced and timely
(C) Standardised, measurable, achievable, rewarded, and timely
(D) Specific, measurable, achievable, rewarded and timely
Answer: (","Which is the most possible answer?
(A) Suitable, measurable, actionable, rewarded and timely
(B) Specific, measurable, actionable, resourced and timely
(C) Standardised, measurable, achievable, rewarded, and timely
(D) Specific, measurable, achievable, rewarded and timely
Answer: (",35,"[32, 33, 34]"
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,management,"Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?
(A) Merton
(B) Weber
(C) Gouldner
(D) Mayo
Answer: (","Which is the most possible answer?
(A) Merton
(B) Weber
(C) Gouldner
(D) Mayo
Answer: (",34,"[32, 33, 35]"
What is the optimal span of control?,2,5,7,None of the above,D,management,"What is the optimal span of control?
(A) 2
(B) 5
(C) 7
(D) None of the above
Answer: (","Which is the most possible answer?
(A) 2
(B) 5
(C) 7
(D) None of the above
Answer: (",35,"[32, 33, 34]"
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,management,"What one of these is not a recognised type of authority?
(A) Executive
(B) Functional
(C) Line management
(D) Supplier
Answer: (","Which is the most possible answer?
(A) Executive
(B) Functional
(C) Line management
(D) Supplier
Answer: (",35,"[32, 33, 34]"
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,management,"Which one of the following is not a characteristic of a team?
(A) Minimal and formal knowledge sharing
(B) Collective output
(C) Individual and collective responsibility
(D) Fluid dimension to roles and tasks
Answer: (","Which is the most possible answer?
(A) Minimal and formal knowledge sharing
(B) Collective output
(C) Individual and collective responsibility
(D) Fluid dimension to roles and tasks
Answer: (",32,"[33, 34, 35]"
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,management,"Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?
(A) Ethical
(B) Economic
(C) Discretionary
(D) Technical
Answer: (","Which is the most possible answer?
(A) Ethical
(B) Economic
(C) Discretionary
(D) Technical
Answer: (",35,"[32, 33, 34]"
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,management,"What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?
(A) Product development
(B) Market penetration
(C) Diversification
(D) Market development
Answer: (","Which is the most possible answer?
(A) Product development
(B) Market penetration
(C) Diversification
(D) Market development
Answer: (",33,"[32, 34, 35]"
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,management,"What is characteristic for the location of a virtual team?
(A) In the same building
(B) In the same industry
(C) In the same country
(D) remotely
Answer: (","Which is the most possible answer?
(A) In the same building
(B) In the same industry
(C) In the same country
(D) remotely
Answer: (",35,"[32, 33, 34]"
