question,A,B,C,D,answer,category,valid,clean,corrupted,correct_idx,incorrect_idx
"In chloroplasts, a certain protein is found in the lumen of the thylakoid (thylakoid space). It is transcribed in the nucleus and synthesized on cytoplasmic ribosomes. How many membrane bilayers must this protein cross to reach its final location?",One,Two,Three,Four,C,college_biology,True,"In chloroplasts, a certain protein is found in the lumen of the thylakoid (thylakoid space). It is transcribed in the nucleus and synthesized on cytoplasmic ribosomes. How many membrane bilayers must this protein cross to reach its final location?
(A) One
(B) Two
(C) Three
(D) Four
Answer: (","Which is the most possible answer?
(A) One
(B) Two
(C) Three
(D) Four
Answer: (",34,"[32, 33, 35]"
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,elementary_mathematics,True,"Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?
(A) 5
(B) 7
(C) 8
(D) 9
Answer: (","Which is the most possible answer?
(A) 5
(B) 7
(C) 8
(D) 9
Answer: (",34,"[32, 33, 35]"
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,elementary_mathematics,True,"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?
(A) 4
(B) 5
(C) 6
(D) 7
Answer: (","Which is the most possible answer?
(A) 4
(B) 5
(C) 6
(D) 7
Answer: (",33,"[32, 34, 35]"
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,elementary_mathematics,True,"Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?
(A) 9
(B) 11
(C) 26
(D) 32
Answer: (","Which is the most possible answer?
(A) 9
(B) 11
(C) 26
(D) 32
Answer: (",34,"[32, 33, 35]"
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,elementary_mathematics,True,"Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?
(A) 8
(B) 9
(C) 49
(D) 63
Answer: (","Which is the most possible answer?
(A) 8
(B) 9
(C) 49
(D) 63
Answer: (",32,"[33, 34, 35]"
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,elementary_mathematics,True,"Find the number that makes the statement 48 over 88 = ? over 11 true.
(A) 6
(B) 11
(C) 8
(D) 5
Answer: (","Which is the most possible answer?
(A) 6
(B) 11
(C) 8
(D) 5
Answer: (",32,"[33, 34, 35]"
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,elementary_mathematics,True,"Find the median in the set of data 23, 13, 18, 29, 32, 25.
(A) 18
(B) 24
(C) 25
(D) 29
Answer: (","Which is the most possible answer?
(A) 18
(B) 24
(C) 25
(D) 29
Answer: (",33,"[32, 34, 35]"
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,elementary_mathematics,True,"A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?
(A) 5
(B) 25
(C) 50
(D) 125
Answer: (","Which is the most possible answer?
(A) 5
(B) 25
(C) 50
(D) 125
Answer: (",35,"[32, 33, 34]"
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,elementary_mathematics,True,"Simplify (2 + 5)^2 − 42.
(A) 7
(B) 16
(C) 30
(D) 33
Answer: (","Which is the most possible answer?
(A) 7
(B) 16
(C) 30
(D) 33
Answer: (",32,"[33, 34, 35]"
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,elementary_mathematics,True,"A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?
(A) 382
(B) 397
(C) 406
(D) 447
Answer: (","Which is the most possible answer?
(A) 382
(B) 397
(C) 406
(D) 447
Answer: (",33,"[32, 34, 35]"
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,elementary_mathematics,True,"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?
(A) 53
(B) 63
(C) 73
(D) 83
Answer: (","Which is the most possible answer?
(A) 53
(B) 63
(C) 73
(D) 83
Answer: (",34,"[32, 33, 35]"
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,elementary_mathematics,True,"Let 12-9+c=12. What value of c makes the equation true?
(A) 0
(B) 3
(C) 9
(D) 12
Answer: (","Which is the most possible answer?
(A) 0
(B) 3
(C) 9
(D) 12
Answer: (",34,"[32, 33, 35]"
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,elementary_mathematics,True,"What is the value of the expression 2(3(4^2 + 1)) - 2^3?
(A) 156
(B) 110
(C) 94
(D) 48
Answer: (","Which is the most possible answer?
(A) 156
(B) 110
(C) 94
(D) 48
Answer: (",34,"[32, 33, 35]"
Compute 22 / 2 + 9.,10,11,20,2,C,elementary_mathematics,True,"Compute 22 / 2 + 9.
(A) 10
(B) 11
(C) 20
(D) 2
Answer: (","Which is the most possible answer?
(A) 10
(B) 11
(C) 20
(D) 2
Answer: (",34,"[32, 33, 35]"
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,elementary_mathematics,True,"What is the value of 5 + 2 • 15 + (12 • 4)?
(A) 78
(B) 83
(C) 131
(D) 153
Answer: (","Which is the most possible answer?
(A) 78
(B) 83
(C) 131
(D) 153
Answer: (",33,"[32, 34, 35]"
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",7,10,21,39,A,elementary_mathematics,True,"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?
(A) 7
(B) 10
(C) 21
(D) 39
Answer: (","Which is the most possible answer?
(A) 7
(B) 10
(C) 21
(D) 39
Answer: (",32,"[33, 34, 35]"
What is the least common multiple of 4 and 10?,14,20,40,60,B,elementary_mathematics,True,"What is the least common multiple of 4 and 10?
(A) 14
(B) 20
(C) 40
(D) 60
Answer: (","Which is the most possible answer?
(A) 14
(B) 20
(C) 40
(D) 60
Answer: (",33,"[32, 34, 35]"
How many years are there in a decade?,5,10,15,20,B,elementary_mathematics,True,"How many years are there in a decade?
(A) 5
(B) 10
(C) 15
(D) 20
Answer: (","Which is the most possible answer?
(A) 5
(B) 10
(C) 15
(D) 20
Answer: (",33,"[32, 34, 35]"
There are 230 calories in 4 ounces of a type of ice cream. How many calories are in 6 ounces of that ice cream?,232,236,345,460,C,elementary_mathematics,True,"There are 230 calories in 4 ounces of a type of ice cream. How many calories are in 6 ounces of that ice cream?
(A) 232
(B) 236
(C) 345
(D) 460
Answer: (","Which is the most possible answer?
(A) 232
(B) 236
(C) 345
(D) 460
Answer: (",34,"[32, 33, 35]"
"Mr. Kohlberg owns a flower shop. At the beginning of the day, he had 152 roses. Mr. Kohlberg sold 96 of the roses and then wanted to separate the rest of the roses equally among 8 vases. What will be the total number of roses in each vase?",7,12,48,56,A,elementary_mathematics,True,"Mr. Kohlberg owns a flower shop. At the beginning of the day, he had 152 roses. Mr. Kohlberg sold 96 of the roses and then wanted to separate the rest of the roses equally among 8 vases. What will be the total number of roses in each vase?
(A) 7
(B) 12
(C) 48
(D) 56
Answer: (","Which is the most possible answer?
(A) 7
(B) 12
(C) 48
(D) 56
Answer: (",32,"[33, 34, 35]"
"Umi created the number pattern that follows by adding the same amount each time to get the next number. 20, 40, 60, 80, ... What will be the eighth number in the pattern?",160,240,320,640,A,elementary_mathematics,True,"Umi created the number pattern that follows by adding the same amount each time to get the next number. 20, 40, 60, 80, ... What will be the eighth number in the pattern?
(A) 160
(B) 240
(C) 320
(D) 640
Answer: (","Which is the most possible answer?
(A) 160
(B) 240
(C) 320
(D) 640
Answer: (",32,"[33, 34, 35]"
"Pat bounces a basketball 25 times in 30 seconds. At that rate, approximately how many times will Pat bounce the ball in 150 seconds?",120,125,144,145,B,elementary_mathematics,True,"Pat bounces a basketball 25 times in 30 seconds. At that rate, approximately how many times will Pat bounce the ball in 150 seconds?
(A) 120
(B) 125
(C) 144
(D) 145
Answer: (","Which is the most possible answer?
(A) 120
(B) 125
(C) 144
(D) 145
Answer: (",33,"[32, 34, 35]"
What is the value of y in the equation y/4 = 8?,2,4,12,32,D,elementary_mathematics,True,"What is the value of y in the equation y/4 = 8?
(A) 2
(B) 4
(C) 12
(D) 32
Answer: (","Which is the most possible answer?
(A) 2
(B) 4
(C) 12
(D) 32
Answer: (",35,"[32, 33, 34]"
8 + 8 ÷ 2 + 2 =,4,8,10,14,D,elementary_mathematics,True,"8 + 8 ÷ 2 + 2 =
(A) 4
(B) 8
(C) 10
(D) 14
Answer: (","Which is the most possible answer?
(A) 4
(B) 8
(C) 10
(D) 14
Answer: (",35,"[32, 33, 34]"
Solve 3 over 4 * x = 24.,18,32,72,96,B,elementary_mathematics,True,"Solve 3 over 4 * x = 24.
(A) 18
(B) 32
(C) 72
(D) 96
Answer: (","Which is the most possible answer?
(A) 18
(B) 32
(C) 72
(D) 96
Answer: (",33,"[32, 34, 35]"
Find the exact answer: 110 + 70,18,81,180,810,C,elementary_mathematics,True,"Find the exact answer: 110 + 70
(A) 18
(B) 81
(C) 180
(D) 810
Answer: (","Which is the most possible answer?
(A) 18
(B) 81
(C) 180
(D) 810
Answer: (",34,"[32, 33, 35]"
What is the greatest common factor of 36 and 90?,6,18,36,180,B,elementary_mathematics,True,"What is the greatest common factor of 36 and 90?
(A) 6
(B) 18
(C) 36
(D) 180
Answer: (","Which is the most possible answer?
(A) 6
(B) 18
(C) 36
(D) 180
Answer: (",33,"[32, 34, 35]"
What is the greatest common factor of 42 and 84?,7,21,42,84,C,elementary_mathematics,True,"What is the greatest common factor of 42 and 84?
(A) 7
(B) 21
(C) 42
(D) 84
Answer: (","Which is the most possible answer?
(A) 7
(B) 21
(C) 42
(D) 84
Answer: (",34,"[32, 33, 35]"
"What is the measure, in degrees, of an angle that is equivalent to 1/360 of a circle?",1,90,180,360,A,elementary_mathematics,True,"What is the measure, in degrees, of an angle that is equivalent to 1/360 of a circle?
(A) 1
(B) 90
(C) 180
(D) 360
Answer: (","Which is the most possible answer?
(A) 1
(B) 90
(C) 180
(D) 360
Answer: (",32,"[33, 34, 35]"
"A store manager orders shirts from their warehouse. The shirts are packed into boxes and sentto the store, as described below. 81 shirts are ordered. Each shipping box holds 9 shirts. How many shipping boxes are needed for all of the shirts ordered?",8,9,72,90,B,elementary_mathematics,True,"A store manager orders shirts from their warehouse. The shirts are packed into boxes and sentto the store, as described below. 81 shirts are ordered. Each shipping box holds 9 shirts. How many shipping boxes are needed for all of the shirts ordered?
(A) 8
(B) 9
(C) 72
(D) 90
Answer: (","Which is the most possible answer?
(A) 8
(B) 9
(C) 72
(D) 90
Answer: (",33,"[32, 34, 35]"
What number multiplied by 4 equals 36?,6,7,8,9,D,elementary_mathematics,True,"What number multiplied by 4 equals 36?
(A) 6
(B) 7
(C) 8
(D) 9
Answer: (","Which is the most possible answer?
(A) 6
(B) 7
(C) 8
(D) 9
Answer: (",35,"[32, 33, 34]"
Jess scored 18 points during her last basketball game. Each basket she made was worth 2 points. How many baskets did she make?,20,16,9,8,C,elementary_mathematics,True,"Jess scored 18 points during her last basketball game. Each basket she made was worth 2 points. How many baskets did she make?
(A) 20
(B) 16
(C) 9
(D) 8
Answer: (","Which is the most possible answer?
(A) 20
(B) 16
(C) 9
(D) 8
Answer: (",34,"[32, 33, 35]"
Find the LCM of 24 and 36.,96,144,72,120,C,elementary_mathematics,True,"Find the LCM of 24 and 36.
(A) 96
(B) 144
(C) 72
(D) 120
Answer: (","Which is the most possible answer?
(A) 96
(B) 144
(C) 72
(D) 120
Answer: (",34,"[32, 33, 35]"
"Last year, Chesa made 32 one-cup servings of soup for a school party. This year, she will make two times the amount of soup that she made last year. How many gallons of soup will Chesa make this year?",64,16,4,2,C,elementary_mathematics,True,"Last year, Chesa made 32 one-cup servings of soup for a school party. This year, she will make two times the amount of soup that she made last year. How many gallons of soup will Chesa make this year?
(A) 64
(B) 16
(C) 4
(D) 2
Answer: (","Which is the most possible answer?
(A) 64
(B) 16
(C) 4
(D) 2
Answer: (",34,"[32, 33, 35]"
"A company makes 5 blue cars for every 3 white cars it makes. If the company makes 15 white cars in one day, how many blue cars will it make?",9,13,17,25,D,elementary_mathematics,True,"A company makes 5 blue cars for every 3 white cars it makes. If the company makes 15 white cars in one day, how many blue cars will it make?
(A) 9
(B) 13
(C) 17
(D) 25
Answer: (","Which is the most possible answer?
(A) 9
(B) 13
(C) 17
(D) 25
Answer: (",35,"[32, 33, 34]"
Chris sells roses for $16.99 a bunch. At the end of the day he has collected $339.80. How many bunches of roses did he sell?,22,18,20,16,C,elementary_mathematics,True,"Chris sells roses for $16.99 a bunch. At the end of the day he has collected $339.80. How many bunches of roses did he sell?
(A) 22
(B) 18
(C) 20
(D) 16
Answer: (","Which is the most possible answer?
(A) 22
(B) 18
(C) 20
(D) 16
Answer: (",34,"[32, 33, 35]"
"An ice cream shopsold 48 vanilla milkshakes in a day, which was 40% of the total number of milkshakes sold that day. What was the total number of milkshakes that the ice cream shop sold that day?",60,72,100,120,D,elementary_mathematics,True,"An ice cream shopsold 48 vanilla milkshakes in a day, which was 40% of the total number of milkshakes sold that day. What was the total number of milkshakes that the ice cream shop sold that day?
(A) 60
(B) 72
(C) 100
(D) 120
Answer: (","Which is the most possible answer?
(A) 60
(B) 72
(C) 100
(D) 120
Answer: (",35,"[32, 33, 34]"
"Evaluate (c^2 − b^2)^2 + a^2 for a = 5, b = 3, and c = 2.",194,18,50,0,C,elementary_mathematics,True,"Evaluate (c^2 − b^2)^2 + a^2 for a = 5, b = 3, and c = 2.
(A) 194
(B) 18
(C) 50
(D) 0
Answer: (","Which is the most possible answer?
(A) 194
(B) 18
(C) 50
(D) 0
Answer: (",34,"[32, 33, 35]"
"If x − 3 = 6, what is the value of x?",2,3,6,9,D,elementary_mathematics,True,"If x − 3 = 6, what is the value of x?
(A) 2
(B) 3
(C) 6
(D) 9
Answer: (","Which is the most possible answer?
(A) 2
(B) 3
(C) 6
(D) 9
Answer: (",35,"[32, 33, 34]"
"A shape is mad eof 12 right triangles of equal size. Each right triangle has a base of 4 cm and a height of 5 cm. What is the total area, in square centimeters, of the shape?",10,60,120,240,C,elementary_mathematics,True,"A shape is mad eof 12 right triangles of equal size. Each right triangle has a base of 4 cm and a height of 5 cm. What is the total area, in square centimeters, of the shape?
(A) 10
(B) 60
(C) 120
(D) 240
Answer: (","Which is the most possible answer?
(A) 10
(B) 60
(C) 120
(D) 240
Answer: (",34,"[32, 33, 35]"
"What is the value of 4x + 9, when x = 4?",13,17,25,52,C,elementary_mathematics,True,"What is the value of 4x + 9, when x = 4?
(A) 13
(B) 17
(C) 25
(D) 52
Answer: (","Which is the most possible answer?
(A) 13
(B) 17
(C) 25
(D) 52
Answer: (",34,"[32, 33, 35]"
"The surface area, S, of a right rectangular prism with length l, width w, and height h can be found using the formula S = 2(lw+ wh + hl). What is the surface area, in square inches, of a prism with a length of 12 inches, a width of 9 inches, and a height of 2 inches?",300,258,150,92,A,elementary_mathematics,True,"The surface area, S, of a right rectangular prism with length l, width w, and height h can be found using the formula S = 2(lw+ wh + hl). What is the surface area, in square inches, of a prism with a length of 12 inches, a width of 9 inches, and a height of 2 inches?
(A) 300
(B) 258
(C) 150
(D) 92
Answer: (","Which is the most possible answer?
(A) 300
(B) 258
(C) 150
(D) 92
Answer: (",32,"[33, 34, 35]"
John has 4 cookies. Sara has 2 more cookies than John. Darius has 3 times as many cookies as Sara. How many cookies does Darius have?,9,14,18,24,C,elementary_mathematics,True,"John has 4 cookies. Sara has 2 more cookies than John. Darius has 3 times as many cookies as Sara. How many cookies does Darius have?
(A) 9
(B) 14
(C) 18
(D) 24
Answer: (","Which is the most possible answer?
(A) 9
(B) 14
(C) 18
(D) 24
Answer: (",34,"[32, 33, 35]"
Mai earns $5.50 per hour at her after-school job. How many hours does she have to work to earn $132?,16,20,24,28,C,elementary_mathematics,True,"Mai earns $5.50 per hour at her after-school job. How many hours does she have to work to earn $132?
(A) 16
(B) 20
(C) 24
(D) 28
Answer: (","Which is the most possible answer?
(A) 16
(B) 20
(C) 24
(D) 28
Answer: (",34,"[32, 33, 35]"
I am a number. I have 7 in the ones place. I am less than 80 but greater than 70. What is my number?,71,73,77,79,C,elementary_mathematics,True,"I am a number. I have 7 in the ones place. I am less than 80 but greater than 70. What is my number?
(A) 71
(B) 73
(C) 77
(D) 79
Answer: (","Which is the most possible answer?
(A) 71
(B) 73
(C) 77
(D) 79
Answer: (",34,"[32, 33, 35]"
The distance from Chicago to New York City is 794 miles. What is 794 rounded to the nearest hundred?,700,794,800,894,C,elementary_mathematics,True,"The distance from Chicago to New York City is 794 miles. What is 794 rounded to the nearest hundred?
(A) 700
(B) 794
(C) 800
(D) 894
Answer: (","Which is the most possible answer?
(A) 700
(B) 794
(C) 800
(D) 894
Answer: (",34,"[32, 33, 35]"
"There are three different sections to sit in at a baseball park. The number of people who can sit in each section is described below.
* red section seats 200 people
* blue section seats 20 fewer people than the red section
* green section seats 2 times as many people as the blue section
What is the total number of people who can sit in the baseball park?",260,380,640,740,D,elementary_mathematics,True,"There are three different sections to sit in at a baseball park. The number of people who can sit in each section is described below.
* red section seats 200 people
* blue section seats 20 fewer people than the red section
* green section seats 2 times as many people as the blue section
What is the total number of people who can sit in the baseball park?
(A) 260
(B) 380
(C) 640
(D) 740
Answer: (","There are three different sections to sit in at a baseball park. The number of people who can sit in each section is described below.
* red section seats 200 people
* blue section seats 20 fewer people than the red section
* green section seats 2 times as many people as the blue section
What is the total number of people who can sit in the baseball park?
(A) 260
(B) 380
(C) 640
(D) 740
Answer: (",35,"[32, 33, 34]"
"Find the mean of the set of data 18, 9, 9, 10, 11, 14, 30, 19.",9,15,30,11,B,elementary_mathematics,True,"Find the mean of the set of data 18, 9, 9, 10, 11, 14, 30, 19.
(A) 9
(B) 15
(C) 30
(D) 11
Answer: (","Which is the most possible answer?
(A) 9
(B) 15
(C) 30
(D) 11
Answer: (",33,"[32, 34, 35]"
"Simplify −4 + 7 • 3^2. Use a calculator, paper and pencil, or mental math.",437,27,289,59,D,elementary_mathematics,True,"Simplify −4 + 7 • 3^2. Use a calculator, paper and pencil, or mental math.
(A) 437
(B) 27
(C) 289
(D) 59
Answer: (","Which is the most possible answer?
(A) 437
(B) 27
(C) 289
(D) 59
Answer: (",35,"[32, 33, 34]"
