question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,virology,"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?
(A) Incidence
(B) Lifetime expectancy
(C) Lifetime prevalence
(D) Period prevalence
Answer: (","Which is the most possible answer?
(A) Incidence
(B) Lifetime expectancy
(C) Lifetime prevalence
(D) Period prevalence
Answer: (",34,"[32, 33, 35]"
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,virology,"How were retroviruses discovered?
(A) In chickens as Rous sarcoma
(B) In humans as HTLV-1
(C) In mice causing leukaemia
(D) In cats causing leukaemia
Answer: (","Which is the most possible answer?
(A) In chickens as Rous sarcoma
(B) In humans as HTLV-1
(C) In mice causing leukaemia
(D) In cats causing leukaemia
Answer: (",34,"[32, 33, 35]"
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,virology,"Most surveillance systems use which of the following study designs?
(A) Cohort
(B) Serial cross-sectional
(C) Mortality
(D) Syndromic
Answer: (","Which is the most possible answer?
(A) Cohort
(B) Serial cross-sectional
(C) Mortality
(D) Syndromic
Answer: (",33,"[32, 34, 35]"
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,virology,"Polio can be eradicated by which of the following?
(A) Attention to sewage control and hygiene
(B) Killed polio vaccine
(C) Live polio vaccine
(D) Combination of the killed and live vaccines.
Answer: (","Which is the most possible answer?
(A) Attention to sewage control and hygiene
(B) Killed polio vaccine
(C) Live polio vaccine
(D) Combination of the killed and live vaccines.
Answer: (",32,"[33, 34, 35]"
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,virology,"Public health ethics is:
(A) Patient-centered
(B) Population-centered
(C) Subject-centered
(D) Must respect the rights of individuals
Answer: (","Which is the most possible answer?
(A) Patient-centered
(B) Population-centered
(C) Subject-centered
(D) Must respect the rights of individuals
Answer: (",33,"[32, 34, 35]"
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,virology,"How many people globally are currently infected with hepatitis B?
(A) 350 million
(B) 2 billion
(C) 100,000
(D) 1 million
Answer: (","Which is the most possible answer?
(A) 350 million
(B) 2 billion
(C) 100,000
(D) 1 million
Answer: (",32,"[33, 34, 35]"
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,virology,"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called
(A) Clinical trial
(B) Double-blind
(C) Longitudinal
(D) Prospective cohort
Answer: (","Which is the most possible answer?
(A) Clinical trial
(B) Double-blind
(C) Longitudinal
(D) Prospective cohort
Answer: (",35,"[32, 33, 34]"
Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,virology,"Which disease do polyomaviruses predominantly cause?
(A) Tumours
(B) Brain pathology
(C) No disease at all
(D) Kidney infections
Answer: (","Which is the most possible answer?
(A) Tumours
(B) Brain pathology
(C) No disease at all
(D) Kidney infections
Answer: (",34,"[32, 33, 35]"
How are antibody producing cells stimulated?,Interacting with a virus short peptide,Interacting with a T helper cell.,Interacting with a plasma cell,Interacting with a virus infected cell,B,virology,"How are antibody producing cells stimulated?
(A) Interacting with a virus short peptide
(B) Interacting with a T helper cell.
(C) Interacting with a plasma cell
(D) Interacting with a virus infected cell
Answer: (","Which is the most possible answer?
(A) Interacting with a virus short peptide
(B) Interacting with a T helper cell.
(C) Interacting with a plasma cell
(D) Interacting with a virus infected cell
Answer: (",33,"[32, 34, 35]"
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,The brilliance of the principal investigator,The commitment of the staff,The commitment of the participants,The quality of the laboratories,C,virology,"The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:
(A) The brilliance of the principal investigator
(B) The commitment of the staff
(C) The commitment of the participants
(D) The quality of the laboratories
Answer: (","Which is the most possible answer?
(A) The brilliance of the principal investigator
(B) The commitment of the staff
(C) The commitment of the participants
(D) The quality of the laboratories
Answer: (",34,"[32, 33, 35]"
Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,Virions carry RNA transcriptase enzyme into the cell,The virion RNA is translated into a single large polyprotein,The virion RNA acting as mRNA,The virus exits by apoptosis of the cell,C,virology,"Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?
(A) Virions carry RNA transcriptase enzyme into the cell
(B) The virion RNA is translated into a single large polyprotein
(C) The virion RNA acting as mRNA
(D) The virus exits by apoptosis of the cell
Answer: (","Which is the most possible answer?
(A) Virions carry RNA transcriptase enzyme into the cell
(B) The virion RNA is translated into a single large polyprotein
(C) The virion RNA acting as mRNA
(D) The virus exits by apoptosis of the cell
Answer: (",34,"[32, 33, 35]"
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,The genome has been identified by the new method of deep sequencing,A new vector has been discovered,They infect a wide range of domestic animals and so contaminate meat,Knowledge of their replication as positive sense ssRNA viruses is now complete,A,virology,"Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?
(A) The genome has been identified by the new method of deep sequencing
(B) A new vector has been discovered
(C) They infect a wide range of domestic animals and so contaminate meat
(D) Knowledge of their replication as positive sense ssRNA viruses is now complete
Answer: (","Which is the most possible answer?
(A) The genome has been identified by the new method of deep sequencing
(B) A new vector has been discovered
(C) They infect a wide range of domestic animals and so contaminate meat
(D) Knowledge of their replication as positive sense ssRNA viruses is now complete
Answer: (",32,"[33, 34, 35]"
Which virus infection was not first identified by clinical observation?,HIV,Rubella teratogenicity,Microcephaly and Zika,Hepatitis C,D,virology,"Which virus infection was not first identified by clinical observation?
(A) HIV
(B) Rubella teratogenicity
(C) Microcephaly and Zika
(D) Hepatitis C
Answer: (","Which is the most possible answer?
(A) HIV
(B) Rubella teratogenicity
(C) Microcephaly and Zika
(D) Hepatitis C
Answer: (",35,"[32, 33, 34]"
The particular quality of the U.S. health care system is its:,"Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,B,virology,"The particular quality of the U.S. health care system is its:
(A) Systematic, democratic approach
(B) Fragmented, uncoordinated approach
(C) The result of rationale decisions by informed legislators
(D) a. and c. above
Answer: (","Which is the most possible answer?
(A) Systematic, democratic approach
(B) Fragmented, uncoordinated approach
(C) The result of rationale decisions by informed legislators
(D) a. and c. above
Answer: (",33,"[32, 34, 35]"
The three key intervention strategies according to Professor Shoptaw are:,"Behavioral intervention, treatment and structural interventions","Condoms, drug therapy and regulation of commercial sex establishments","Drug replacement therapy, community intervention and needle exchange","HIV testing, drug therapy and condom use",A,virology,"The three key intervention strategies according to Professor Shoptaw are:
(A) Behavioral intervention, treatment and structural interventions
(B) Condoms, drug therapy and regulation of commercial sex establishments
(C) Drug replacement therapy, community intervention and needle exchange
(D) HIV testing, drug therapy and condom use
Answer: (","Which is the most possible answer?
(A) Behavioral intervention, treatment and structural interventions
(B) Condoms, drug therapy and regulation of commercial sex establishments
(C) Drug replacement therapy, community intervention and needle exchange
(D) HIV testing, drug therapy and condom use
Answer: (",32,"[33, 34, 35]"
Measles has been controlled in many countries by which of the following?,By hygiene,By MMR vaccine,By new molecular peptide vaccines,By humanised monoclonal antibodies to F protein,B,virology,"Measles has been controlled in many countries by which of the following?
(A) By hygiene
(B) By MMR vaccine
(C) By new molecular peptide vaccines
(D) By humanised monoclonal antibodies to F protein
Answer: (","Which is the most possible answer?
(A) By hygiene
(B) By MMR vaccine
(C) By new molecular peptide vaccines
(D) By humanised monoclonal antibodies to F protein
Answer: (",33,"[32, 34, 35]"
How can the spread of filoviruses be restricted?,New antivirals,New humanised monoclonal antibodies,Hygiene and social distancing,New vaccines,C,virology,"How can the spread of filoviruses be restricted?
(A) New antivirals
(B) New humanised monoclonal antibodies
(C) Hygiene and social distancing
(D) New vaccines
Answer: (","Which is the most possible answer?
(A) New antivirals
(B) New humanised monoclonal antibodies
(C) Hygiene and social distancing
(D) New vaccines
Answer: (",34,"[32, 33, 35]"
Most pandemics have arisen from influenza viruses from which of the following animals?,Pigs,Wild birds,Bats,Humans,A,virology,"Most pandemics have arisen from influenza viruses from which of the following animals?
(A) Pigs
(B) Wild birds
(C) Bats
(D) Humans
Answer: (","Which is the most possible answer?
(A) Pigs
(B) Wild birds
(C) Bats
(D) Humans
Answer: (",32,"[33, 34, 35]"
PreP is an effective strategy for reducing the incidence of HIV in:,Women,Drug users,Pregnant women,a. and b. above,B,virology,"PreP is an effective strategy for reducing the incidence of HIV in:
(A) Women
(B) Drug users
(C) Pregnant women
(D) a. and b. above
Answer: (","Which is the most possible answer?
(A) Women
(B) Drug users
(C) Pregnant women
(D) a. and b. above
Answer: (",33,"[32, 34, 35]"
The replication of hepatitis B includes which of the following stages?,Movement of intact virus to the cellular cytoplasm for replication,Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus,Virions produced in the cytoplasm by cellular DNA polymerase,Oncogenic activity to transform liver cells.,C,virology,"The replication of hepatitis B includes which of the following stages?
(A) Movement of intact virus to the cellular cytoplasm for replication
(B) Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus
(C) Virions produced in the cytoplasm by cellular DNA polymerase
(D) Oncogenic activity to transform liver cells.
Answer: (","Which is the most possible answer?
(A) Movement of intact virus to the cellular cytoplasm for replication
(B) Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus
(C) Virions produced in the cytoplasm by cellular DNA polymerase
(D) Oncogenic activity to transform liver cells.
Answer: (",34,"[32, 33, 35]"
How does the papilloma family of viruses cause cancer?,"Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7",Integrates viral genome into cellular DNA,Has an oncogene able to initiate cancer,Acts as a co factor for a cellular oncogene,B,virology,"How does the papilloma family of viruses cause cancer?
(A) Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7
(B) Integrates viral genome into cellular DNA
(C) Has an oncogene able to initiate cancer
(D) Acts as a co factor for a cellular oncogene
Answer: (","Which is the most possible answer?
(A) Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7
(B) Integrates viral genome into cellular DNA
(C) Has an oncogene able to initiate cancer
(D) Acts as a co factor for a cellular oncogene
Answer: (",33,"[32, 34, 35]"
The noroviruses typically cause which of the following?,Diarrhoea,Rash,Projectile vomiting and diarrhoea,Disease of the central nervous system,C,virology,"The noroviruses typically cause which of the following?
(A) Diarrhoea
(B) Rash
(C) Projectile vomiting and diarrhoea
(D) Disease of the central nervous system
Answer: (","Which is the most possible answer?
(A) Diarrhoea
(B) Rash
(C) Projectile vomiting and diarrhoea
(D) Disease of the central nervous system
Answer: (",34,"[32, 33, 35]"
Deep nucleotide sequencing (NGS) is now cheap enough for general application. What will the technique mainly be useful for?,Speedy vaccine development,Identifying genetic variation,Giving details on virus excretion in symptomless carriers,Quickly identifying new viruses,D,virology,"Deep nucleotide sequencing (NGS) is now cheap enough for general application. What will the technique mainly be useful for?
(A) Speedy vaccine development
(B) Identifying genetic variation
(C) Giving details on virus excretion in symptomless carriers
(D) Quickly identifying new viruses
Answer: (","Which is the most possible answer?
(A) Speedy vaccine development
(B) Identifying genetic variation
(C) Giving details on virus excretion in symptomless carriers
(D) Quickly identifying new viruses
Answer: (",35,"[32, 33, 34]"
Determinants of acquiring an HIV infection from an infected person per sexual act include:,Viral RNA level,Presence of other infections,Condom use,All of the above,D,virology,"Determinants of acquiring an HIV infection from an infected person per sexual act include:
(A) Viral RNA level
(B) Presence of other infections
(C) Condom use
(D) All of the above
Answer: (","Which is the most possible answer?
(A) Viral RNA level
(B) Presence of other infections
(C) Condom use
(D) All of the above
Answer: (",35,"[32, 33, 34]"
How is next generation sequencing (NGS) most often used?,To identify a newly discovered virus,To search for drug resistant mutants,To identify quasi species viruses,Cannot be used,D,virology,"How is next generation sequencing (NGS) most often used?
(A) To identify a newly discovered virus
(B) To search for drug resistant mutants
(C) To identify quasi species viruses
(D) Cannot be used
Answer: (","Which is the most possible answer?
(A) To identify a newly discovered virus
(B) To search for drug resistant mutants
(C) To identify quasi species viruses
(D) Cannot be used
Answer: (",35,"[32, 33, 34]"
Which of the following HPV viruses are known to cause cervical cancer?,Viruses of all 5 clades,"Types 14, 16, 18, 31, 45",None are oncogenic per se,Types 1-180,C,virology,"Which of the following HPV viruses are known to cause cervical cancer?
(A) Viruses of all 5 clades
(B) Types 14, 16, 18, 31, 45
(C) None are oncogenic per se
(D) Types 1-180
Answer: (","Which is the most possible answer?
(A) Viruses of all 5 clades
(B) Types 14, 16, 18, 31, 45
(C) None are oncogenic per se
(D) Types 1-180
Answer: (",34,"[32, 33, 35]"
Which member of the paramyxovirus family can cause very serious croup?,Measles,Meta pneumo virus,Hendra,Respiratory syncytial virus (RSV),B,virology,"Which member of the paramyxovirus family can cause very serious croup?
(A) Measles
(B) Meta pneumo virus
(C) Hendra
(D) Respiratory syncytial virus (RSV)
Answer: (","Which is the most possible answer?
(A) Measles
(B) Meta pneumo virus
(C) Hendra
(D) Respiratory syncytial virus (RSV)
Answer: (",33,"[32, 34, 35]"
Which of the following is the cause of delay in HIV testing among the Latino population?,Stigma attached to the disease,Machismo,Drug abuse,All of the above,D,virology,"Which of the following is the cause of delay in HIV testing among the Latino population?
(A) Stigma attached to the disease
(B) Machismo
(C) Drug abuse
(D) All of the above
Answer: (","Which is the most possible answer?
(A) Stigma attached to the disease
(B) Machismo
(C) Drug abuse
(D) All of the above
Answer: (",35,"[32, 33, 34]"
Describe the morphology of a togavirus.,Enveloped spherical particles with an icosahedral structure,Non-enveloped with an icosahedral structure,Filamentous virus with protruding glycoproteins,Small round viruses,A,virology,"Describe the morphology of a togavirus.
(A) Enveloped spherical particles with an icosahedral structure
(B) Non-enveloped with an icosahedral structure
(C) Filamentous virus with protruding glycoproteins
(D) Small round viruses
Answer: (","Which is the most possible answer?
(A) Enveloped spherical particles with an icosahedral structure
(B) Non-enveloped with an icosahedral structure
(C) Filamentous virus with protruding glycoproteins
(D) Small round viruses
Answer: (",32,"[33, 34, 35]"
A good surveillance system should provide information about:,Who is being infected,Where the infected individuals are,How rapidly infection is spreading,All of the above,D,virology,"A good surveillance system should provide information about:
(A) Who is being infected
(B) Where the infected individuals are
(C) How rapidly infection is spreading
(D) All of the above
Answer: (","Which is the most possible answer?
(A) Who is being infected
(B) Where the infected individuals are
(C) How rapidly infection is spreading
(D) All of the above
Answer: (",35,"[32, 33, 34]"
What has so far prevented polio being eradicated from the world?,Inability to vaccinate in some countries,Poor quality (unsafe) vaccines,Genetic variation,Expense,A,virology,"What has so far prevented polio being eradicated from the world?
(A) Inability to vaccinate in some countries
(B) Poor quality (unsafe) vaccines
(C) Genetic variation
(D) Expense
Answer: (","Which is the most possible answer?
(A) Inability to vaccinate in some countries
(B) Poor quality (unsafe) vaccines
(C) Genetic variation
(D) Expense
Answer: (",32,"[33, 34, 35]"
The range of disease caused by the family is wide but identify the exception from the following:,Aplastic crisis in anaemia patients,Fifth disease at 'Slapped cheek' syndrome,Foetal infection with teratogenicity,Serious pneumonia,A,virology,"The range of disease caused by the family is wide but identify the exception from the following:
(A) Aplastic crisis in anaemia patients
(B) Fifth disease at 'Slapped cheek' syndrome
(C) Foetal infection with teratogenicity
(D) Serious pneumonia
Answer: (","Which is the most possible answer?
(A) Aplastic crisis in anaemia patients
(B) Fifth disease at 'Slapped cheek' syndrome
(C) Foetal infection with teratogenicity
(D) Serious pneumonia
Answer: (",32,"[33, 34, 35]"
Which of the following drugs inhibit herpes viruses?,Amantadine,Acyclovir,Oseltamivir,Azidothymidine,D,virology,"Which of the following drugs inhibit herpes viruses?
(A) Amantadine
(B) Acyclovir
(C) Oseltamivir
(D) Azidothymidine
Answer: (","Which is the most possible answer?
(A) Amantadine
(B) Acyclovir
(C) Oseltamivir
(D) Azidothymidine
Answer: (",35,"[32, 33, 34]"
The three countries with the most drug injectors are:,"Bolivia, Argentina, Thailand","China, the U.S. and Russia","Afghanistan, Iraq and Myanmar","Lithuania, Estonia and Latvia",B,virology,"The three countries with the most drug injectors are:
(A) Bolivia, Argentina, Thailand
(B) China, the U.S. and Russia
(C) Afghanistan, Iraq and Myanmar
(D) Lithuania, Estonia and Latvia
Answer: (","Which is the most possible answer?
(A) Bolivia, Argentina, Thailand
(B) China, the U.S. and Russia
(C) Afghanistan, Iraq and Myanmar
(D) Lithuania, Estonia and Latvia
Answer: (",33,"[32, 34, 35]"
"Officials at a large community hospital report an increased incidence of acute lymphocytic leukemia (ALL) among children aged 5 – 12. They point out that some households in the community are exposed to chemical waste from a nearby factory. They believe that chemical waste causes leukemia. If a study is designed to evaluate the hospital officials’ claim, which of the following subjects are most likely to comprise the control group?",Children exposed to the chemical waste who do not suffer from ALL,Children not exposed to the chemical waste who do not suffer from ALL,Children from the hospital’s outpatient clinic who do not suffer from ALL,Children not exposed to the chemical waste who suffer from ALL,B,virology,"Officials at a large community hospital report an increased incidence of acute lymphocytic leukemia (ALL) among children aged 5 – 12. They point out that some households in the community are exposed to chemical waste from a nearby factory. They believe that chemical waste causes leukemia. If a study is designed to evaluate the hospital officials’ claim, which of the following subjects are most likely to comprise the control group?
(A) Children exposed to the chemical waste who do not suffer from ALL
(B) Children not exposed to the chemical waste who do not suffer from ALL
(C) Children from the hospital’s outpatient clinic who do not suffer from ALL
(D) Children not exposed to the chemical waste who suffer from ALL
Answer: (","Which is the most possible answer?
(A) Children exposed to the chemical waste who do not suffer from ALL
(B) Children not exposed to the chemical waste who do not suffer from ALL
(C) Children from the hospital’s outpatient clinic who do not suffer from ALL
(D) Children not exposed to the chemical waste who suffer from ALL
Answer: (",33,"[32, 34, 35]"
Lassa and Ebola are emergent viruses in W. Africa. What is their origin?,Humans,Primates,Fruit bats,Pigs,B,virology,"Lassa and Ebola are emergent viruses in W. Africa. What is their origin?
(A) Humans
(B) Primates
(C) Fruit bats
(D) Pigs
Answer: (","Which is the most possible answer?
(A) Humans
(B) Primates
(C) Fruit bats
(D) Pigs
Answer: (",33,"[32, 34, 35]"
Antivirals can be used prophylactically or therapeutically in persons in which of the following circumstances?,If administered within 4 days of clinical signs,If used within 48 hours of first clinical signs,Used for the obese,Used in children under the age of 2 years where high virus spread is noted,C,virology,"Antivirals can be used prophylactically or therapeutically in persons in which of the following circumstances?
(A) If administered within 4 days of clinical signs
(B) If used within 48 hours of first clinical signs
(C) Used for the obese
(D) Used in children under the age of 2 years where high virus spread is noted
Answer: (","Which is the most possible answer?
(A) If administered within 4 days of clinical signs
(B) If used within 48 hours of first clinical signs
(C) Used for the obese
(D) Used in children under the age of 2 years where high virus spread is noted
Answer: (",34,"[32, 33, 35]"
Papillomaviruses cause warts and cancer but how do they most often infect humans?,Are water borne,Are airborne,Via scratches and breaks in the skin,Are nosocomial and spread in hospitals,C,virology,"Papillomaviruses cause warts and cancer but how do they most often infect humans?
(A) Are water borne
(B) Are airborne
(C) Via scratches and breaks in the skin
(D) Are nosocomial and spread in hospitals
Answer: (","Which is the most possible answer?
(A) Are water borne
(B) Are airborne
(C) Via scratches and breaks in the skin
(D) Are nosocomial and spread in hospitals
Answer: (",34,"[32, 33, 35]"
There are 57 serotypes of adenovirus currently recognised. Which has the most important clinical impact?,Diarrhoea,Eye infections,Respiratory tract infections,Haemorrhagic cystitis,C,virology,"There are 57 serotypes of adenovirus currently recognised. Which has the most important clinical impact?
(A) Diarrhoea
(B) Eye infections
(C) Respiratory tract infections
(D) Haemorrhagic cystitis
Answer: (","Which is the most possible answer?
(A) Diarrhoea
(B) Eye infections
(C) Respiratory tract infections
(D) Haemorrhagic cystitis
Answer: (",34,"[32, 33, 35]"
How are new polyomaviruses detailed,Shot gun sequencing,Cultivation in human neural cells,Deep pyro sequencing (NGS),Monoclonal antibody techniques,A,virology,"How are new polyomaviruses detailed
(A) Shot gun sequencing
(B) Cultivation in human neural cells
(C) Deep pyro sequencing (NGS)
(D) Monoclonal antibody techniques
Answer: (","Which is the most possible answer?
(A) Shot gun sequencing
(B) Cultivation in human neural cells
(C) Deep pyro sequencing (NGS)
(D) Monoclonal antibody techniques
Answer: (",32,"[33, 34, 35]"
Describe the YF vaccine.,Killed virus vaccine,Live attenuated virus vaccine developed by Pasteurian passage,Live attenuated vaccine produced by direct mutation of the virus genome,Experimental vaccine only,B,virology,"Describe the YF vaccine.
(A) Killed virus vaccine
(B) Live attenuated virus vaccine developed by Pasteurian passage
(C) Live attenuated vaccine produced by direct mutation of the virus genome
(D) Experimental vaccine only
Answer: (","Which is the most possible answer?
(A) Killed virus vaccine
(B) Live attenuated virus vaccine developed by Pasteurian passage
(C) Live attenuated vaccine produced by direct mutation of the virus genome
(D) Experimental vaccine only
Answer: (",33,"[32, 34, 35]"
What is the biggest risk factor for infection with Ebola?,Working in a category IV laboratory,Attending a funeral of a victim outside,Nursing a patient at home,Attending football matches or large gatherings,A,virology,"What is the biggest risk factor for infection with Ebola?
(A) Working in a category IV laboratory
(B) Attending a funeral of a victim outside
(C) Nursing a patient at home
(D) Attending football matches or large gatherings
Answer: (","Which is the most possible answer?
(A) Working in a category IV laboratory
(B) Attending a funeral of a victim outside
(C) Nursing a patient at home
(D) Attending football matches or large gatherings
Answer: (",32,"[33, 34, 35]"
"The influenza virus is mainly controlled in special ""risk"" sectors by:",Hygiene,Vaccination,Antiviral drugs,Humanised monoclonal antibodies,B,virology,"The influenza virus is mainly controlled in special ""risk"" sectors by:
(A) Hygiene
(B) Vaccination
(C) Antiviral drugs
(D) Humanised monoclonal antibodies
Answer: (","Which is the most possible answer?
(A) Hygiene
(B) Vaccination
(C) Antiviral drugs
(D) Humanised monoclonal antibodies
Answer: (",33,"[32, 34, 35]"
